0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
nan,0.447372,0.641243,0.417002,0.587089,0.429829,0.438219,0.460408,0.63001,0.47698,0.512897,0.290598,0.789419,0.414159,0.497573,0.365691,0.572528,0.413743,0.378519,0.234711,0.492234,0.443212,0.468104,0.350576,0.679171,0.56608,0.42768,0.240327,0.489322,0.405214,0.562543,0.397518,0.520316,0.372764,0.504646,0.408959,0.494453,0.445153,0.542227,0.410207,0.520455,0.468936,0.453959,0.350992,0.605811,0.400083,0.444599,0.407641,0.692553,0.40251,0.387186,0.352864,0.488351,0.477118,0.512204,0.235266,0.608792,0.556234,0.464429,0.401886,0.492442,0.560949,0.585841,0.342463,0.621342,0.449244,0.471294,0.153931,0.533907,0.366523,0.319026,0.215435,0.514422,0.393565,0.426432,0.233601,0.498544,0.34697,0.344474,0.209957,0.589239,0.377548,0.421578,0.184648,0.413327,0.412356,0.299126,0.248509,0.509083,0.450354,0.452572,0.196505,0.529053,0.318056,0.354944,0.222715,0.564554,0.330883,0.411247,0.221537,0.535363,0.322355,0.347594,0.209125,0.425461,0.41194,0.391763,0.196297,0.46013,0.401401,0.324851,0.209056,0.458813,0.38261,0.413882,0.185619,0.500971,0.424768,0.393843,0.215365,0.607475,0.390723,0.3616,0.226876,0.535501,0.388296,0.456247,0.182083,0.437526,0.357093,0.47171,0.228817,0.572389,0.331646,0.490154,0.315074,0.462627,0.404868,0.472958,0.236514,0.492789,0.361462,0.463528,0.241159,0.428027,0.336361,0.462696,0.241783,0.432603,0.379836,0.409513,0.243378,0.480308,0.370684,0.330883,0.250035,0.524199,0.334142,0.439745,0.312855,0.460893,0.302316,0.392525,0.239495,0.536264,0.313271,0.345098,0.228054,0.55769,0.459437,0.417903,0.236583,0.613576,0.465747,0.323672,0.309388,0.592498,0.304396,0.379351,0.239634,0.397795,0.351269,0.411801,0.211205,0.494522,0.332409,0.444737,0.211205,0.516572,0.303703,0.388296,0.229788,0.326446,0.244765,0.223339,0.0748163,0.243448,0.237554,0.202884,0.0655249,0.400291,0.217099,0.259881,0.0694772,0.381431,0.213216,0.233255,0.0569269,0.279642,0.238178,0.226876,0.0747469,0.336292,0.237068,0.21703,0.0642768,0.376439,0.331022,0.142491,0.0637914,0.335321,0.230065,0.241298,0.0625433,0.327,0.177021,0.179448,0.0676744,0.230481,0.242615,0.21592,0.0610872,0.238941,0.220358,0.275482,0.0608792,0.414714,0.220219,0.177021,0.0619886,0.368534,0.233671,0.241575,0.0649008,0.367494,0.208293,0.211344,0.0594231,0.335113,0.244696,0.18978,0.0583137,0.436209,0.223547,0.211552,0.0526279
0.575787,0.491333,0.389128,0.44231,0.723547,0.486687,0.607752,0.246845,0.550409,0.512065,0.512065,0.402649,0.68763,0.450146,0.38885,0.296006,0.575302,0.47379,0.513382,0.291291,0.602136,0.497712,0.456802,0.344196,0.4948,0.388088,0.365067,0.334974,0.493344,0.46748,0.397032,0.399528,0.694911,0.510747,0.412217,0.421578,0.629247,0.412633,0.428859,0.40466,0.64041,0.511094,0.385591,0.422965,0.613507,0.426501,0.472473,0.340868,0.631396,0.507489,0.376231,0.264526,0.566912,0.46124,0.388365,0.269588,0.616766,0.434683,0.452018,0.220566,0.490501,0.374567,0.694495,0.242823,0.502912,0.398488,0.35224,0.224102,0.496394,0.368534,0.403758,0.249133,0.491263,0.377063,0.353904,0.201151,0.515462,0.478782,0.358133,0.230967,0.498475,0.478436,0.443281,0.220774,0.549785,0.449868,0.455831,0.206421,0.456594,0.346762,0.372278,0.213909,0.641243,0.346138,0.435723,0.239981,0.514908,0.338788,0.342602,0.197476,0.609069,0.382194,0.413951,0.216405,0.616627,0.457704,0.419637,0.211066,0.411177,0.362086,0.351477,0.213216,0.473998,0.425946,0.406046,0.240397,0.526279,0.410484,0.373527,0.226668,0.586881,0.394189,0.393565,0.162252,0.506171,0.290598,0.397032,0.158369,0.47899,0.320205,0.407433,0.300305,0.458397,0.428443,0.355568,0.3019,0.54084,0.375121,0.474761,0.237346,0.429136,0.397518,0.48537,0.299612,0.533699,0.292192,0.366523,0.245389,0.569755,0.338441,0.454999,0.197615,0.706975,0.346901,0.404729,0.22854,0.472889,0.360838,0.294619,0.29663,0.59853,0.341215,0.468798,0.220496,0.519692,0.487727,0.398558,0.233047,0.472889,0.376993,0.473651,0.225974,0.368257,0.327208,0.417071,0.314866,0.495008,0.347039,0.292539,0.249203,0.573221,0.347941,0.294897,0.209888,0.382263,0.360006,0.474414,0.182152,0.466301,0.409375,0.481972,0.214464,0.32707,0.246706,0.209125,0.0729441,0.331161,0.224449,0.213909,0.0721121,0.283178,0.215851,0.201914,0.0676744,0.401678,0.227846,0.187145,0.0600472,0.502496,0.228886,0.206282,0.0682291,0.36687,0.252115,0.183886,0.0689225,0.31868,0.218902,0.29247,0.0610872,0.441825,0.310983,0.160241,0.05346,0.326931,0.242546,0.151019,0.0705173,0.340175,0.214949,0.231175,0.0646235,0.258147,0.231313,0.23374,0.0672584,0.347455,0.242199,0.175773,0.0609486,0.277215,0.191652,0.188878,0.0625433,0.38996,0.228401,0.167799,0.0569269,0.31972,0.307516,0.16773,0.0567189,0.442588,0.220358,0.221675,0.0590764
0.686659,0.460408,0.529538,0.382263,0.620788,0.365137,0.52933,0.364443,0.723547,0.474483,0.522188,0.210581,0.493898,0.390445,0.578769,0.293025,0.616835,0.556788,0.505408,0.259118,0.734295,0.428997,0.490709,0.257385,0.62897,0.452364,0.387325,0.341631,0.737138,0.379628,0.490362,0.272154,0.648107,0.637568,0.609277,0.416378,0.642976,0.586534,0.475177,0.246845,0.585078,0.384759,0.471987,0.277562,0.638538,0.531133,0.554361,0.335598,0.680627,0.408959,0.456455,0.305991,0.655526,0.472473,0.427749,0.257731,0.635071,0.4706,0.367841,0.243378,0.583414,0.445084,0.522396,0.255998,0.50527,0.319304,0.389613,0.242823,0.531064,0.384551,0.376647,0.236306,0.529885,0.375537,0.407433,0.217099,0.480447,0.396824,0.395923,0.199487,0.418458,0.502566,0.449244,0.248717,0.406254,0.474483,0.349605,0.214672,0.565386,0.360907,0.40674,0.197199,0.581473,0.350229,0.393981,0.160657,0.570101,0.377132,0.389336,0.197753,0.605603,0.444599,0.396616,0.194841,0.498891,0.468382,0.392317,0.188531,0.51366,0.471155,0.385037,0.189155,0.490917,0.362571,0.444876,0.166967,0.592428,0.330606,0.439814,0.226113,0.387533,0.43295,0.381986,0.17404,0.515116,0.383997,0.403411,0.21807,0.528429,0.367355,0.422549,0.318333,0.515185,0.385245,0.370198,0.242477,0.483775,0.33858,0.396339,0.312093,0.372556,0.316946,0.512897,0.235543,0.495909,0.31556,0.361808,0.255512,0.463389,0.299334,0.350229,0.235058,0.515185,0.399528,0.341284,0.209194,0.471294,0.348426,0.515046,0.247538,0.632229,0.333172,0.375052,0.217376,0.594231,0.367563,0.496394,0.210165,0.559354,0.407849,0.436555,0.242685,0.366939,0.275066,0.438705,0.299473,0.512134,0.326792,0.356608,0.226113,0.510886,0.396547,0.367147,0.232145,0.490362,0.334697,0.348079,0.210789,0.639648,0.420469,0.441686,0.222299,0.425738,0.237346,0.215296,0.0761337,0.341908,0.309943,0.176744,0.071488,0.292262,0.208432,0.221537,0.0689918,0.390029,0.205589,0.170781,0.0610179,0.375052,0.231937,0.177645,0.0700319,0.275205,0.215365,0.244002,0.0637914,0.381154,0.233809,0.238108,0.0651782,0.406462,0.218971,0.256691,0.054084,0.403966,0.221259,0.216336,0.067605,0.444113,0.209749,0.213355,0.0639301,0.428789,0.23166,0.184232,0.0638608,0.56185,0.244834,0.200874,0.0551935,0.320205,0.217376,0.357787,0.0587991,0.411663,0.233463,0.201706,0.0594231,0.413812,0.153238,0.222161,0.062058,0.358064,0.234503,0.212453,0.058591
0.597213,0.633893,0.541395,0.365275,0.685481,0.375399,0.59534,0.239634,0.605048,0.351061,0.368673,0.284635,0.62897,0.487796,0.452018,0.364305,0.69706,0.544377,0.465123,0.233809,0.625156,0.527389,0.495632,0.380391,0.494938,0.437526,0.495493,0.335668,0.704895,0.442172,0.457287,0.372209,0.619609,0.43711,0.477673,0.314103,0.602274,0.512273,0.535709,0.371446,0.600125,0.387256,0.529677,0.362502,0.706975,0.506726,0.370753,0.247122,0.592428,0.403481,0.498683,0.25364,0.596658,0.459021,0.630495,0.243378,0.624393,0.533005,0.493205,0.253918,0.610318,0.394259,0.479684,0.390931,0.600749,0.395368,0.457912,0.226945,0.427472,0.432672,0.36791,0.182984,0.621897,0.339273,0.384551,0.198794,0.517265,0.36375,0.460824,0.233116,0.485855,0.385799,0.342186,0.177923,0.552628,0.309042,0.38573,0.16877,0.488004,0.308071,0.438913,0.231521,0.513036,0.425184,0.314519,0.190126,0.558938,0.389405,0.366939,0.195327,0.442241,0.389128,0.425184,0.215504,0.480793,0.292678,0.481972,0.249827,0.576619,0.483636,0.334489,0.248163,0.526487,0.395923,0.408196,0.197545,0.459714,0.401955,0.475454,0.184579,0.414852,0.316808,0.336222,0.217792,0.471225,0.385314,0.400846,0.249064,0.354944,0.376231,0.483081,0.303633,0.490154,0.312717,0.364235,0.3166,0.619956,0.343572,0.365761,0.220774,0.527666,0.338719,0.334142,0.227569,0.438497,0.348495,0.461586,0.197268,0.588407,0.288587,0.478158,0.296075,0.386701,0.346346,0.311677,0.31029,0.564277,0.340868,0.390653,0.33858,0.633823,0.392248,0.462765,0.236444,0.537998,0.382957,0.369644,0.225003,0.445223,0.312647,0.3711,0.226113,0.556511,0.363611,0.343503,0.20857,0.40674,0.344474,0.343087,0.218971,0.401054,0.344404,0.458258,0.220843,0.411316,0.323256,0.319235,0.298849,0.409791,0.320344,0.464291,0.210442,0.372694,0.254195,0.179517,0.0738455,0.25468,0.23797,0.215157,0.0653862,0.229718,0.235959,0.232492,0.0661489,0.273956,0.209264,0.273124,0.0605325,0.471502,0.303841,0.21384,0.0642075,0.386146,0.233393,0.198447,0.0612952,0.382333,0.268201,0.189017,0.0655942,0.328734,0.224587,0.112675,0.057967,0.263833,0.291846,0.242962,0.0662876,0.462349,0.228886,0.234919,0.0621966,0.426154,0.216683,0.218694,0.0607405,0.314242,0.31868,0.144224,0.0573429,0.42976,0.225905,0.217168,0.0632367,0.349535,0.261129,0.203231,0.0543614,0.41721,0.227846,0.266607,0.0550548,0.310914,0.203092,0.258217,0.0547081
0.615934,0.534184,0.456871,0.24844,0.498613,0.505616,0.465469,0.397171,0.646998,0.346346,0.373665,0.284704,0.618638,0.568368,0.453058,0.286229,0.751837,0.494592,0.439537,0.316808,0.647067,0.429552,0.627999,0.35959,0.573707,0.37006,0.473582,0.323533,0.641589,0.544099,0.550686,0.481764,0.679864,0.433435,0.456594,0.418735,0.709818,0.500555,0.392109,0.352725,0.614755,0.514284,0.443836,0.383165,0.632991,0.464221,0.483705,0.293787,0.496325,0.407849,0.520732,0.350229,0.593607,0.469699,0.546873,0.458466,0.615171,0.505131,0.537096,0.266191,0.596797,0.494938,0.487519,0.269311,0.545902,0.304604,0.420746,0.188947,0.404521,0.321523,0.358064,0.190196,0.433712,0.415407,0.439537,0.17605,0.641173,0.355221,0.410207,0.185689,0.551519,0.429205,0.365137,0.228124,0.407156,0.433504,0.406462,0.234017,0.61115,0.410553,0.399945,0.193524,0.406393,0.394813,0.40771,0.228609,0.546457,0.40986,0.391693,0.180488,0.504438,0.330329,0.402926,0.200042,0.531688,0.494938,0.367563,0.21176,0.531341,0.330467,0.397656,0.220288,0.588199,0.365553,0.411593,0.186521,0.590348,0.445084,0.368465,0.293371,0.41305,0.326931,0.425669,0.142976,0.552351,0.357163,0.432256,0.184371,0.518652,0.356955,0.41298,0.240813,0.376508,0.375607,0.358411,0.239565,0.591943,0.411732,0.355429,0.34586,0.561295,0.361392,0.338511,0.205589,0.497365,0.365206,0.4256,0.217515,0.5398,0.35432,0.283178,0.221814,0.515879,0.333102,0.427472,0.230204,0.475593,0.331022,0.469075,0.205034,0.492442,0.452018,0.428373,0.230412,0.622382,0.341631,0.436971,0.172376,0.424976,0.313618,0.416378,0.228124,0.483983,0.321107,0.329774,0.232839,0.517265,0.339551,0.313479,0.243725,0.452572,0.382125,0.401886,0.272916,0.521079,0.278463,0.314311,0.201844,0.463875,0.300028,0.358203,0.219664,0.280405,0.239495,0.168007,0.075995,0.270212,0.237068,0.218902,0.0715573,0.322909,0.231729,0.203509,0.0689918,0.314519,0.246568,0.212592,0.0664956,0.488767,0.245666,0.169533,0.0681598,0.31133,0.248232,0.218139,0.0624047,0.262862,0.242407,0.164332,0.0607405,0.416794,0.237276,0.149979,0.0603938,0.528498,0.243517,0.188254,0.0667036,0.479684,0.297254,0.219872,0.066565,0.238247,0.203092,0.220912,0.058591,0.409167,0.215504,0.15414,0.0644155,0.274997,0.223686,0.194148,0.0596311,0.479129,0.234434,0.18867,0.0572736,0.294203,0.216475,0.197684,0.0576203,0.26515,0.303356,0.213147,0.0560949
0.773055,0.549022,0.405145,0.44446,0.660865,0.378588,0.4602,0.427056,0.786021,0.513174,0.461448,0.265775,0.680627,0.432256,0.386216,0.269935,0.643392,0.467411,0.375815,0.262585,0.683123,0.516849,0.43496,0.239495,0.585564,0.490847,0.515532,0.42872,0.618638,0.362294,0.49057,0.243864,0.616073,0.553807,0.473235,0.357093,0.567882,0.506865,0.413812,0.265428,0.651505,0.495632,0.457912,0.279434,0.630426,0.561503,0.507905,0.380252,0.620996,0.493135,0.391763,0.338164,0.62162,0.527874,0.376647,0.276245,0.672584,0.660103,0.527042,0.260227,0.490639,0.459645,0.508667,0.336708,0.617113,0.458466,0.395576,0.142213,0.53037,0.441478,0.449175,0.170157,0.586326,0.343642,0.401817,0.18978,0.428235,0.38781,0.398974,0.23062,0.50735,0.294411,0.359451,0.210234,0.513868,0.387672,0.414714,0.194911,0.531896,0.363542,0.409167,0.18978,0.535293,0.339551,0.468243,0.22327,0.511926,0.316877,0.418042,0.244973,0.394189,0.339343,0.453474,0.211136,0.491679,0.434752,0.4308,0.189571,0.480239,0.51463,0.405284,0.19914,0.511857,0.437318,0.474206,0.225558,0.52094,0.345167,0.34385,0.175496,0.452503,0.372903,0.370753,0.146928,0.573291,0.298156,0.302247,0.151297,0.609971,0.31764,0.36264,0.291291,0.532728,0.363264,0.339481,0.322147,0.448759,0.323117,0.486479,0.195119,0.564832,0.318125,0.387602,0.239981,0.44446,0.38677,0.358757,0.225697,0.706143,0.372348,0.377063,0.236791,0.514561,0.291014,0.30821,0.209472,0.633615,0.373041,0.317085,0.237831,0.452226,0.333657,0.411108,0.240813,0.433504,0.374012,0.409652,0.214949,0.428373,0.283525,0.390584,0.213771,0.475107,0.381778,0.418527,0.208917,0.511025,0.258771,0.401886,0.225073,0.400985,0.35113,0.365969,0.212453,0.569893,0.270836,0.484746,0.191929,0.559284,0.284496,0.357509,0.19914,0.48537,0.236652,0.185827,0.0725281,0.469838,0.245666,0.182291,0.0647622,0.348773,0.236236,0.201012,0.0701012,0.430523,0.233532,0.184371,0.062474,0.320413,0.225836,0.229372,0.0669117,0.403619,0.232284,0.280752,0.0590764,0.268617,0.218555,0.308834,0.0644848,0.338303,0.326723,0.205727,0.0545694,0.265081,0.319235,0.203994,0.066981,0.331299,0.22646,0.29663,0.0611566,0.283664,0.315629,0.244834,0.0616419,0.333657,0.20649,0.318402,0.0523506,0.343364,0.250243,0.16981,0.063098,0.340313,0.212176,0.2327,0.0658022,0.282554,0.227222,0.152337,0.0569963,0.403481,0.209056,0.277631,0.0558868
0.628346,0.463389,0.497989,0.28089,0.764804,0.48738,0.489183,0.322216,0.631882,0.41194,0.556164,0.246984,0.492095,0.443489,0.417348,0.350506,0.496949,0.49376,0.64575,0.291291,0.624255,0.501733,0.489599,0.34482,0.535779,0.335113,0.437526,0.35959,0.691444,0.419429,0.433366,0.324504,0.562197,0.431008,0.613715,0.426571,0.639717,0.424213,0.560463,0.282832,0.539523,0.594647,0.526973,0.313895,0.622313,0.379628,0.564415,0.288379,0.495909,0.390306,0.520524,0.281514,0.538899,0.522743,0.568645,0.297532,0.570032,0.461864,0.392733,0.382749,0.491055,0.546249,0.442241,0.386493,0.53044,0.399182,0.403134,0.241506,0.54299,0.386562,0.43392,0.134447,0.607128,0.339412,0.430245,0.222369,0.419706,0.408681,0.359382,0.161143,0.543753,0.409167,0.396686,0.231452,0.465747,0.42553,0.360283,0.214048,0.499653,0.415892,0.463112,0.221883,0.5398,0.475593,0.394051,0.195535,0.464152,0.272015,0.348634,0.217099,0.495146,0.347871,0.334142,0.182984,0.534115,0.396616,0.371377,0.231244,0.452364,0.332062,0.480932,0.142283,0.531272,0.35224,0.441132,0.22958,0.572112,0.412841,0.388157,0.168423,0.533352,0.469699,0.396408,0.201914,0.503606,0.471641,0.391971,0.208016,0.520524,0.36791,0.352517,0.241575,0.55762,0.424976,0.416655,0.244834,0.425738,0.336569,0.439121,0.232007,0.654001,0.333796,0.381223,0.227014,0.507627,0.401193,0.343642,0.241853,0.54923,0.357163,0.380322,0.17189,0.405769,0.422202,0.4507,0.220843,0.385175,0.33962,0.398974,0.206351,0.53356,0.328249,0.50416,0.316253,0.513868,0.367702,0.442518,0.30502,0.391,0.292054,0.330953,0.23485,0.502704,0.313895,0.404174,0.244349,0.454861,0.345028,0.377548,0.231591,0.418111,0.38996,0.440716,0.330121,0.397518,0.345306,0.383581,0.199002,0.557204,0.359659,0.452988,0.215365,0.305922,0.262516,0.216683,0.0702399,0.340729,0.217723,0.207877,0.0636528,0.375121,0.251421,0.182014,0.0739149,0.402649,0.217376,0.284219,0.0639994,0.283941,0.225974,0.177923,0.0710026,0.351269,0.307863,0.239357,0.0629594,0.256275,0.227916,0.206005,0.0659409,0.385383,0.320205,0.205381,0.0637914,0.379836,0.328734,0.184024,0.0623353,0.35009,0.14991,0.216267,0.0664263,0.368326,0.240397,0.229164,0.0613646,0.349674,0.316946,0.256761,0.0569963,0.34801,0.237207,0.213216,0.0660103,0.386354,0.218971,0.20961,0.0548468,0.365137,0.229788,0.231729,0.0574816,0.345791,0.229094,0.24005,0.0515879
0.708432,0.512273,0.514561,0.272778,0.549646,0.531757,0.592151,0.364305,0.632575,0.510609,0.418735,0.36375,0.642629,0.58695,0.510331,0.274026,0.622452,0.582998,0.620441,0.444945,0.631466,0.555401,0.57759,0.257731,0.611427,0.378034,0.460893,0.249619,0.490431,0.503536,0.440092,0.263556,0.756622,0.517612,0.556927,0.239911,0.625849,0.394744,0.407433,0.449938,0.716059,0.481417,0.581473,0.419845,0.580987,0.343434,0.532242,0.269519,0.697753,0.513382,0.513313,0.292817,0.488906,0.378034,0.470392,0.292192,0.600333,0.529746,0.482319,0.362571,0.487588,0.526279,0.57648,0.384759,0.452434,0.362571,0.477881,0.213355,0.451394,0.361046,0.386701,0.196159,0.398142,0.324712,0.454514,0.227084,0.593399,0.353349,0.46644,0.158924,0.576896,0.373111,0.370268,0.128692,0.471987,0.365067,0.337263,0.225489,0.379628,0.285397,0.406046,0.212523,0.495008,0.315352,0.426293,0.216891,0.523436,0.364443,0.34489,0.147552,0.564554,0.380183,0.366939,0.206074,0.521356,0.327971,0.442865,0.229025,0.486132,0.342047,0.359728,0.189988,0.615934,0.313687,0.395715,0.223617,0.473305,0.360699,0.449591,0.168146,0.480031,0.36056,0.278671,0.220774,0.495008,0.474899,0.345028,0.233809,0.456178,0.408473,0.399112,0.334212,0.468312,0.34385,0.463389,0.331854,0.464776,0.309596,0.311746,0.228262,0.446332,0.302247,0.45812,0.214811,0.459437,0.348634,0.325614,0.265289,0.59014,0.304743,0.391971,0.234711,0.5943,0.382818,0.413188,0.212869,0.504438,0.390376,0.388365,0.207808,0.543614,0.405006,0.490085,0.222923,0.452364,0.362016,0.381431,0.234988,0.407294,0.325128,0.336153,0.173832,0.365067,0.395368,0.447996,0.215365,0.584524,0.385799,0.308002,0.212315,0.550548,0.31764,0.406948,0.24421,0.522466,0.315282,0.401262,0.315629,0.497434,0.268479,0.390653,0.22646,0.264734,0.226876,0.188739,0.0722507,0.330883,0.241645,0.194495,0.0670503,0.379767,0.238178,0.26203,0.0643461,0.372764,0.218763,0.21807,0.0677437,0.465677,0.225836,0.184995,0.0668423,0.24421,0.332201,0.225697,0.0626127,0.322909,0.242615,0.192622,0.0606712,0.400153,0.232215,0.239911,0.0586604,0.427819,0.243794,0.17716,0.0676744,0.264388,0.225489,0.249827,0.0643461,0.280752,0.290182,0.197407,0.0611566,0.281445,0.216752,0.194841,0.0560255,0.26314,0.327416,0.152059,0.0589377,0.356677,0.198724,0.171543,0.0544307,0.265428,0.327624,0.254888,0.0621966,0.322008,0.207946,0.263001,0.0560255
0.682776,0.479337,0.512273,0.408404,0.511302,0.437873,0.519137,0.40778,0.551865,0.555193,0.620649,0.332686,0.578353,0.362502,0.402579,0.369782,0.707877,0.379074,0.573707,0.359243,0.493621,0.45389,0.429483,0.421994,0.730481,0.352725,0.491471,0.345236,0.584454,0.489669,0.541672,0.248787,0.688601,0.461586,0.496186,0.33858,0.551449,0.455346,0.442518,0.285189,0.549438,0.484746,0.369089,0.350021,0.786992,0.532381,0.612744,0.319096,0.664194,0.459576,0.57544,0.348357,0.491957,0.429413,0.524546,0.433643,0.684302,0.442865,0.464499,0.352864,0.61323,0.470531,0.441825,0.39308,0.587713,0.386909,0.388226,0.180072,0.42241,0.370545,0.340591,0.194911,0.604632,0.432256,0.369436,0.186798,0.549369,0.341353,0.452226,0.216336,0.563722,0.470462,0.437318,0.211968,0.564207,0.432603,0.382887,0.202538,0.614131,0.353696,0.437457,0.256275,0.514145,0.407156,0.334281,0.212731,0.401331,0.46124,0.388296,0.21065,0.398142,0.42449,0.357093,0.214603,0.495146,0.412079,0.364721,0.240605,0.465539,0.446748,0.408473,0.202884,0.416447,0.453197,0.311538,0.178755,0.491263,0.427541,0.388989,0.202884,0.383165,0.488282,0.469006,0.176744,0.455623,0.308487,0.393981,0.141173,0.452434,0.33331,0.481487,0.323325,0.445292,0.287339,0.408265,0.21065,0.34697,0.334073,0.423034,0.212176,0.495216,0.306199,0.374012,0.266884,0.552628,0.341978,0.363472,0.29767,0.453751,0.338857,0.387256,0.22535,0.357371,0.436486,0.452087,0.213563,0.491055,0.327902,0.441617,0.215365,0.438219,0.2924,0.474137,0.235196,0.34489,0.386978,0.493552,0.231313,0.376092,0.363126,0.389197,0.212661,0.468243,0.295937,0.365067,0.221121,0.390306,0.355707,0.449868,0.221051,0.505131,0.303079,0.420815,0.197199,0.506865,0.445153,0.474622,0.203717,0.426848,0.398488,0.477812,0.202746,0.409583,0.206767,0.20018,0.0719734,0.485508,0.216822,0.125295,0.0664263,0.284704,0.237623,0.216683,0.0669117,0.288171,0.246984,0.23166,0.0617113,0.393219,0.185273,0.28089,0.0694078,0.201012,0.252323,0.168077,0.0600472,0.259395,0.222993,0.212384,0.0646928,0.399112,0.220635,0.204549,0.062266,0.404868,0.323811,0.157676,0.0602552,0.402094,0.243933,0.266191,0.0662876,0.351269,0.326931,0.154556,0.0621966,0.268895,0.242407,0.184163,0.0605325,0.297046,0.24636,0.165164,0.0590071,0.294619,0.216336,0.161697,0.0592151,0.356816,0.238108,0.241159,0.0662876,0.233671,0.229996,0.228054,0.0476356
0.570933,0.463805,0.403897,0.244626,0.563999,0.484468,0.458258,0.330745,0.498267,0.434336,0.580918,0.383234,0.673554,0.456941,0.525101,0.359382,0.636389,0.468035,0.524407,0.278879,0.548606,0.521911,0.59333,0.323603,0.495909,0.462765,0.418805,0.268548,0.542019,0.41714,0.410415,0.258355,0.579947,0.481556,0.479268,0.489599,0.533352,0.49688,0.361046,0.345791,0.632021,0.521495,0.713285,0.385175,0.630426,0.415615,0.508251,0.27361,0.574054,0.540979,0.461032,0.365067,0.61316,0.462002,0.412633,0.238108,0.588129,0.391763,0.425322,0.412148,0.48738,0.402718,0.524338,0.422064,0.649841,0.388226,0.362016,0.143669,0.470947,0.334974,0.357925,0.192137,0.382055,0.385175,0.437665,0.223339,0.483428,0.375537,0.326376,0.253779,0.418527,0.331299,0.39516,0.222923,0.466024,0.442588,0.491957,0.215781,0.483913,0.357787,0.430939,0.23589,0.571003,0.395923,0.356469,0.209541,0.517543,0.368465,0.303079,0.283386,0.541603,0.361184,0.48426,0.200319,0.479129,0.382055,0.354805,0.194772,0.514561,0.272986,0.457704,0.187977,0.487034,0.330121,0.390653,0.157814,0.50423,0.318056,0.448065,0.169255,0.406462,0.454237,0.460754,0.205727,0.50423,0.3512,0.407156,0.232769,0.423728,0.311261,0.372001,0.323742,0.508113,0.422341,0.470947,0.235751,0.485092,0.345999,0.412148,0.252947,0.540563,0.410068,0.449175,0.246082,0.530578,0.4256,0.419637,0.204271,0.461032,0.326446,0.356885,0.236652,0.448898,0.454514,0.392941,0.225281,0.444182,0.323395,0.447996,0.249272,0.530786,0.36583,0.436486,0.2379,0.522466,0.37734,0.425669,0.288864,0.419706,0.305089,0.364859,0.331022,0.484676,0.373388,0.434683,0.200458,0.379282,0.286091,0.345722,0.234503,0.461725,0.355984,0.409652,0.193801,0.512134,0.392803,0.328526,0.228401,0.481487,0.391277,0.336292,0.24733,0.247261,0.188531,0.214187,0.0731521,0.349327,0.240882,0.264041,0.067189,0.341492,0.2076,0.242199,0.0639301,0.421301,0.206282,0.234919,0.0702399,0.261406,0.249133,0.163015,0.0664956,0.387464,0.228401,0.264665,0.0674664,0.327624,0.207183,0.274858,0.0598391,0.375537,0.212384,0.263625,0.0488143,0.429968,0.240674,0.274858,0.062058,0.292054,0.242615,0.203162,0.0600472,0.314866,0.229233,0.170711,0.0562335,0.461378,0.214672,0.18132,0.0601858,0.327347,0.23478,0.242685,0.0599085,0.398211,0.224102,0.182291,0.0580363,0.350367,0.219456,0.205381,0.058383,0.313271,0.232076,0.242615,0.0533213
