0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
nan,0.0535987,0.429691,0.429205,0.380252,0.733809,0.266676,0.70441,0.0540147,0.0551935,0.429691,0.429552,0.495146,0.407017,0.391763,0.501179,0.0539454,0.0541534,0.139162,0.72639,0.378519,0.650049,0.422202,0.713632,0.0520039,0.0560949,0.410207,0.412356,0.38157,0.759326,0.532589,0.475385,0.371238,0.371238,0.494245,0.500347,0.378242,0.707738,0.443974,0.342394,0.372209,0.372694,0.500832,0.497434,0.547081,0.510262,0.454445,0.484538,0.476633,0.498821,0.546526,0.764734,0.404036,0.469214,0.549438,0.578838,0.382194,0.221121,0.481625,0.61843,0.372972,0.709818,0.401539,0.490293,0.0230204,0.344474,0.257454,0.44127,0.380322,0.75364,0.406601,0.517057,0.0269033,0.754819,0.397656,0.624671,0.382887,0.749619,0.504715,0.445292,0.0278047,0.341978,0.26834,0.446887,0.381084,0.755512,0.411316,0.744349,0.0290528,0.518929,0.0859104,0.509915,0.381154,0.523228,0.402025,0.58071,0.303911,0.465677,0.379906,0.442449,0.392525,0.734988,0.256761,0.443004,0.263902,0.729718,0.301137,0.622036,0.538414,0.508043,0.647206,0.399182,0.209888,0.407849,0.257177,0.757315,0.387533,0.50104,0.411385,0.384829,0.0531133,0.739565,0.0687838,0.443489,0.41714,0.496602,0.452919,0.513105,0.0570656,0.0531133,0.334281,0.457357,0.37734,0.27153,0.335044,0.341908,0.0528359,0.0549161,0.339759,0.456039,0.379559,0.40459,0.536819,0.338788,0.0567882,0.0565109,0.527389,0.722091,0.376508,0.752739,0.466926,0.801415,0.0545694,0.057551,0.591804,0.642352,0.0845236,0.520455,0.58695,0.503398,0.305852,0.253294,0.340175,0.349951,0.399737,0.323603,0.373388,0.337609,0.253571,0.250936,0.385106,0.350298,0.641243,0.484329,0.334766,0.338233,0.328595,0.751352,0.58383,0.603453,0.379628,0.379906,0.585009,0.800097,0.37734,0.566496,0.568853,0.507835,0.376993,0.606573,0.507627,0.566357,0.030925,0.3417,0.421301,0.343295,0.382125,0.756691,0.337956,0.479129,0.031133,0.738247,0.33442,0.590209,0.382541,0.434683,0.42976,0.516433,0.0283595,0.761822,0.582513,0.427819,0.380599,0.760158,0.503328,0.809666,0.0280128,0.761476,0.564693,0.808487,0.42553,0.461101,0.564277,0.546595,0.259534,0.75052,0.336569,0.336777,0.412287,0.710442,0.42345,0.341215,0.253848,0.783248,0.351685,0.502566,0.506171,0.392317,0.598807,0.680696,0.353904,0.73478,0.315976,0.807239,0.455554,0.448898,0.506448,0.803772,0.0639994,0.533074,0.506448,0.64256,0.563029,0.55131,0.503675,0.590001
0.0560255,0.0531133,0.42872,0.429691,0.378519,0.749341,0.271114,0.715227,0.0540147,0.0558175,0.430037,0.432048,0.481695,0.405076,0.264041,0.302801,0.0542227,0.0563029,0.387949,0.747192,0.378103,0.272847,0.278117,0.705797,0.0583137,0.0542227,0.413951,0.775967,0.513244,0.516225,0.429829,0.54819,0.371654,0.370684,0.49369,0.500901,0.376785,0.387394,0.410831,0.420191,0.371793,0.371446,0.498821,0.492719,0.379975,0.419845,0.391624,0.571765,0.382541,0.700666,0.509083,0.763556,0.37741,0.70961,0.343503,0.729927,0.382402,0.608515,0.39731,0.384621,0.2275,0.444252,0.514908,0.545694,0.02621,0.755998,0.382957,0.443142,0.38053,0.75891,0.402163,0.438913,0.0254472,0.750173,0.0500624,0.448828,0.382749,0.4602,0.4109,0.404244,0.0280821,0.761476,0.495493,0.441201,0.380668,0.751144,0.403065,0.547844,0.0301623,0.444876,0.290528,0.634239,0.421786,0.522258,0.41194,0.760227,0.25683,0.50208,0.263556,0.448828,0.389336,0.734988,0.402926,0.499445,0.0366107,0.736236,0.500139,0.407086,0.391139,0.719387,0.567397,0.58598,0.262238,0.408404,0.535293,0.758563,0.389128,0.414506,0.411039,0.754056,0.0370961,0.460616,0.40459,0.53037,0.387741,0.723339,0.470947,0.446609,0.0533907,0.0574123,0.421231,0.419151,0.378658,0.743101,0.424074,0.733255,0.053044,0.0565802,0.33539,0.336292,0.38157,0.50416,0.373943,0.499792,0.0531826,0.058175,0.525447,0.724033,0.379559,0.276522,0.514838,0.796145,0.0576203,0.0565802,0.566496,0.809596,0.379351,0.752184,0.500971,0.636805,0.25475,0.395021,0.444807,0.334974,0.407918,0.325059,0.338511,0.375884,0.259395,0.255859,0.348773,0.336361,0.645334,0.390445,0.440438,0.426848,0.385661,0.376647,0.456871,0.453058,0.38996,0.751144,0.568298,0.582097,0.378034,0.093191,0.503259,0.805575,0.464083,0.537165,0.502843,0.810567,0.031549,0.693385,0.336153,0.3365,0.380114,0.698655,0.337332,0.427333,0.0324504,0.756552,0.334628,0.335668,0.383095,0.358965,0.340591,0.428027,0.0298849,0.492026,0.542505,0.561226,0.381015,0.763209,0.58279,0.548676,0.0300929,0.763694,0.583137,0.637568,0.381917,0.765358,0.571003,0.503259,0.253224,0.718486,0.366385,0.337124,0.406393,0.707946,0.438982,0.339412,0.253363,0.763972,0.423104,0.33539,0.430453,0.715504,0.431355,0.605395,0.0480516,0.760089,0.57752,0.502427,0.454167,0.498475,0.502219,0.501595,0.0535987,0.583068,0.568021,0.591527,0.590903,0.386632,0.502427,0.511233
0.0574123,0.0545694,0.431771,0.433504,0.377756,0.741298,0.392387,0.44023,0.0508251,0.0511025,0.432326,0.42976,0.380599,0.336846,0.267993,0.0879212,0.0540147,0.0568576,0.10276,0.742199,0.378588,0.750173,0.388504,0.720496,0.0533907,0.0570656,0.415199,0.615379,0.547566,0.504854,0.399528,0.725281,0.372348,0.370614,0.39731,0.497712,0.405561,0.689571,0.448551,0.735474,0.369436,0.370684,0.399875,0.399459,0.224033,0.445084,0.414367,0.486271,0.480516,0.685897,0.460477,0.460616,0.40043,0.70337,0.497504,0.728678,0.384066,0.184232,0.409929,0.323048,0.216544,0.496325,0.545694,0.472403,0.0258633,0.35536,0.30398,0.380668,0.381709,0.409167,0.410692,0.441201,0.026626,0.758841,0.390098,0.624324,0.382333,0.762654,0.414644,0.40043,0.0316184,0.757523,0.494245,0.752947,0.380322,0.765289,0.407017,0.378866,0.0295382,0.448065,0.0574123,0.585148,0.384621,0.44654,0.409028,0.752808,0.335668,0.307516,0.0747469,0.400499,0.360491,0.730065,0.409929,0.763694,0.0805713,0.719456,0.0481903,0.37949,0.393149,0.727222,0.499168,0.536195,0.0470808,0.507211,0.544585,0.754819,0.390029,0.556026,0.425392,0.760505,0.0558175,0.545902,0.385175,0.577312,0.417279,0.648176,0.41506,0.543683,0.0554015,0.0550548,0.382818,0.343018,0.378172,0.736306,0.429483,0.422549,0.0547081,0.0580363,0.336014,0.38053,0.493621,0.735266,0.434614,0.428928,0.0563029,0.054084,0.343711,0.722091,0.379074,0.741298,0.58286,0.762308,0.0547774,0.0559562,0.581334,0.633754,0.553044,0.44869,0.646096,0.508598,0.253363,0.25364,0.42248,0.422549,0.345236,0.329982,0.559007,0.38788,0.258286,0.253779,0.337817,0.34905,0.638469,0.51255,0.535085,0.75572,0.142907,0.598253,0.55131,0.764457,0.52829,0.451116,0.5052,0.667106,0.376369,0.444252,0.502566,0.712939,0.376855,0.525378,0.510955,0.591457,0.0235058,0.754195,0.42248,0.422826,0.38053,0.746984,0.374567,0.337748,0.031549,0.606296,0.0825128,0.339273,0.498821,0.462835,0.498475,0.479476,0.0334905,0.749341,0.502496,0.807794,0.3815,0.708224,0.566842,0.807863,0.0282901,0.522396,0.582235,0.569893,0.381292,0.766607,0.504299,0.663431,0.317016,0.698724,0.499584,0.422618,0.407641,0.703439,0.339204,0.426085,0.252739,0.706837,0.337887,0.337124,0.412356,0.480516,0.594786,0.424629,0.0305089,0.446609,0.0633754,0.811538,0.458952,0.604216,0.586534,0.804743,0.0413951,0.585356,0.501803,0.588129,0.37734,0.761545,0.585286,0.507419
0.0560949,0.0556788,0.435168,0.428651,0.378727,0.752878,0.38892,0.714117,0.0560255,0.0552628,0.433851,0.435168,0.380044,0.34066,0.271876,0.309458,0.0547774,0.0549854,0.523922,0.738732,0.378519,0.747469,0.428581,0.718278,0.0545001,0.0545694,0.410484,0.619817,0.379559,0.615241,0.410068,0.309735,0.37214,0.371377,0.501733,0.482527,0.39828,0.700666,0.427125,0.725558,0.374775,0.371238,0.489391,0.498128,0.390723,0.501525,0.539731,0.50104,0.433227,0.712107,0.541395,0.546249,0.409652,0.542227,0.55138,0.738594,0.38053,0.646096,0.393704,0.313549,0.513174,0.446263,0.217446,0.539939,0.0232284,0.750659,0.0732215,0.377618,0.380738,0.755582,0.410553,0.501387,0.0295382,0.692276,0.0712107,0.623908,0.381917,0.409236,0.50423,0.531618,0.0312023,0.762862,0.367771,0.447164,0.377756,0.412911,0.408196,0.42345,0.0312717,0.451463,0.261337,0.755096,0.382263,0.679309,0.418527,0.505408,0.0314797,0.701636,0.382194,0.441132,0.38677,0.738802,0.405076,0.444945,0.0295382,0.640965,0.268617,0.407502,0.388504,0.723963,0.253086,0.378727,0.262238,0.723478,0.0954098,0.765289,0.390514,0.735959,0.41298,0.495562,0.191166,0.739287,0.380114,0.764249,0.388365,0.500555,0.254126,0.762377,0.0549854,0.053876,0.377548,0.380738,0.378588,0.275967,0.435585,0.724241,0.0551241,0.0572736,0.334974,0.270628,0.381709,0.447996,0.338511,0.342047,0.0529746,0.0572043,0.0995008,0.731937,0.378311,0.271252,0.475315,0.822701,0.0571349,0.0540147,0.648176,0.592082,0.478297,0.523159,0.586326,0.588407,0.255235,0.306476,0.340175,0.339481,0.502566,0.446055,0.423242,0.336708,0.253294,0.251075,0.361184,0.360352,0.591666,0.354805,0.429413,0.484329,0.375745,0.608931,0.484676,0.619193,0.383511,0.584385,0.549854,0.802455,0.332131,0.380391,0.321384,0.587089,0.420469,0.657814,0.586188,0.566426,0.0286368,0.760505,0.335598,0.334836,0.379698,0.7621,0.338857,0.74844,0.0273194,0.759534,0.338164,0.338025,0.38261,0.460061,0.377756,0.52309,0.0344612,0.757038,0.100888,0.799126,0.381362,0.76203,0.507697,0.55762,0.0283595,0.718902,0.586604,0.507905,0.42352,0.453127,0.502427,0.729372,0.261822,0.708709,0.499237,0.340591,0.409929,0.69914,0.375537,0.33539,0.260158,0.259326,0.367009,0.337055,0.256552,0.484538,0.61212,0.47795,0.348079,0.753571,0.500624,0.554916,0.454445,0.529538,0.581265,0.804327,0.0409097,0.584038,0.344196,0.588823,0.49681,0.529192,0.510539,0.50319
0.0527666,0.0514492,0.431147,0.431216,0.379143,0.74317,0.4109,0.719248,0.0542921,0.0544307,0.432672,0.429621,0.379975,0.505131,0.487866,0.713424,0.0524893,0.0576203,0.412287,0.714949,0.379282,0.746013,0.384551,0.716891,0.0582443,0.0553321,0.536333,0.383234,0.486202,0.507835,0.473235,0.542643,0.372348,0.371516,0.39828,0.495701,0.396894,0.71072,0.407294,0.481903,0.372001,0.373735,0.500139,0.498613,0.405422,0.47698,0.642283,0.590001,0.386146,0.558868,0.455277,0.652822,0.377479,0.700874,0.551796,0.726598,0.373665,0.651713,0.315074,0.408543,0.378796,0.513036,0.421509,0.376785,0.0277354,0.760643,0.0538067,0.445361,0.380668,0.417557,0.324088,0.404313,0.0304396,0.758009,0.265705,0.528706,0.381084,0.611774,0.413327,0.499099,0.0289835,0.757315,0.423242,0.495146,0.380322,0.759257,0.0303703,0.754542,0.0316877,0.446055,0.071072,0.505963,0.548953,0.52101,0.412911,0.585078,0.256969,0.500832,0.323048,0.512134,0.392179,0.730481,0.407156,0.380738,0.0309943,0.722993,0.401609,0.53037,0.393635,0.467203,0.571696,0.443766,0.0546387,0.7327,0.048537,0.522951,0.389474,0.41409,0.409513,0.760366,0.0342532,0.737068,0.253779,0.442172,0.398142,0.734017,0.451671,0.573221,0.0547774,0.0524893,0.379351,0.335113,0.378242,0.740882,0.438705,0.438705,0.0551935,0.0576896,0.38046,0.339897,0.497226,0.455554,0.337956,0.42553,0.0551241,0.0560255,0.116003,0.719526,0.37838,0.271807,0.418805,0.619332,0.0538067,0.0558868,0.501664,0.592983,0.379212,0.761406,0.504992,0.570309,0.306199,0.255304,0.352032,0.363472,0.322563,0.693385,0.438774,0.482804,0.303356,0.303495,0.341423,0.422688,0.635695,0.477118,0.346415,0.517959,0.377201,0.377548,0.5692,0.806407,0.384967,0.747053,0.60172,0.79975,0.331299,0.439398,0.502566,0.635903,0.37845,0.532658,0.605395,0.638885,0.0337679,0.75683,0.305922,0.272292,0.38053,0.755096,0.375191,0.344959,0.030925,0.761545,0.420815,0.33546,0.384898,0.459714,0.33858,0.338788,0.0274581,0.413812,0.5,0.50208,0.380876,0.761198,0.50319,0.8071,0.0244765,0.494384,0.582721,0.66558,0.383234,0.452226,0.584385,0.728748,0.258009,0.661697,0.445223,0.449868,0.405076,0.448481,0.373388,0.429899,0.261753,0.391069,0.42241,0.339689,0.478505,0.666967,0.374913,0.685689,0.0278741,0.759881,0.49896,0.808279,0.378796,0.757662,0.586396,0.806962,0.0370268,0.538552,0.564693,0.736167,0.447511,0.61011,0.565594,0.586881
0.053668,0.0550548,0.432395,0.431563,0.306476,0.741506,0.391624,0.721883,0.053044,0.0524893,0.433643,0.431355,0.476217,0.33858,0.219456,0.307655,0.0551935,0.0544307,0.102205,0.735058,0.379628,0.750797,0.389613,0.722369,0.0562335,0.0563722,0.414714,0.313826,0.385106,0.448204,0.423936,0.497851,0.371446,0.371516,0.490293,0.500693,0.384482,0.341492,0.51262,0.472195,0.369852,0.371793,0.497018,0.485162,0.398558,0.477812,0.623839,0.484746,0.467134,0.738178,0.547566,0.775621,0.373527,0.712245,0.397864,0.732631,0.29143,0.0490223,0.328526,0.411593,0.385383,0.519276,0.399875,0.474761,0.0269727,0.751629,0.0893773,0.399945,0.380252,0.7621,0.403134,0.442102,0.0260019,0.760921,0.261268,0.443142,0.38365,0.617321,0.40563,0.529122,0.0275967,0.748856,0.0592151,0.57967,0.380044,0.762793,0.408196,0.749827,0.0230897,0.599431,0.0898627,0.510955,0.385661,0.676536,0.454445,0.501179,0.256344,0.730204,0.5,0.376993,0.392456,0.464776,0.406532,0.380391,0.336638,0.504368,0.254542,0.493829,0.632506,0.509153,0.267439,0.38261,0.259465,0.741367,0.39308,0.756761,0.383303,0.729788,0.408889,0.518999,0.0913188,0.497989,0.391763,0.763209,0.393635,0.730897,0.312093,0.380738,0.053876,0.0558175,0.338025,0.335598,0.379074,0.272154,0.376716,0.377826,0.0526973,0.0559562,0.381709,0.336292,0.481348,0.500901,0.37214,0.426501,0.0574123,0.0528359,0.112467,0.749965,0.377548,0.338511,0.402926,0.77881,0.0569269,0.0556788,0.503467,0.588753,0.522951,0.767161,0.586326,0.593052,0.256344,0.253571,0.38157,0.349813,0.40771,0.698516,0.436625,0.337332,0.303633,0.253086,0.341631,0.449591,0.464291,0.447372,0.344196,0.516433,0.378242,0.755928,0.552767,0.440924,0.45701,0.454722,0.654348,0.798988,0.275205,0.347941,0.562474,0.713285,0.380114,0.531896,0.50416,0.5744,0.0293995,0.412009,0.338441,0.601858,0.382333,0.757939,0.438219,0.737276,0.0269727,0.610387,0.276453,0.342879,0.499307,0.408473,0.534184,0.337124,0.0259326,0.623284,0.499723,0.504507,0.381292,0.752739,0.500555,0.553599,0.0334212,0.600541,0.561087,0.586118,0.557551,0.58279,0.56497,0.571141,0.3166,0.683539,0.336222,0.422896,0.412425,0.392317,0.424768,0.431424,0.256761,0.253918,0.33643,0.348357,0.409167,0.487588,0.42976,0.336777,0.369436,0.525655,0.585009,0.50416,0.45278,0.756483,0.586465,0.505062,0.448967,0.454237,0.586257,0.503398,0.455346,0.531064,0.586742,0.502496
0.0529053,0.053876,0.431563,0.42872,0.378866,0.271252,0.438566,0.725003,0.0565109,0.0537373,0.468312,0.434544,0.493344,0.420122,0.333657,0.417487,0.0535987,0.0541534,0.15622,0.72431,0.378588,0.761406,0.38677,0.724379,0.0574816,0.0566496,0.412703,0.311677,0.533976,0.446263,0.393843,0.469144,0.37318,0.372001,0.399667,0.493482,0.375676,0.42664,0.389128,0.72223,0.371169,0.370198,0.497573,0.50208,0.399806,0.711344,0.548814,0.307447,0.487658,0.561711,0.54715,0.756275,0.394605,0.556303,0.54923,0.728609,0.379698,0.664124,0.400153,0.410484,0.391693,0.516572,0.537651,0.732977,0.0282901,0.75052,0.286368,0.398835,0.381847,0.691028,0.409791,0.516017,0.0244765,0.61323,0.0427125,0.630842,0.382194,0.41194,0.256414,0.381223,0.0297462,0.341353,0.37422,0.759187,0.378103,0.760643,0.408196,0.751283,0.0323117,0.462419,0.309527,0.37942,0.381778,0.763348,0.410553,0.762446,0.306684,0.72119,0.402371,0.499099,0.391,0.405353,0.408612,0.518375,0.203925,0.732284,0.312717,0.642976,0.387186,0.4706,0.562751,0.441617,0.212939,0.465816,0.0499931,0.393565,0.38677,0.554777,0.483705,0.754195,0.0382749,0.500485,0.382402,0.510331,0.416031,0.548398,0.257939,0.446263,0.0543614,0.0543614,0.335182,0.338788,0.379698,0.677923,0.423034,0.72958,0.053876,0.0556095,0.337956,0.339759,0.382749,0.461517,0.424282,0.42553,0.0559562,0.0548468,0.530232,0.730343,0.379282,0.342186,0.503883,0.805159,0.0548468,0.0535987,0.577451,0.811677,0.545278,0.390168,0.586257,0.637152,0.255582,0.304465,0.337887,0.423658,0.442172,0.701706,0.422618,0.426363,0.253848,0.253224,0.361808,0.335529,0.562543,0.440508,0.539107,0.340521,0.375676,0.439537,0.502843,0.609,0.452572,0.521703,0.503883,0.463805,0.375953,0.291291,0.563375,0.80613,0.379143,0.527666,0.570656,0.731452,0.0263486,0.481209,0.335598,0.338233,0.382263,0.391832,0.334766,0.338927,0.0314103,0.756344,0.336222,0.426917,0.383165,0.464845,0.374705,0.517543,0.0368187,0.34066,0.548814,0.802593,0.379836,0.756067,0.502358,0.803841,0.0318264,0.524615,0.582513,0.637013,0.381084,0.498336,0.568992,0.810498,0.259187,0.61954,0.377895,0.338233,0.257939,0.709333,0.439745,0.338511,0.317986,0.316877,0.336084,0.335182,0.411385,0.478297,0.379906,0.514076,0.405492,0.755512,0.499653,0.802177,0.452156,0.445153,0.585494,0.56081,0.440092,0.536403,0.585494,0.589793,0.502635,0.761684,0.502704,0.505131
0.0572736,0.0543614,0.42768,0.435099,0.378727,0.661073,0.409375,0.308071,0.0546387,0.0570656,0.433088,0.427888,0.380252,0.709402,0.495354,0.391901,0.0554015,0.0567189,0.521426,0.730343,0.377964,0.276522,0.428027,0.727292,0.0565109,0.0529746,0.537165,0.408473,0.381986,0.511718,0.41506,0.72743,0.372278,0.370961,0.398766,0.398211,0.223825,0.423034,0.409028,0.489253,0.372348,0.372903,0.502219,0.397448,0.53044,0.33338,0.392387,0.500416,0.375815,0.727777,0.457704,0.449591,0.395715,0.755443,0.393288,0.724171,0.308626,0.640896,0.398419,0.617875,0.224449,0.389266,0.403342,0.561989,0.0306476,0.413188,0.282554,0.475593,0.376993,0.748024,0.406532,0.517196,0.036264,0.594092,0.260851,0.491679,0.381431,0.407502,0.3019,0.408889,0.0304396,0.706005,0.0964499,0.741783,0.3815,0.414506,0.405838,0.441548,0.0286368,0.453405,0.310706,0.47906,0.424976,0.601442,0.410761,0.580017,0.0334905,0.721814,0.0506171,0.516988,0.388989,0.739426,0.408265,0.441478,0.260297,0.729927,0.501664,0.406878,0.395299,0.497088,0.571765,0.495216,0.253155,0.496325,0.434614,0.753363,0.390098,0.413604,0.415754,0.442865,0.0992927,0.735612,0.307932,0.596381,0.387464,0.737068,0.45278,0.380252,0.057551,0.0541534,0.379906,0.380252,0.377479,0.747192,0.373665,0.42872,0.0535987,0.0560949,0.33539,0.459922,0.492927,0.507697,0.539384,0.516087,0.0561642,0.0558175,0.106157,0.750381,0.378103,0.750797,0.510817,0.471017,0.0556788,0.0538067,0.362016,0.588892,0.378935,0.522396,0.501525,0.642005,0.259742,0.256622,0.334697,0.338372,0.321939,0.704133,0.45278,0.341145,0.251699,0.255512,0.339967,0.422757,0.633269,0.44231,0.346277,0.741645,0.371793,0.522396,0.582235,0.751075,0.38996,0.767231,0.506795,0.803148,0.380044,0.429829,0.563098,0.504368,0.442033,0.570309,0.503814,0.808972,0.0329358,0.751629,0.338927,0.594162,0.3815,0.414852,0.337817,0.33858,0.0260019,0.606712,0.334558,0.338441,0.499861,0.462973,0.445223,0.480308,0.0280821,0.413951,0.513382,0.801206,0.381362,0.342324,0.568021,0.555887,0.0332825,0.761059,0.501248,0.590764,0.423034,0.628346,0.586257,0.81022,0.253848,0.256552,0.335182,0.337887,0.406809,0.692414,0.378311,0.345652,0.256761,0.265358,0.336361,0.447996,0.573915,0.446055,0.376924,0.675496,0.0382749,0.502774,0.501248,0.809111,0.417695,0.762862,0.5,0.586465,0.364651,0.588615,0.501733,0.588615,0.454029,0.766052,0.566912,0.592567
0.0518652,0.0572736,0.434198,0.427888,0.378172,0.339135,0.411039,0.411247,0.0552628,0.0540147,0.429275,0.427125,0.379767,0.453543,0.406878,0.360907,0.0556095,0.0566496,0.13729,0.74844,0.380252,0.744626,0.276661,0.304465,0.0551241,0.0547774,0.410623,0.316738,0.546041,0.748301,0.394259,0.551588,0.366315,0.37207,0.50104,0.499584,0.389266,0.704133,0.388088,0.706074,0.372001,0.372348,0.39939,0.39939,0.609694,0.439675,0.428165,0.700735,0.478158,0.731313,0.457218,0.720011,0.404244,0.675981,0.38788,0.364998,0.379351,0.0525586,0.326862,0.616974,0.230135,0.541534,0.391624,0.468867,0.0262793,0.751699,0.0970739,0.746914,0.378796,0.41298,0.402649,0.496186,0.0299542,0.757523,0.32499,0.629524,0.382402,0.45805,0.41721,0.405076,0.0281514,0.468936,0.403273,0.760297,0.382402,0.75995,0.410137,0.440924,0.0258633,0.451186,0.0377201,0.53356,0.42456,0.521426,0.410553,0.574608,0.0341145,0.7327,0.310498,0.376023,0.385037,0.468451,0.405422,0.379836,0.204757,0.727777,0.304465,0.631188,0.387533,0.366454,0.552767,0.410969,0.0303703,0.467896,0.454029,0.756622,0.390098,0.724033,0.404313,0.445153,0.036264,0.497712,0.410969,0.579393,0.482319,0.558244,0.390098,0.59437,0.0538067,0.0546387,0.338303,0.335737,0.379282,0.750797,0.437526,0.387949,0.0535293,0.0545694,0.337263,0.336777,0.493413,0.28408,0.338164,0.340175,0.0525586,0.0559562,0.542227,0.740397,0.379074,0.271876,0.583068,0.802108,0.0563029,0.0538067,0.566496,0.637498,0.547705,0.520039,0.566149,0.637082,0.469976,0.2526,0.422549,0.423381,0.404798,0.710512,0.375399,0.50208,0.303079,0.267785,0.448204,0.349813,0.352656,0.478297,0.345652,0.516156,0.274234,0.510262,0.501109,0.611566,0.380391,0.395507,0.504507,0.464152,0.436902,0.52725,0.56809,0.639162,0.42241,0.38573,0.503675,0.589239,0.0299542,0.757038,0.335252,0.471017,0.380391,0.689294,0.338441,0.344058,0.0327278,0.741853,0.33858,0.342948,0.382194,0.454861,0.423034,0.342602,0.0307863,0.761545,0.446193,0.807586,0.37838,0.414575,0.402025,0.799958,0.0273887,0.521495,0.500832,0.506587,0.559076,0.524199,0.606573,0.505616,0.209056,0.359035,0.337263,0.423728,0.410692,0.708778,0.391277,0.748093,0.261476,0.668354,0.347733,0.335529,0.405977,0.487796,0.534877,0.543475,0.350506,0.760574,0.586326,0.606573,0.455831,0.760366,0.585633,0.810567,0.370198,0.537512,0.583345,0.543753,0.448135,0.578977,0.695743,0.504715
0.0543614,0.0533907,0.430315,0.429552,0.378311,0.272708,0.265913,0.609763,0.0555401,0.0517959,0.430731,0.429483,0.383165,0.391277,0.208778,0.345236,0.0535987,0.0567189,0.127791,0.603037,0.378103,0.736791,0.423797,0.723894,0.0515185,0.0533907,0.411108,0.319443,0.551241,0.386562,0.287755,0.554777,0.370476,0.370337,0.490085,0.499029,0.401817,0.685966,0.386424,0.453821,0.369782,0.372625,0.400291,0.499723,0.398835,0.327208,0.412287,0.458882,0.378588,0.735058,0.545555,0.757593,0.487588,0.701012,0.500555,0.701636,0.233324,0.0486063,0.475107,0.299473,0.28193,0.700596,0.40466,0.500555,0.0316877,0.764318,0.256691,0.400985,0.381709,0.369228,0.411385,0.517196,0.0275274,0.755928,0.256275,0.493482,0.382887,0.756552,0.411385,0.380668,0.0246845,0.758217,0.287963,0.381154,0.377548,0.75572,0.40251,0.447511,0.0273194,0.762516,0.409028,0.541256,0.382749,0.520386,0.544377,0.531688,0.258979,0.40882,0.258494,0.50208,0.39412,0.729857,0.259326,0.518791,0.257315,0.728193,0.255651,0.381223,0.631327,0.727292,0.409791,0.587991,0.26411,0.735543,0.54611,0.759118,0.386007,0.731105,0.411593,0.445569,0.260227,0.552212,0.260713,0.586188,0.53148,0.739149,0.598946,0.377964,0.0539454,0.0524893,0.336846,0.377756,0.37845,0.273055,0.335252,0.374428,0.0556788,0.054084,0.299889,0.457357,0.494592,0.503051,0.531826,0.478366,0.0542227,0.0520039,0.499653,0.738941,0.378311,0.754195,0.499307,0.432118,0.0538067,0.0531133,0.500416,0.643739,0.379212,0.551172,0.568922,0.588476,0.399945,0.301692,0.361808,0.422688,0.407572,0.703023,0.457912,0.334628,0.30398,0.30613,0.365691,0.360283,0.323811,0.583276,0.535848,0.653585,0.272223,0.616974,0.497504,0.724795,0.403203,0.758979,0.584662,0.803633,0.32388,0.395854,0.501872,0.667661,0.415754,0.392456,0.563514,0.662252,0.0292609,0.764318,0.337748,0.336292,0.38046,0.415684,0.439814,0.339065,0.0273194,0.757662,0.422688,0.421439,0.383719,0.457704,0.424906,0.342047,0.0280128,0.404313,0.062266,0.511649,0.378034,0.754888,0.502358,0.500971,0.0303009,0.460408,0.500971,0.593884,0.42352,0.449868,0.563375,0.589169,0.298156,0.253155,0.342186,0.362432,0.404244,0.710026,0.559007,0.477604,0.317778,0.390653,0.423242,0.340937,0.578145,0.47698,0.335529,0.42456,0.369089,0.379836,0.50319,0.654833,0.45285,0.564832,0.503467,0.805991,0.349119,0.574747,0.563098,0.590556,0.383373,0.528082,0.570864,0.508251
