0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
nan,0.0556095,0.201498,0.402163,0.248024,0.249549,0.385314,0.303495,0.0559562,0.0572043,0.313133,0.390098,0.251768,0.251144,0.329635,0.337193,0.0522119,0.0554015,0.459021,0.645958,0.248995,0.252462,0.387949,0.716822,0.0563029,0.0560255,0.414922,0.410207,0.254126,0.25267,0.475107,0.421647,0.246776,0.3365,0.396547,0.215643,0.211482,0.403273,0.321037,0.5493,0.345098,0.511233,0.525239,0.328942,0.400915,0.402025,0.464013,0.376577,0.344127,0.650257,0.344682,0.691929,0.300929,0.288379,0.427541,0.726182,0.16877,0.149216,0.375191,0.431632,0.209056,0.216752,0.307863,0.303564,0.34489,0.711829,0.322355,0.516572,0.376577,0.698516,0.325198,0.391901,0.300374,0.713424,0.325128,0.45389,0.349119,0.554708,0.324643,0.449522,0.14568,0.707808,0.398419,0.744834,0.375884,0.712939,0.421647,0.761684,0.302247,0.587713,0.326446,0.564832,0.350506,0.554847,0.404937,0.572459,0.21807,0.696713,0.256552,0.751421,0.296561,0.712315,0.446817,0.508182,0.252808,0.399875,0.472819,0.764457,0.30086,0.511094,0.501595,0.447857,0.327555,0.717168,0.44134,0.760227,0.346901,0.717168,0.437665,0.763486,0.38573,0.717654,0.403758,0.501456,0.327486,0.720496,0.393219,0.763972,0.185897,0.230343,0.418666,0.33539,0.40986,0.281306,0.44335,0.338303,0.329843,0.176813,0.422618,0.336014,0.277978,0.27354,0.405769,0.368326,0.336638,0.419983,0.500693,0.502149,0.336846,0.340244,0.582582,0.503467,0.333449,0.483428,0.501456,0.567813,0.354666,0.336708,0.553113,0.811122,0.369713,0.262793,0.420122,0.400291,0.414367,0.414991,0.400222,0.443281,0.506379,0.368673,0.499445,0.501733,0.465539,0.359243,0.425738,0.500485,0.339828,0.482943,0.584732,0.50312,0.337193,0.423589,0.501387,0.800652,0.491818,0.746914,0.501803,0.635279,0.42241,0.560047,0.510539,0.665788,0.171405,0.182014,0.421439,0.33546,0.387117,0.667244,0.338164,0.423104,0.318957,0.179795,0.440161,0.404937,0.369644,0.3815,0.424906,0.334766,0.337679,0.38573,0.584662,0.620649,0.348703,0.738871,0.504091,0.809735,0.404313,0.660172,0.581958,0.812439,0.496325,0.747053,0.585148,0.569824,0.317224,0.665234,0.3365,0.444668,0.341076,0.336153,0.405006,0.490778,0.516433,0.437318,0.497157,0.500693,0.35321,0.177299,0.427056,0.543337,0.338441,0.740397,0.585009,0.586326,0.359936,0.746845,0.506795,0.572944,0.426848,0.75683,0.503398,0.611011,0.393565,0.645542,0.647691,0.636042
0.0559562,0.0563029,0.296769,0.2076,0.250173,0.250104,0.385314,0.304881,0.0513798,0.0578283,0.392941,0.213285,0.250104,0.250035,0.346485,0.301553,0.0542921,0.0567882,0.229233,0.636181,0.250659,0.250797,0.389197,0.394952,0.053668,0.0553321,0.482804,0.65303,0.24948,0.388434,0.377132,0.376993,0.336985,0.330606,0.323464,0.208362,0.396824,0.262654,0.306823,0.550132,0.409791,0.343988,0.443974,0.446124,0.405353,0.26834,0.466232,0.481764,0.33539,0.61323,0.348287,0.680003,0.293926,0.409999,0.417903,0.418805,0.125711,0.130703,0.331923,0.330883,0.290944,0.295243,0.411801,0.321037,0.344682,0.567466,0.321869,0.51678,0.309042,0.706698,0.324366,0.392941,0.301692,0.584662,0.370614,0.485647,0.420122,0.723547,0.402649,0.49792,0.283386,0.338927,0.324296,0.523506,0.307724,0.256275,0.329289,0.527874,0.298017,0.48114,0.46117,0.445084,0.348426,0.694772,0.46859,0.380946,0.233671,0.712453,0.396894,0.377687,0.247192,0.716197,0.401747,0.380114,0.417348,0.715157,0.324851,0.384135,0.428027,0.713424,0.511788,0.386216,0.435377,0.712661,0.407849,0.378034,0.301484,0.716614,0.413466,0.750589,0.355291,0.715296,0.325822,0.535293,0.475038,0.712107,0.500832,0.495216,0.295313,0.180419,0.333102,0.416586,0.27992,0.283595,0.421855,0.343919,0.170503,0.325752,0.420191,0.33643,0.287339,0.27992,0.36375,0.366593,0.333726,0.737831,0.497712,0.628346,0.343364,0.758633,0.58286,0.573846,0.485647,0.625641,0.503536,0.636458,0.342047,0.58487,0.511788,0.590487,0.370684,0.37006,0.33754,0.385522,0.415338,0.422341,0.395576,0.490709,0.40043,0.430731,0.569339,0.495424,0.349327,0.354736,0.428859,0.4308,0.358272,0.42241,0.581334,0.554223,0.340313,0.742823,0.558799,0.50104,0.422133,0.647968,0.57024,0.666135,0.459992,0.555887,0.510401,0.811954,0.180835,0.176675,0.333934,0.248856,0.384135,0.674802,0.334697,0.349258,0.319373,0.17605,0.421578,0.428997,0.367563,0.188601,0.504022,0.488282,0.358827,0.649841,0.434406,0.575232,0.36167,0.461656,0.500901,0.504784,0.383511,0.748995,0.584662,0.576342,0.338441,0.499653,0.591457,0.634517,0.270351,0.314727,0.424282,0.337332,0.333172,0.335876,0.363889,0.335529,0.437595,0.481417,0.434614,0.499307,0.435238,0.359243,0.464707,0.588129,0.431078,0.726876,0.503744,0.509361,0.538968,0.337124,0.512204,0.506448,0.338441,0.531133,0.571003,0.710997,0.345306,0.460685,0.501387,0.609763
0.0542227,0.0563722,0.11843,0.296699,0.25267,0.250035,0.302663,0.386077,0.0555401,0.0535987,0.304951,0.305228,0.250381,0.252392,0.391277,0.481903,0.0554708,0.0531133,0.457287,0.71703,0.247816,0.250381,0.388989,0.390168,0.0549854,0.0537373,0.41513,0.414228,0.253016,0.25052,0.368534,0.407225,0.249688,0.335113,0.227846,0.325475,0.261614,0.405492,0.479268,0.418111,0.444182,0.434128,0.445084,0.516849,0.267092,0.26522,0.506865,0.523298,0.344058,0.347941,0.447441,0.660519,0.401193,0.304812,0.533907,0.486826,0.111358,0.584524,0.417765,0.674802,0.298086,0.205311,0.421717,0.56504,0.343295,0.500555,0.254888,0.512342,0.376231,0.702191,0.266953,0.740605,0.263348,0.704965,0.40251,0.448412,0.348287,0.716267,0.465331,0.500277,0.137637,0.713355,0.324851,0.751491,0.376231,0.502704,0.412425,0.385661,0.302732,0.446956,0.354736,0.761198,0.351061,0.722785,0.412772,0.766815,0.266953,0.712245,0.324296,0.738039,0.250867,0.712939,0.460893,0.356192,0.345236,0.717099,0.25787,0.536611,0.447164,0.508459,0.404174,0.503675,0.2673,0.704271,0.323533,0.394397,0.296075,0.705519,0.557066,0.450492,0.38892,0.706005,0.326931,0.499099,0.405977,0.714949,0.386077,0.761129,0.178755,0.295798,0.335113,0.334073,0.281861,0.282485,0.445292,0.519761,0.333102,0.175634,0.415684,0.408057,0.40771,0.290944,0.430245,0.402787,0.308487,0.335529,0.500208,0.617182,0.338719,0.339135,0.582652,0.652753,0.307655,0.30717,0.597421,0.663778,0.457634,0.56393,0.502358,0.567744,0.180904,0.310706,0.338025,0.338233,0.338996,0.334628,0.401193,0.346138,0.430592,0.434198,0.501317,0.497296,0.4706,0.355083,0.540563,0.428859,0.356331,0.744557,0.550756,0.549924,0.338095,0.341007,0.581889,0.501872,0.49473,0.635071,0.502912,0.634239,0.545902,0.747885,0.609832,0.632991,0.186867,0.68028,0.420885,0.333518,0.223617,0.669047,0.421509,0.34482,0.179448,0.357787,0.341353,0.424976,0.367841,0.38781,0.434128,0.458397,0.335182,0.54195,0.575579,0.502011,0.367494,0.491055,0.601373,0.503952,0.401609,0.485786,0.582929,0.728609,0.567466,0.594578,0.563999,0.813341,0.38989,0.319651,0.337817,0.339412,0.337401,0.177923,0.49057,0.342532,0.480031,0.362224,0.496048,0.338927,0.526487,0.178477,0.432464,0.427957,0.345999,0.745181,0.584593,0.503814,0.536125,0.727708,0.505963,0.799404,0.337679,0.592082,0.5052,0.633893,0.4256,0.34281,0.589377,0.569061
0.0548468,0.0559562,0.298641,0.293649,0.252531,0.253987,0.303703,0.391624,0.0543614,0.0517265,0.416447,0.304188,0.256622,0.253155,0.301415,0.303148,0.053044,0.0559562,0.464637,0.645195,0.249549,0.251976,0.397656,0.684926,0.0558175,0.0561642,0.234642,0.436139,0.249757,0.252254,0.473513,0.688393,0.248232,0.315421,0.221329,0.229441,0.331161,0.29351,0.471294,0.417279,0.137706,0.348565,0.518236,0.215435,0.405006,0.294481,0.4654,0.464152,0.184094,0.660519,0.34482,0.211066,0.203023,0.274234,0.362502,0.326792,0.146859,0.121897,0.207114,0.222161,0.215781,0.400361,0.309527,0.505408,0.345791,0.716128,0.321176,0.527666,0.372486,0.705103,0.259534,0.380876,0.301068,0.709818,0.327486,0.378935,0.28616,0.712523,0.403481,0.497296,0.343711,0.715296,0.259187,0.750381,0.376439,0.705866,0.254611,0.773679,0.300028,0.513452,0.417765,0.568021,0.418181,0.71169,0.330537,0.444876,0.374151,0.701636,0.397864,0.515185,0.402857,0.715157,0.305852,0.756414,0.282346,0.719318,0.466509,0.382402,0.477188,0.620372,0.572389,0.753848,0.146859,0.698724,0.372556,0.407156,0.431286,0.717238,0.258286,0.755582,0.376161,0.513174,0.363126,0.444807,0.43288,0.480863,0.404036,0.517751,0.180419,0.174941,0.33546,0.333934,0.409375,0.284773,0.421023,0.425946,0.321592,0.326168,0.31757,0.336777,0.277978,0.278533,0.430523,0.433158,0.33442,0.740674,0.580987,0.501525,0.450215,0.452919,0.501179,0.533629,0.307308,0.498336,0.501941,0.708709,0.337401,0.458328,0.501456,0.57447,0.317778,0.306962,0.335737,0.420954,0.338025,0.404868,0.486964,0.431424,0.430107,0.363056,0.495146,0.498197,0.35744,0.362363,0.432048,0.536819,0.33546,0.341978,0.443212,0.80918,0.341908,0.337887,0.601442,0.797046,0.42449,0.486618,0.50839,0.636805,0.523298,0.564207,0.644987,0.634863,0.184856,0.19283,0.335113,0.417626,0.168562,0.35425,0.336846,0.344335,0.170295,0.66669,0.426501,0.34801,0.431702,0.67605,0.338719,0.429344,0.35848,0.744557,0.500485,0.804535,0.339204,0.423173,0.489807,0.805436,0.337263,0.336084,0.58598,0.809943,0.393981,0.557412,0.505408,0.80606,0.317085,0.39204,0.420885,0.43288,0.337124,0.40674,0.369574,0.407086,0.512412,0.330121,0.530301,0.498405,0.17404,0.428512,0.588199,0.43087,0.340937,0.586188,0.502219,0.556927,0.360491,0.731521,0.501733,0.506102,0.343087,0.548745,0.503051,0.591666,0.43295,0.569061,0.508182,0.666204
0.0557482,0.0574123,0.401886,0.198308,0.251699,0.256691,0.389266,0.302524,0.0567189,0.0555401,0.30502,0.387741,0.250936,0.250936,0.388781,0.282277,0.0515879,0.0526973,0.462211,0.62058,0.254195,0.254264,0.483012,0.431771,0.0559562,0.0555401,0.411524,0.634101,0.384551,0.250104,0.371308,0.314727,0.179795,0.335252,0.205519,0.326515,0.329427,0.403897,0.357856,0.331438,0.343711,0.181944,0.331785,0.43711,0.411385,0.331715,0.605187,0.378311,0.344682,0.691652,0.345722,0.677437,0.405422,0.399182,0.574331,0.570656,0.113993,0.274581,0.331646,0.218278,0.260643,0.264457,0.500485,0.327971,0.341562,0.710997,0.390306,0.362918,0.373873,0.398904,0.379975,0.378172,0.302455,0.385661,0.32499,0.772847,0.350229,0.590209,0.463459,0.517751,0.28089,0.715712,0.326931,0.502288,0.375399,0.54923,0.420815,0.763417,0.301345,0.508737,0.36368,0.753918,0.290598,0.718347,0.402163,0.562197,0.375815,0.706698,0.323672,0.765775,0.394259,0.69921,0.464221,0.443766,0.413604,0.715643,0.471987,0.378034,0.338095,0.515324,0.494245,0.535224,0.435238,0.710512,0.405076,0.757385,0.40563,0.707114,0.44446,0.753918,0.333796,0.431563,0.405214,0.383719,0.41617,0.517889,0.548884,0.378796,0.172792,0.170573,0.417695,0.414436,0.286992,0.171543,0.424282,0.425946,0.331577,0.186798,0.338303,0.33858,0.283456,0.281722,0.431078,0.441894,0.306823,0.744626,0.43711,0.804881,0.346554,0.747816,0.584524,0.504715,0.416378,0.541395,0.661836,0.505131,0.343156,0.460546,0.585702,0.504715,0.369297,0.338719,0.445569,0.339412,0.337124,0.338233,0.422272,0.536056,0.508113,0.315005,0.340729,0.339343,0.460546,0.364929,0.345583,0.586257,0.341007,0.577243,0.583622,0.503536,0.340036,0.48218,0.502149,0.616697,0.340244,0.33858,0.585286,0.510609,0.497226,0.560325,0.50735,0.504299,0.254888,0.682846,0.421855,0.334766,0.388573,0.686174,0.430939,0.342671,0.315213,0.355984,0.340868,0.433574,0.365899,0.409791,0.338649,0.424698,0.333657,0.737831,0.581889,0.615726,0.380738,0.741645,0.582721,0.617737,0.388989,0.756622,0.569616,0.50319,0.438635,0.645819,0.50735,0.673416,0.318541,0.6635,0.439814,0.432534,0.296283,0.357301,0.404105,0.395091,0.512966,0.514353,0.438289,0.496672,0.460408,0.357717,0.520108,0.429829,0.33858,0.735266,0.436763,0.502288,0.343572,0.465539,0.50631,0.651227,0.338025,0.565872,0.516711,0.809388,0.423242,0.557551,0.510331,0.589169
0.0552628,0.0548468,0.202191,0.199556,0.251352,0.248648,0.30086,0.302108,0.0562335,0.0562335,0.393219,0.382957,0.114755,0.249688,0.307794,0.372694,0.0569269,0.0521426,0.464499,0.595271,0.253432,0.250035,0.421162,0.686451,0.054084,0.0547081,0.41298,0.410761,0.248509,0.2474,0.371724,0.474483,0.113022,0.332339,0.325891,0.223894,0.262932,0.261337,0.54188,0.470462,0.341562,0.435654,0.260505,0.21592,0.544793,0.262377,0.523922,0.522674,0.340175,0.592636,0.44869,0.688601,0.336916,0.205381,0.418319,0.70545,0.119678,0.646859,0.211274,0.479268,0.289904,0.423312,0.467203,0.729441,0.337609,0.693385,0.322771,0.392664,0.304188,0.335252,0.40251,0.371377,0.301623,0.483081,0.253155,0.536195,0.347802,0.706143,0.260505,0.450631,0.345236,0.716683,0.323533,0.399598,0.376647,0.706213,0.324227,0.519415,0.297809,0.713216,0.340105,0.546387,0.349189,0.511233,0.404937,0.518721,0.314658,0.701082,0.40147,0.360214,0.25579,0.711621,0.301484,0.766399,0.498683,0.709056,0.364721,0.382541,0.450007,0.459784,0.563999,0.519345,0.368465,0.706421,0.412425,0.737623,0.351893,0.701498,0.450978,0.756691,0.470531,0.715227,0.440854,0.380946,0.336292,0.715157,0.468936,0.566773,0.180765,0.171405,0.392248,0.335113,0.409652,0.282485,0.366801,0.422549,0.17404,0.209056,0.295382,0.335598,0.28304,0.299265,0.336985,0.425114,0.334212,0.338788,0.500693,0.501941,0.33643,0.336638,0.554361,0.502635,0.37741,0.337193,0.55665,0.589724,0.350437,0.33858,0.5052,0.811677,0.319928,0.261129,0.424421,0.383234,0.406532,0.352101,0.401193,0.484191,0.436486,0.381223,0.5,0.571696,0.452642,0.35328,0.435446,0.429829,0.391277,0.739357,0.555055,0.806546,0.36063,0.748163,0.585494,0.565386,0.340175,0.342047,0.602344,0.505131,0.341284,0.74844,0.557274,0.809874,0.172376,0.355776,0.336222,0.334974,0.389474,0.668077,0.33754,0.347039,0.177576,0.386978,0.421647,0.337956,0.363542,0.681806,0.34274,0.440369,0.337609,0.430453,0.499099,0.807239,0.3616,0.750867,0.58494,0.504576,0.449383,0.74532,0.569616,0.712731,0.343642,0.749341,0.50423,0.810359,0.318818,0.66038,0.339759,0.419498,0.417071,0.421162,0.394397,0.403203,0.321384,0.358341,0.47698,0.565456,0.357717,0.521218,0.43087,0.343503,0.341978,0.433158,0.579947,0.807794,0.349119,0.338233,0.58591,0.57752,0.427125,0.742685,0.601581,0.567258,0.426085,0.563237,0.587228,0.666898
0.057759,0.0549161,0.294273,0.403411,0.252254,0.251768,0.38892,0.307031,0.0563722,0.0551241,0.219387,0.416447,0.247538,0.24844,0.389405,0.277007,0.0581057,0.0544307,0.456317,0.639994,0.253432,0.248995,0.388018,0.329358,0.0542921,0.053252,0.41194,0.680904,0.252392,0.247677,0.42241,0.4109,0.173832,0.334004,0.263833,0.326238,0.266953,0.262654,0.540563,0.548814,0.499445,0.176536,0.515879,0.448204,0.403758,0.297809,0.33858,0.388781,0.184094,0.695812,0.328318,0.447233,0.404868,0.266191,0.419983,0.424906,0.272084,0.157052,0.331299,0.242962,0.336153,0.667869,0.492997,0.727361,0.343295,0.713424,0.25468,0.756275,0.37741,0.699071,0.258425,0.754334,0.298364,0.716614,0.324435,0.51463,0.348842,0.712453,0.399459,0.50208,0.141936,0.709264,0.324296,0.737484,0.373111,0.720011,0.420191,0.757662,0.30398,0.709264,0.324504,0.760435,0.346693,0.720288,0.469422,0.765497,0.265775,0.714949,0.400291,0.365137,0.253779,0.713632,0.451602,0.453474,0.41714,0.699764,0.259811,0.564901,0.511164,0.386077,0.329011,0.455415,0.327278,0.505894,0.276661,0.760089,0.345098,0.715435,0.500347,0.45805,0.402371,0.707183,0.450354,0.760019,0.381778,0.399459,0.406532,0.759049,0.296769,0.183747,0.420191,0.334558,0.408057,0.403827,0.421994,0.365483,0.209264,0.174178,0.43184,0.423034,0.294273,0.407641,0.345236,0.337887,0.334697,0.527943,0.437387,0.502635,0.3365,0.741714,0.575718,0.559839,0.480793,0.617598,0.583622,0.810429,0.341492,0.549577,0.605603,0.612675,0.256691,0.261684,0.337679,0.382957,0.410345,0.351338,0.447441,0.489738,0.174941,0.429829,0.338441,0.571765,0.416932,0.526626,0.429968,0.430037,0.338233,0.346693,0.578907,0.5052,0.461794,0.404244,0.500832,0.81022,0.423312,0.638677,0.606851,0.56816,0.425738,0.5545,0.586604,0.587367,0.176675,0.638954,0.419359,0.336084,0.283178,0.464499,0.339273,0.529816,0.180557,0.344959,0.422896,0.338857,0.364305,0.653793,0.422688,0.488074,0.335806,0.729718,0.499445,0.573429,0.38261,0.483775,0.581403,0.502774,0.341492,0.53876,0.501941,0.808764,0.435307,0.596173,0.507558,0.668285,0.315906,0.652614,0.341215,0.341978,0.340937,0.672792,0.431355,0.422341,0.433296,0.433782,0.480516,0.568645,0.452988,0.364166,0.60061,0.505131,0.429483,0.743517,0.500347,0.576758,0.383858,0.487727,0.540424,0.810914,0.340591,0.339204,0.569893,0.568021,0.527943,0.751976,0.599847,0.601442
0.0554015,0.053876,0.294134,0.203647,0.251144,0.251907,0.482665,0.302732,0.0549161,0.0549161,0.405561,0.390168,0.249757,0.251491,0.386632,0.389266,0.0569269,0.0528359,0.226876,0.641173,0.245597,0.249203,0.386354,0.39204,0.0526973,0.0522119,0.237762,0.670018,0.247677,0.250035,0.373735,0.477326,0.337263,0.388989,0.326515,0.326238,0.266468,0.395646,0.420746,0.338788,0.495978,0.344266,0.444668,0.517404,0.206767,0.525863,0.30294,0.462696,0.348218,0.703509,0.329011,0.35425,0.271252,0.698794,0.43399,0.72015,0.185411,0.123145,0.217931,0.694495,0.265775,0.206559,0.423936,0.41409,0.338441,0.391416,0.260713,0.393357,0.373111,0.710165,0.325336,0.381223,0.301206,0.711552,0.351061,0.598114,0.345722,0.714672,0.403411,0.764318,0.345098,0.706767,0.399737,0.76307,0.376647,0.708362,0.402718,0.759395,0.300028,0.540563,0.373804,0.501456,0.350853,0.515185,0.405353,0.760851,0.217931,0.708016,0.399528,0.445015,0.254542,0.713424,0.455485,0.377964,0.39516,0.444876,0.416586,0.484607,0.299265,0.488975,0.563375,0.560949,0.265012,0.400777,0.319651,0.764942,0.349605,0.70857,0.405561,0.76314,0.456802,0.555471,0.552143,0.562682,0.381015,0.713008,0.392456,0.761892,0.169047,0.177437,0.335806,0.410207,0.295174,0.280266,0.365553,0.365899,0.16877,0.175426,0.30086,0.371377,0.283109,0.283248,0.346415,0.399528,0.309596,0.406532,0.441409,0.800998,0.451602,0.342671,0.584662,0.55873,0.335182,0.730828,0.583484,0.636597,0.339551,0.341562,0.501456,0.810151,0.263348,0.268548,0.441686,0.508043,0.421231,0.346623,0.402579,0.399598,0.437665,0.431008,0.499445,0.440924,0.354458,0.180835,0.549438,0.548606,0.338372,0.650465,0.5,0.810914,0.390376,0.606851,0.50208,0.514769,0.344543,0.729302,0.504438,0.609486,0.430315,0.616003,0.606088,0.62058,0.171613,0.350853,0.334281,0.244141,0.174664,0.655665,0.338788,0.425392,0.321869,0.676744,0.338372,0.33962,0.361878,0.409167,0.437803,0.728193,0.336153,0.434475,0.54722,0.618916,0.341839,0.339135,0.585772,0.502219,0.447788,0.536957,0.504299,0.578214,0.339481,0.590972,0.595063,0.80606,0.31653,0.321176,0.434406,0.420607,0.337748,0.336014,0.492095,0.488836,0.412841,0.303911,0.528498,0.429968,0.471155,0.4507,0.515948,0.603314,0.335945,0.740327,0.438219,0.501872,0.485439,0.746706,0.540771,0.573637,0.437595,0.559839,0.569755,0.57024,0.426571,0.434406,0.575232,0.80925
0.0566496,0.0582443,0.20129,0.294065,0.247955,0.247955,0.305159,0.385799,0.0546387,0.0541534,0.303425,0.385661,0.2526,0.252808,0.304119,0.302385,0.0545001,0.0558175,0.450908,0.632021,0.256552,0.25371,0.395784,0.458813,0.0563029,0.0554015,0.406532,0.412495,0.249064,0.38885,0.473235,0.70129,0.335598,0.250243,0.323811,0.226876,0.40355,0.391,0.470046,0.330329,0.335668,0.487172,0.328873,0.446817,0.266745,0.525239,0.338095,0.462488,0.182915,0.682083,0.40043,0.685064,0.270975,0.682707,0.363819,0.420885,0.255443,0.656982,0.442033,0.221953,0.330883,0.267993,0.315282,0.546457,0.341562,0.71696,0.321523,0.539454,0.379282,0.697407,0.324782,0.445015,0.298641,0.71176,0.34905,0.383997,0.419221,0.712592,0.405353,0.757385,0.290944,0.703578,0.325267,0.381015,0.374081,0.706767,0.257593,0.518028,0.299196,0.38781,0.354112,0.517543,0.347802,0.512065,0.401193,0.385799,0.264873,0.712523,0.399806,0.755651,0.34489,0.711968,0.45389,0.446332,0.421439,0.716544,0.468104,0.518167,0.377063,0.515324,0.458328,0.38261,0.318749,0.71176,0.408889,0.379698,0.344058,0.717654,0.40251,0.51678,0.343988,0.398835,0.449036,0.753155,0.379975,0.517265,0.498821,0.379836,0.177992,0.17196,0.335252,0.334281,0.293094,0.282346,0.3417,0.342532,0.173901,0.326584,0.336916,0.410068,0.411455,0.278394,0.485716,0.366523,0.33435,0.334766,0.562335,0.502496,0.336777,0.341353,0.505894,0.503467,0.308626,0.743378,0.552281,0.589239,0.344543,0.45701,0.575371,0.570309,0.262516,0.176467,0.438427,0.341284,0.342602,0.297532,0.407017,0.340521,0.410415,0.513868,0.496325,0.497573,0.353141,0.42976,0.604562,0.538067,0.337055,0.478644,0.436486,0.558175,0.526141,0.741367,0.446956,0.50208,0.413466,0.524199,0.604008,0.502149,0.471641,0.696505,0.505547,0.567397,0.170434,0.671613,0.336292,0.250936,0.38996,0.194564,0.445431,0.431494,0.197407,0.668701,0.33435,0.406601,0.361115,0.178963,0.340244,0.432395,0.360352,0.346346,0.500208,0.809943,0.338649,0.748856,0.501803,0.507558,0.38365,0.747261,0.504992,0.610942,0.434614,0.662807,0.629247,0.610456,0.263417,0.262862,0.438705,0.443558,0.42137,0.336292,0.48842,0.398766,0.306754,0.367633,0.430245,0.496256,0.350714,0.45701,0.398488,0.537789,0.334212,0.4308,0.501387,0.501456,0.359451,0.488906,0.503744,0.806754,0.340036,0.485231,0.554015,0.612467,0.509638,0.431563,0.505478,0.509014
0.0561642,0.0555401,0.196505,0.295451,0.252739,0.387256,0.306892,0.476702,0.054084,0.0548468,0.301484,0.219248,0.250173,0.250243,0.390237,0.283109,0.0539454,0.0559562,0.214117,0.679448,0.253918,0.249411,0.291776,0.429275,0.0549854,0.053044,0.406532,0.41409,0.254056,0.251213,0.480169,0.405076,0.248301,0.327624,0.21703,0.326307,0.457495,0.29774,0.416863,0.324643,0.180003,0.439606,0.518236,0.516295,0.2621,0.53883,0.463805,0.378242,0.345583,0.677091,0.443974,0.695673,0.402718,0.291638,0.305436,0.361531,0.18132,0.695673,0.327486,0.216752,0.408404,0.288102,0.4161,0.417973,0.341353,0.709541,0.255027,0.516919,0.373804,0.709541,0.260921,0.406254,0.30079,0.713424,0.351824,0.586118,0.346069,0.54299,0.413119,0.382749,0.343226,0.714117,0.40251,0.393565,0.373319,0.709472,0.328595,0.756622,0.302732,0.715643,0.356608,0.379143,0.347525,0.54923,0.404521,0.499376,0.132645,0.717931,0.322008,0.515185,0.25579,0.716752,0.313687,0.510054,0.492234,0.512134,0.472403,0.58383,0.299681,0.712384,0.5052,0.380738,0.371238,0.712037,0.402025,0.743864,0.301068,0.712037,0.446748,0.752045,0.348773,0.716128,0.552489,0.516087,0.408196,0.718208,0.264526,0.443558,0.17189,0.178131,0.416378,0.418389,0.276175,0.294966,0.366385,0.421439,0.183192,0.326931,0.340799,0.337332,0.410553,0.407086,0.430245,0.440022,0.334142,0.421023,0.499376,0.804049,0.343711,0.459645,0.507142,0.587159,0.334558,0.342255,0.65726,0.809111,0.452364,0.453959,0.604008,0.809527,0.259881,0.174248,0.338164,0.345514,0.501179,0.418597,0.487519,0.404521,0.51047,0.362086,0.53356,0.386285,0.451532,0.359728,0.43184,0.458536,0.341423,0.500555,0.504368,0.502219,0.468312,0.347871,0.582929,0.586881,0.337055,0.73582,0.601858,0.591735,0.427541,0.561295,0.607197,0.566634,0.43191,0.172722,0.419567,0.421647,0.388296,0.668978,0.334281,0.340036,0.392525,0.657884,0.422272,0.424074,0.366177,0.180349,0.496741,0.490847,0.336084,0.437595,0.494661,0.809943,0.339897,0.743101,0.575024,0.506448,0.338233,0.538067,0.502635,0.813549,0.492095,0.494314,0.502288,0.713909,0.318541,0.67085,0.342948,0.380876,0.42449,0.658647,0.338857,0.340244,0.305575,0.711136,0.336985,0.447095,0.471294,0.353973,0.542158,0.542574,0.414436,0.483012,0.501387,0.502496,0.343503,0.432256,0.583969,0.536333,0.339828,0.554569,0.588337,0.811053,0.424005,0.659895,0.607059,0.638122
