0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
nan,0.0548468,0.0541534,0.0539454,0.0543614,0.561711,0.0468035,0.490847,0.262377,0.257454,0.265983,0.266953,0.595756,0.716405,0.263625,0.270351,0.0533213,0.0539454,0.0554015,0.0549854,0.0568576,0.73478,0.400985,0.054084,0.271807,0.735612,0.505686,0.558522,0.26938,0.731729,0.543683,0.611704,0.0549854,0.0560949,0.0576203,0.0569963,0.0556788,0.562335,0.0481903,0.557204,0.499861,0.499931,0.499931,0.499931,0.488975,0.500139,0.501664,0.504368,0.0569963,0.0547081,0.0566496,0.0552628,0.0596311,0.729649,0.626543,0.640549,0.501525,0.463944,0.587089,0.501595,0.50208,0.576896,0.502011,0.502704,0.374775,0.721953,0.0972819,0.58695,0.38157,0.722785,0.501525,0.0490917,0.378935,0.726113,0.351616,0.58695,0.385314,0.730828,0.416794,0.608168,0.375191,0.730828,0.127791,0.519415,0.381917,0.71807,0.391277,0.608168,0.382055,0.731105,0.5346,0.430315,0.385938,0.727361,0.514977,0.600263,0.37214,0.729025,0.497504,0.500485,0.383373,0.732353,0.500139,0.48218,0.5,0.727361,0.5,0.499931,0.500485,0.724865,0.50208,0.500901,0.0296769,0.724171,0.499237,0.505547,0.381292,0.718486,0.629455,0.639786,0.403481,0.731521,0.501941,0.515671,0.38892,0.72958,0.634794,0.501109,0.2924,0.256067,0.254264,0.253502,0.330259,0.664332,0.264041,0.454583,0.253848,0.307239,0.354736,0.304327,0.31757,0.318541,0.317917,0.29039,0.260851,0.274927,0.256761,0.515462,0.326446,0.705381,0.516295,0.492719,0.3166,0.717307,0.350298,0.536333,0.495424,0.68444,0.520802,0.41194,0.497296,0.499723,0.446332,0.494938,0.452572,0.499237,0.450908,0.501248,0.5,0.5,0.5,0.5,0.500485,0.794134,0.501109,0.502149,0.498197,0.53564,0.500555,0.640272,0.499931,0.535848,0.628068,0.638816,0.503744,0.808071,0.500485,0.643808,0.503536,0.804535,0.633962,0.810706,0.25156,0.507835,0.252392,0.255859,0.261753,0.261684,0.49792,0.262724,0.257177,0.254403,0.258286,0.251907,0.408543,0.253987,0.398003,0.393635,0.255027,0.409929,0.523991,0.698724,0.273194,0.253016,0.520455,0.52309,0.267855,0.25572,0.44231,0.515324,0.351477,0.611288,0.538552,0.729233,0.49577,0.499584,0.499653,0.499931,0.499307,0.804396,0.501179,0.794342,0.5,0.5,0.5,0.5,0.500901,0.500832,0.501525,0.799404,0.5,0.555818,0.632645,0.501803,0.500971,0.802663,0.500901,0.640202,0.54819,0.712245,0.58702,0.618985,0.598322,0.500347,0.502358,0.502774
0.0547774,0.0563029,0.053876,0.0557482,0.0569269,0.725628,0.362779,0.56705,0.257385,0.261129,0.262516,0.257523,0.271807,0.752947,0.264318,0.0992927,0.0556095,0.0563722,0.0540147,0.0548468,0.053252,0.671474,0.401193,0.395299,0.27354,0.485231,0.270975,0.376092,0.349882,0.755512,0.426293,0.460269,0.053044,0.0549854,0.0568576,0.0543614,0.0594924,0.727084,0.497296,0.499099,0.499931,0.499931,0.499931,0.499931,0.497989,0.499861,0.501595,0.500763,0.0545694,0.0566496,0.0557482,0.0558175,0.0522119,0.740397,0.499515,0.635695,0.497712,0.760019,0.504299,0.659479,0.498683,0.58286,0.586673,0.647067,0.355291,0.730689,0.126057,0.547705,0.383858,0.755027,0.350714,0.59749,0.37734,0.733185,0.358549,0.355707,0.38469,0.762932,0.415684,0.577312,0.374359,0.650049,0.109347,0.733116,0.382541,0.724587,0.396062,0.516711,0.388504,0.720288,0.519623,0.0382749,0.384759,0.730967,0.508598,0.577243,0.126959,0.732631,0.485439,0.498752,0.38573,0.727222,0.499307,0.704826,0.499653,0.716822,0.499861,0.500555,0.544723,0.720566,0.502288,0.501317,0.374151,0.723894,0.6289,0.500208,0.379906,0.732631,0.500693,0.501248,0.412703,0.658924,0.502704,0.501664,0.38684,0.729718,0.501179,0.646651,0.258494,0.255859,0.295867,0.258425,0.32076,0.671613,0.399459,0.437318,0.309666,0.256067,0.309874,0.319165,0.310914,0.320483,0.310151,0.291499,0.257385,0.261753,0.296075,0.510193,0.25468,0.69914,0.53044,0.44335,0.310983,0.309804,0.534323,0.324366,0.452364,0.683608,0.321592,0.685064,0.447095,0.429691,0.454999,0.496325,0.494869,0.533629,0.500693,0.453613,0.5,0.5,0.5,0.5,0.500555,0.50319,0.502427,0.501109,0.498059,0.500208,0.500763,0.635765,0.500485,0.475246,0.503814,0.502566,0.561642,0.505755,0.634031,0.810567,0.503606,0.786229,0.50416,0.502635,0.258494,0.252254,0.253363,0.430523,0.406532,0.255512,0.391832,0.261545,0.252878,0.451047,0.391069,0.693246,0.253294,0.258217,0.396062,0.2621,0.404868,0.707461,0.524338,0.534947,0.254958,0.714187,0.254056,0.256344,0.407988,0.71384,0.419775,0.517127,0.412217,0.715435,0.525447,0.25683,0.435862,0.457287,0.449314,0.499376,0.451879,0.456594,0.500416,0.501525,0.5,0.5,0.5,0.5,0.501387,0.501941,0.501872,0.512134,0.5,0.501387,0.500485,0.503744,0.500971,0.505408,0.501109,0.642629,0.544723,0.710096,0.501941,0.502496,0.504576,0.502427,0.500485,0.501872
0.0537373,0.0571349,0.0550548,0.0547081,0.0637221,0.143808,0.348773,0.0549854,0.266745,0.26515,0.25891,0.257523,0.269588,0.736514,0.267023,0.260782,0.0568576,0.0572736,0.0560949,0.0543614,0.0565802,0.719734,0.390168,0.400083,0.394189,0.27569,0.458605,0.261198,0.338857,0.737484,0.51262,0.617113,0.0548468,0.0563029,0.0533213,0.0554015,0.0587297,0.580641,0.0456247,0.0496464,0.499792,0.499723,0.499931,0.499792,0.497573,0.513036,0.501179,0.504507,0.0554708,0.0538067,0.053876,0.0562335,0.0637914,0.711274,0.62682,0.50104,0.545209,0.744002,0.585564,0.640688,0.50104,0.738316,0.500624,0.500208,0.374636,0.731937,0.0687145,0.353002,0.381847,0.762793,0.075787,0.356608,0.381015,0.722091,0.414575,0.352448,0.385106,0.7275,0.361392,0.577451,0.30398,0.729025,0.089932,0.730759,0.378519,0.656705,0.398974,0.537165,0.413466,0.728748,0.417279,0.523228,0.386354,0.724449,0.518513,0.509361,0.375191,0.7275,0.499931,0.499584,0.384274,0.730828,0.398211,0.500555,0.499861,0.724033,0.499723,0.499931,0.499445,0.72223,0.500971,0.502011,0.0348773,0.731937,0.499515,0.502912,0.379559,0.653238,0.632437,0.810151,0.499237,0.724033,0.504507,0.635695,0.384898,0.724449,0.50416,0.501941,0.296006,0.267577,0.256275,0.289904,0.334142,0.665788,0.266468,0.263625,0.305922,0.355083,0.311746,0.307516,0.305089,0.3166,0.316738,0.313271,0.256622,0.629039,0.517543,0.515462,0.428235,0.67924,0.263764,0.267023,0.322355,0.652891,0.551033,0.344196,0.256899,0.590071,0.546179,0.525309,0.493968,0.459922,0.495632,0.453959,0.497434,0.500901,0.451463,0.501109,0.5,0.5,0.5,0.5,0.501248,0.785952,0.500971,0.501595,0.5,0.499445,0.499584,0.501387,0.500139,0.536403,0.534323,0.63944,0.501317,0.807378,0.502496,0.638885,0.565386,0.502358,0.500277,0.621828,0.400846,0.683539,0.255235,0.253432,0.251976,0.705173,0.500901,0.437526,0.268479,0.718347,0.254403,0.259742,0.257246,0.696713,0.462973,0.395646,0.255998,0.257038,0.363819,0.513174,0.349951,0.256275,0.527735,0.532034,0.411385,0.615379,0.395507,0.530578,0.407502,0.259049,0.385591,0.538691,0.497226,0.459992,0.497642,0.500485,0.496325,0.698655,0.451324,0.500971,0.5,0.5,0.5,0.5,0.500763,0.804535,0.502843,0.501525,0.5,0.500624,0.633823,0.500624,0.532312,0.500693,0.502912,0.614963,0.525031,0.709472,0.504507,0.501525,0.571488,0.601789,0.633615,0.635973
0.0528359,0.0565109,0.0590764,0.0549854,0.0768964,0.597837,0.0449314,0.287477,0.260227,0.2621,0.263001,0.261198,0.269727,0.685134,0.262377,0.262516,0.0533907,0.0516572,0.0514492,0.0533213,0.0709333,0.12793,0.393149,0.390653,0.278117,0.721606,0.409305,0.521079,0.281584,0.644016,0.385938,0.618777,0.0570656,0.0547081,0.0565802,0.0565802,0.284773,0.673901,0.491263,0.498891,0.499861,0.499931,0.499861,0.499584,0.493829,0.502843,0.504576,0.502566,0.0561642,0.0560949,0.0568576,0.0541534,0.0502011,0.717376,0.499931,0.508598,0.499792,0.791568,0.502219,0.502011,0.435793,0.484538,0.632853,0.500832,0.369366,0.731244,0.108861,0.341145,0.384967,0.724587,0.45701,0.543267,0.379559,0.657537,0.379767,0.288726,0.383442,0.660033,0.500485,0.592636,0.305505,0.723755,0.125156,0.518305,0.380738,0.724033,0.519137,0.521148,0.380114,0.719734,0.420954,0.403065,0.382749,0.723894,0.442033,0.42345,0.30606,0.726529,0.499237,0.499376,0.37845,0.730273,0.0423658,0.502427,0.499861,0.720982,0.499931,0.499931,0.0373735,0.722646,0.500763,0.809527,0.371793,0.712939,0.578699,0.500347,0.381154,0.730689,0.501595,0.638122,0.435793,0.726668,0.501248,0.504576,0.386424,0.715989,0.653793,0.503952,0.254056,0.294481,0.253987,0.254611,0.254334,0.251699,0.399459,0.255859,0.309458,0.306546,0.307794,0.309735,0.329081,0.287131,0.314103,0.311746,0.299334,0.273055,0.253502,0.521148,0.341908,0.428096,0.257523,0.507558,0.314242,0.347802,0.535571,0.374705,0.38261,0.711552,0.549438,0.531826,0.453682,0.494592,0.458536,0.446748,0.499029,0.502219,0.499584,0.500832,0.5,0.5,0.5,0.5,0.501179,0.500208,0.502774,0.502774,0.498475,0.56705,0.500347,0.641797,0.500416,0.500555,0.502774,0.501456,0.502774,0.581057,0.584662,0.504646,0.506795,0.568853,0.58702,0.50104,0.254472,0.718416,0.346346,0.260921,0.2526,0.606435,0.32284,0.433227,0.405006,0.258702,0.403966,0.349674,0.408334,0.260227,0.393635,0.398835,0.403827,0.720011,0.509499,0.525309,0.253224,0.25891,0.396963,0.534739,0.406116,0.598114,0.409305,0.708501,0.26307,0.607059,0.541811,0.525863,0.456109,0.698585,0.448898,0.451324,0.500069,0.701151,0.452156,0.464152,0.5,0.5,0.5,0.5,0.500971,0.797809,0.5,0.502288,0.5,0.504923,0.500069,0.509083,0.501317,0.710581,0.50104,0.635071,0.501109,0.796769,0.504368,0.500971,0.501525,0.797809,0.63417,0.635834
0.0552628,0.0563722,0.0554015,0.0540147,0.0513105,0.560533,0.044654,0.599847,0.261822,0.259534,0.265358,0.260019,0.271252,0.695812,0.261961,0.0475662,0.053876,0.053876,0.0562335,0.0540147,0.0556788,0.733532,0.399737,0.371169,0.396062,0.268271,0.484329,0.382194,0.349258,0.735612,0.511996,0.718416,0.0518652,0.0535987,0.0551935,0.053668,0.0597005,0.721537,0.495493,0.0524199,0.499931,0.499792,0.499931,0.499931,0.495632,0.787477,0.50319,0.502843,0.0553321,0.0549854,0.0533213,0.0538067,0.0635834,0.668701,0.499861,0.501595,0.501595,0.742407,0.501941,0.641243,0.455485,0.597143,0.578353,0.638954,0.374359,0.72958,0.0651089,0.122313,0.380807,0.728609,0.0466648,0.031549,0.380876,0.65199,0.360352,0.353973,0.383095,0.725142,0.362016,0.360699,0.375399,0.661281,0.0880599,0.514422,0.381015,0.729996,0.518513,0.514214,0.38046,0.72847,0.418666,0.0341839,0.38788,0.728193,0.512342,0.52205,0.0325198,0.719734,0.493066,0.499376,0.381015,0.725697,0.500139,0.501387,0.499723,0.727916,0.5,0.499931,0.499307,0.725281,0.501595,0.592151,0.369574,0.726113,0.499584,0.637984,0.381362,0.7275,0.632437,0.503051,0.44023,0.719456,0.502288,0.501179,0.384967,0.724865,0.500832,0.505131,0.255096,0.257662,0.297462,0.294342,0.264665,0.352032,0.397032,0.261129,0.255027,0.306338,0.311122,0.305297,0.307378,0.311399,0.3071,0.316669,0.257731,0.301831,0.258009,0.262862,0.335737,0.678339,0.507835,0.58175,0.397448,0.329635,0.5199,0.700111,0.439745,0.694009,0.54611,0.525517,0.446679,0.446956,0.495632,0.496741,0.435377,0.78512,0.451255,0.500693,0.5,0.5,0.5,0.5,0.501248,0.502982,0.561365,0.796699,0.494661,0.497434,0.499931,0.506726,0.500347,0.500555,0.501387,0.503606,0.547566,0.588684,0.503259,0.646512,0.501872,0.500208,0.587228,0.635765,0.25475,0.708224,0.34586,0.325198,0.405769,0.25267,0.351824,0.50416,0.400985,0.704271,0.392317,0.394675,0.406601,0.262585,0.395576,0.394189,0.405353,0.251907,0.391277,0.722577,0.260713,0.711968,0.39939,0.53148,0.262238,0.258494,0.408959,0.257246,0.413188,0.255166,0.515879,0.532034,0.499237,0.769865,0.448551,0.466718,0.502774,0.502982,0.501109,0.60796,0.5,0.5,0.5,0.5,0.500832,0.812301,0.500277,0.50104,0.5,0.501179,0.632159,0.50312,0.500555,0.802801,0.501664,0.505963,0.547081,0.564207,0.633199,0.812231,0.507627,0.711066,0.587436,0.641728
0.0531133,0.0554015,0.0571349,0.0548468,0.0578283,0.58806,0.0411871,0.365137,0.258633,0.260643,0.255928,0.255235,0.264388,0.642075,0.264942,0.384967,0.0547081,0.0552628,0.0552628,0.0524199,0.0542227,0.692206,0.402787,0.525517,0.269727,0.658855,0.549577,0.267716,0.282069,0.75475,0.493274,0.412772,0.0548468,0.053876,0.0560949,0.0561642,0.058591,0.683262,0.486618,0.367771,0.499931,0.499931,0.499792,0.499931,0.498683,0.0206629,0.501525,0.502358,0.0531133,0.0547081,0.0546387,0.0555401,0.0624047,0.661281,0.586465,0.503536,0.499584,0.441894,0.502774,0.640688,0.360144,0.757038,0.501733,0.503814,0.0323811,0.731937,0.114686,0.595271,0.381084,0.724865,0.489461,0.349189,0.379074,0.657537,0.365137,0.0586604,0.385175,0.719456,0.360768,0.597005,0.267924,0.657953,0.089932,0.617113,0.381847,0.733324,0.504576,0.519276,0.388642,0.725142,0.421231,0.40147,0.385591,0.725697,0.518236,0.036264,0.37006,0.726806,0.493066,0.500693,0.382055,0.721814,0.0594924,0.797878,0.499515,0.724171,0.5,0.5,0.38469,0.72431,0.501595,0.502843,0.308764,0.72431,0.577312,0.636389,0.382957,0.759049,0.501248,0.503536,0.39516,0.725836,0.633407,0.602413,0.385661,0.729302,0.587783,0.50208,0.252947,0.257593,0.286784,0.255512,0.333588,0.675496,0.254403,0.262308,0.311191,0.309874,0.254542,0.252878,0.361808,0.688254,0.305713,0.309666,0.266676,0.709125,0.501803,0.720011,0.370684,0.72646,0.508945,0.406601,0.347594,0.317432,0.314311,0.522604,0.252184,0.677853,0.520386,0.524407,0.446679,0.497989,0.496117,0.499029,0.448412,0.795105,0.449106,0.500832,0.5,0.5,0.5,0.5,0.500277,0.500555,0.501664,0.500347,0.453127,0.499931,0.500763,0.586742,0.501803,0.782832,0.500832,0.806199,0.50104,0.570656,0.502011,0.590071,0.500901,0.581265,0.503814,0.80918,0.25475,0.712661,0.349605,0.260643,0.255582,0.259187,0.253502,0.501317,0.433643,0.259049,0.256899,0.395091,0.408265,0.25468,0.39731,0.267785,0.261198,0.609,0.510955,0.525517,0.258702,0.255928,0.420954,0.25475,0.412495,0.617043,0.442657,0.252045,0.425253,0.716197,0.533282,0.526002,0.495632,0.79039,0.498544,0.466093,0.496949,0.78089,0.500139,0.503536,0.5,0.5,0.5,0.5,0.500485,0.802593,0.500763,0.500971,0.5,0.793233,0.502427,0.501941,0.500347,0.709818,0.631396,0.509985,0.500555,0.56289,0.502843,0.500555,0.500693,0.800236,0.502843,0.501595
0.0529053,0.0545694,0.0573429,0.0583137,0.0572736,0.70337,0.0366107,0.0431286,0.258494,0.26099,0.260089,0.259811,0.263764,0.689294,0.268409,0.419082,0.0560255,0.0553321,0.0567882,0.0554015,0.0582443,0.703855,0.331369,0.392525,0.26522,0.690958,0.491957,0.048537,0.346901,0.724379,0.507142,0.516988,0.0558868,0.0592844,0.0572043,0.0551241,0.0614339,0.590764,0.049369,0.469422,0.499931,0.499931,0.499931,0.499931,0.5,0.495562,0.502011,0.501317,0.0531826,0.0540147,0.0564415,0.0560949,0.0662876,0.576896,0.485786,0.501664,0.36583,0.576342,0.629871,0.635418,0.499931,0.433643,0.503398,0.636666,0.376577,0.729025,0.142699,0.569755,0.382541,0.663223,0.462488,0.573083,0.379836,0.725003,0.356885,0.361947,0.383373,0.715573,0.361184,0.0435446,0.307447,0.65934,0.103661,0.40147,0.384898,0.671127,0.513313,0.0350853,0.387256,0.727638,0.368742,0.026418,0.389197,0.727361,0.511857,0.0259326,0.0504784,0.727084,0.498475,0.499723,0.381292,0.728886,0.0523506,0.50104,0.5,0.729025,0.5,0.500139,0.499168,0.715851,0.501248,0.503328,0.376785,0.729164,0.498752,0.500485,0.383095,0.7275,0.633546,0.500485,0.500208,0.728193,0.50631,0.590279,0.501803,0.724033,0.50319,0.501733,0.256344,0.288656,0.252878,0.293163,0.258147,0.485716,0.359173,0.408612,0.306823,0.306476,0.306892,0.312786,0.477257,0.305922,0.309388,0.401331,0.262446,0.69186,0.257593,0.5052,0.426432,0.650465,0.52198,0.536195,0.311538,0.696644,0.533144,0.71911,0.326376,0.708085,0.258771,0.535224,0.491402,0.497088,0.495562,0.496602,0.438843,0.44966,0.500347,0.502635,0.5,0.5,0.5,0.5,0.502427,0.503259,0.500971,0.639024,0.498752,0.542921,0.499445,0.502566,0.499584,0.507073,0.502011,0.641797,0.501941,0.501733,0.500693,0.501664,0.571835,0.56816,0.507558,0.502496,0.252392,0.259118,0.256899,0.261545,0.255859,0.708432,0.259881,0.256275,0.256899,0.707669,0.253571,0.268756,0.407364,0.452087,0.505755,0.271183,0.346762,0.610872,0.359173,0.570448,0.407918,0.30398,0.523922,0.529816,0.280058,0.260227,0.514769,0.523783,0.253571,0.713285,0.394259,0.52302,0.456039,0.499723,0.499029,0.499584,0.454445,0.555609,0.500832,0.451532,0.5,0.5,0.5,0.5,0.500208,0.703717,0.500208,0.502358,0.5,0.560186,0.500624,0.502149,0.503883,0.501733,0.502149,0.811122,0.508043,0.501941,0.500624,0.500347,0.504507,0.800166,0.500971,0.506448
0.053668,0.053668,0.0539454,0.0512412,0.053252,0.728886,0.0507558,0.365899,0.256552,0.257177,0.260158,0.260089,0.382471,0.741991,0.409097,0.0560255,0.0528359,0.054084,0.0556095,0.0551241,0.0615726,0.59534,0.402441,0.354736,0.347178,0.641173,0.542851,0.522674,0.462765,0.760713,0.515046,0.616627,0.0553321,0.0549854,0.0545001,0.0548468,0.0563029,0.724102,0.0453474,0.340244,0.499931,0.499861,0.499931,0.499931,0.498613,0.501803,0.500624,0.501595,0.0522812,0.0538067,0.0552628,0.0546387,0.0561642,0.550478,0.499792,0.639024,0.464915,0.495909,0.632229,0.502427,0.114201,0.802177,0.587852,0.501248,0.375121,0.725558,0.333588,0.0517265,0.383095,0.72639,0.489946,0.422757,0.379212,0.726945,0.361323,0.364235,0.38365,0.723755,0.36264,0.405076,0.368742,0.75891,0.0957565,0.545625,0.383026,0.728748,0.511025,0.487034,0.385175,0.721398,0.580017,0.524338,0.390653,0.71904,0.50735,0.460893,0.375121,0.720566,0.497226,0.499168,0.381154,0.728332,0.0930523,0.502011,0.499931,0.71696,0.499931,0.500069,0.0364027,0.72431,0.501525,0.503606,0.375052,0.72431,0.500139,0.637637,0.383927,0.730412,0.499792,0.63944,0.542782,0.72431,0.507073,0.639994,0.386909,0.7275,0.572251,0.500901,0.295313,0.252878,0.252392,0.32076,0.421855,0.25572,0.254958,0.262585,0.305575,0.306823,0.313618,0.309527,0.255859,0.687214,0.315074,0.312301,0.301692,0.629802,0.499237,0.520386,0.255582,0.682152,0.259049,0.523991,0.370476,0.696505,0.40043,0.309943,0.258563,0.596935,0.54403,0.534739,0.457357,0.495632,0.495008,0.446055,0.433227,0.43496,0.499445,0.502496,0.5,0.5,0.5,0.5,0.502635,0.500277,0.547289,0.501733,0.497781,0.526141,0.5,0.501456,0.49792,0.500901,0.502635,0.501525,0.504715,0.569269,0.63729,0.500139,0.502635,0.590487,0.634031,0.614478,0.258979,0.614062,0.387186,0.339551,0.40355,0.256969,0.349882,0.261614,0.255928,0.260227,0.347317,0.254334,0.408612,0.259811,0.393149,0.400014,0.259742,0.612952,0.398696,0.532034,0.408959,0.61316,0.362224,0.540424,0.255374,0.605741,0.254958,0.530648,0.412009,0.254126,0.522743,0.528983,0.497157,0.461101,0.449591,0.496949,0.450076,0.789488,0.500901,0.780821,0.5,0.5,0.5,0.5,0.503051,0.809042,0.504784,0.50631,0.5,0.571765,0.501525,0.6384,0.500139,0.707183,0.500901,0.501664,0.567882,0.563167,0.585078,0.810359,0.501317,0.803356,0.645126,0.50104
0.0547081,0.0551935,0.0558868,0.0585217,0.0605325,0.716544,0.0451394,0.292539,0.259326,0.260019,0.257662,0.256136,0.269935,0.759395,0.262793,0.0569963,0.0551241,0.0528359,0.053252,0.0533213,0.317154,0.732561,0.397864,0.395438,0.26418,0.528359,0.507281,0.0392456,0.274858,0.75052,0.51359,0.40043,0.0580363,0.0541534,0.0546387,0.0569963,0.0668423,0.721675,0.495077,0.0419498,0.499861,0.499931,0.499861,0.499792,0.0269727,0.557898,0.503467,0.501387,0.0565802,0.0578283,0.0533907,0.0554708,0.0603938,0.120718,0.501525,0.685342,0.500139,0.761545,0.503744,0.638816,0.35425,0.662183,0.502427,0.501664,0.302455,0.720704,0.130564,0.348634,0.381917,0.72639,0.398142,0.614409,0.37845,0.725974,0.358341,0.355637,0.382749,0.719872,0.36056,0.604077,0.371932,0.723894,0.112675,0.058383,0.377826,0.726529,0.490639,0.522882,0.384205,0.724033,0.581265,0.518721,0.383234,0.730273,0.386632,0.522327,0.365761,0.727361,0.497712,0.499445,0.383719,0.734156,0.049577,0.500901,0.499584,0.722923,0.5,0.5,0.497434,0.715296,0.504022,0.502427,0.374844,0.725281,0.497851,0.615726,0.381362,0.724033,0.57863,0.590833,0.450631,0.725281,0.633477,0.637082,0.381986,0.730967,0.632991,0.503952,0.259187,0.254611,0.257038,0.258563,0.338996,0.689086,0.489599,0.260851,0.307308,0.256622,0.356816,0.255027,0.412772,0.685966,0.312509,0.312439,0.25787,0.695743,0.501248,0.513521,0.256067,0.720358,0.514076,0.354805,0.367633,0.326515,0.328179,0.542366,0.308834,0.739079,0.519068,0.534253,0.496533,0.445985,0.495978,0.453127,0.43496,0.502011,0.454098,0.455346,0.5,0.5,0.5,0.5,0.500832,0.502149,0.501317,0.503536,0.497642,0.808695,0.575718,0.50423,0.499307,0.501872,0.631535,0.500971,0.50104,0.582305,0.633061,0.502566,0.547497,0.798572,0.501664,0.64041,0.25267,0.251907,0.257523,0.398003,0.407156,0.708848,0.353349,0.46228,0.252045,0.252808,0.258217,0.262238,0.261545,0.613091,0.393981,0.264457,0.404313,0.711413,0.260366,0.526973,0.260435,0.606227,0.523575,0.531618,0.412148,0.712384,0.52198,0.263209,0.252947,0.710234,0.412772,0.53245,0.497573,0.499723,0.459368,0.448204,0.44966,0.713632,0.500416,0.50312,0.5,0.5,0.5,0.5,0.500069,0.500208,0.50104,0.804604,0.5,0.709056,0.501733,0.501317,0.542851,0.808418,0.585841,0.501941,0.500693,0.564346,0.501664,0.502011,0.513452,0.501317,0.634447,0.635349
0.0545694,0.058175,0.05346,0.0578977,0.0646235,0.731799,0.0409097,0.0652475,0.259603,0.258425,0.264734,0.263278,0.270698,0.749827,0.262169,0.277146,0.0558175,0.0562335,0.053252,0.0506865,0.0633061,0.668077,0.404036,0.400638,0.398835,0.717515,0.299958,0.478852,0.391624,0.751699,0.50423,0.400014,0.0531826,0.0528359,0.0545001,0.0567189,0.0573429,0.661836,0.49584,0.358203,0.499861,0.499792,0.499931,0.499861,0.499237,0.499445,0.5052,0.501317,0.0558868,0.0555401,0.0539454,0.0565109,0.0689918,0.638885,0.499653,0.502912,0.421717,0.451324,0.502704,0.588407,0.0239218,0.460477,0.634378,0.500624,0.376231,0.730551,0.0608099,0.343364,0.384343,0.72639,0.427472,0.693662,0.379906,0.729718,0.39731,0.417557,0.387602,0.654348,0.417765,0.71176,0.288518,0.730412,0.39523,0.369089,0.382402,0.733879,0.511857,0.52725,0.383789,0.726529,0.509569,0.523852,0.388157,0.723617,0.507281,0.537998,0.371377,0.725003,0.499445,0.500971,0.381917,0.677923,0.468867,0.503606,0.499861,0.73166,0.5,0.5,0.537443,0.658508,0.501387,0.50423,0.373319,0.664194,0.574608,0.642213,0.381015,0.73374,0.0233671,0.63736,0.372001,0.723339,0.502566,0.500208,0.38261,0.726945,0.578491,0.5,0.253571,0.257385,0.250936,0.253155,0.597282,0.701914,0.400985,0.684926,0.28096,0.305922,0.311399,0.257315,0.307516,0.255928,0.310983,0.322632,0.257315,0.730065,0.263348,0.703301,0.261406,0.263764,0.520594,0.454722,0.365206,0.322979,0.537512,0.511788,0.263556,0.696644,0.55762,0.502149,0.446193,0.455623,0.446124,0.459853,0.499307,0.436902,0.500485,0.500416,0.5,0.5,0.5,0.5,0.501179,0.502566,0.561711,0.793926,0.49688,0.499653,0.502843,0.635903,0.500139,0.549022,0.502149,0.503398,0.500416,0.507003,0.502219,0.811538,0.500971,0.581958,0.587367,0.640341,0.398904,0.707045,0.274095,0.256899,0.254195,0.703301,0.352378,0.281792,0.251144,0.253848,0.394259,0.258286,0.264388,0.255374,0.261406,0.260297,0.405006,0.253363,0.25787,0.394328,0.255582,0.253294,0.522882,0.524199,0.256552,0.624255,0.253502,0.422272,0.251352,0.623492,0.393635,0.528082,0.463181,0.449244,0.465816,0.497781,0.500069,0.8019,0.453405,0.453405,0.5,0.5,0.5,0.5,0.501525,0.500347,0.501525,0.501595,0.5,0.697129,0.502843,0.502011,0.506934,0.71072,0.501664,0.639162,0.501317,0.502219,0.503051,0.501248,0.506032,0.706074,0.634309,0.638608
