0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
nan,0.0517959,0.0547774,0.0557482,0.295521,0.7076,0.38885,0.675149,0.271252,0.257246,0.255651,0.436902,0.256969,0.713909,0.255443,0.262654,0.05346,0.0550548,0.0558868,0.0576896,0.300097,0.740882,0.373319,0.614617,0.393635,0.339689,0.402926,0.608307,0.543059,0.333241,0.329705,0.0308556,0.0547081,0.0541534,0.0515185,0.0548468,0.302316,0.542921,0.340175,0.358203,0.269796,0.261614,0.337679,0.33539,0.334766,0.436347,0.562543,0.361531,0.0516572,0.0539454,0.0548468,0.058383,0.302455,0.0503398,0.300028,0.614131,0.338025,0.342602,0.337263,0.510539,0.340036,0.508945,0.46748,0.561642,0.26307,0.677299,0.0349466,0.596519,0.396339,0.759395,0.0550548,0.617598,0.0411871,0.266815,0.0569269,0.487658,0.260297,0.568645,0.25468,0.288379,0.0700319,0.760019,0.303287,0.264804,0.269519,0.756067,0.337887,0.760782,0.0556095,0.449799,0.36687,0.409791,0.400638,0.447788,0.419498,0.344404,0.048537,0.743309,0.422133,0.425669,0.396894,0.723963,0.471225,0.743378,0.337401,0.735058,0.338719,0.494037,0.34066,0.256136,0.258771,0.377618,0.341284,0.510678,0.42352,0.54195,0.337748,0.470184,0.34482,0.394259,0.337401,0.775274,0.062474,0.485508,0.341562,0.532381,0.340521,0.488836,0.33227,0.332409,0.330537,0.332201,0.338441,0.714464,0.355707,0.447164,0.410553,0.418111,0.335668,0.345236,0.252045,0.504992,0.254195,0.34274,0.0338372,0.575995,0.331993,0.336222,0.523575,0.615171,0.502149,0.695812,0.400361,0.6384,0.502982,0.331161,0.551519,0.504923,0.442241,0.341562,0.492581,0.493482,0.485786,0.473305,0.49896,0.754264,0.481487,0.500693,0.497642,0.351824,0.503675,0.49896,0.468867,0.257523,0.253779,0.262585,0.496741,0.620788,0.381015,0.754264,0.354528,0.345999,0.504715,0.808348,0.498475,0.708154,0.504784,0.545902,0.595895,0.501456,0.567536,0.808556,0.335321,0.612259,0.275551,0.391277,0.338857,0.335252,0.319096,0.342463,0.13833,0.33539,0.341145,0.456733,0.409097,0.528567,0.504438,0.517057,0.338719,0.739079,0.346623,0.456317,0.337401,0.698516,0.341839,0.499376,0.308556,0.644293,0.481972,0.488975,0.562959,0.51359,0.456663,0.545209,0.497504,0.37838,0.459298,0.502774,0.424629,0.782138,0.5052,0.798017,0.255166,0.379282,0.501248,0.498544,0.263417,0.251075,0.565248,0.272084,0.490501,0.504299,0.465192,0.603522,0.441062,0.80079,0.587644,0.81133,0.504438,0.506518,0.556372,0.807655,0.503467,0.808556,0.564832,0.588753
0.0549161,0.053044,0.0549854,0.0540147,0.3019,0.726806,0.388018,0.60796,0.252115,0.252947,0.362502,0.262654,0.260851,0.705935,0.257731,0.435307,0.0525586,0.0550548,0.0568576,0.0553321,0.297462,0.599778,0.304881,0.600333,0.393704,0.338372,0.408959,0.345167,0.283941,0.736306,0.417279,0.386354,0.0528359,0.0569269,0.053044,0.0556788,0.336084,0.595063,0.376439,0.588337,0.336985,0.339412,0.344127,0.337332,0.253432,0.690612,0.505755,0.339759,0.0565802,0.0539454,0.0524893,0.0549161,0.377756,0.620164,0.0870198,0.614409,0.394051,0.523228,0.174525,0.481417,0.384274,0.74317,0.479961,0.564554,0.383303,0.754611,0.369782,0.645472,0.397656,0.755582,0.3962,0.669741,0.0343919,0.599085,0.058175,0.0923589,0.500416,0.704618,0.512204,0.763556,0.193593,0.761545,0.334766,0.690334,0.393912,0.751768,0.560879,0.761545,0.443905,0.456871,0.402926,0.412564,0.534392,0.503952,0.455554,0.347594,0.337193,0.742685,0.392803,0.431355,0.442657,0.739149,0.494592,0.739079,0.0570656,0.254264,0.484815,0.597143,0.258563,0.647414,0.251837,0.595202,0.379282,0.737346,0.422133,0.338788,0.507627,0.770906,0.532381,0.74109,0.336708,0.737484,0.276175,0.339967,0.460338,0.769935,0.347317,0.484746,0.331923,0.329774,0.253363,0.331022,0.337887,0.604146,0.402025,0.449244,0.341631,0.337887,0.256622,0.381778,0.499653,0.505894,0.502427,0.440993,0.335737,0.595132,0.470184,0.261822,0.338095,0.72854,0.416932,0.754126,0.336014,0.731868,0.561642,0.40778,0.339551,0.508251,0.420469,0.515185,0.490778,0.285259,0.498405,0.569824,0.498752,0.602413,0.552143,0.604909,0.375607,0.262377,0.500832,0.501525,0.414367,0.26626,0.271876,0.504923,0.497504,0.260227,0.582443,0.58279,0.385175,0.804188,0.598877,0.761198,0.497157,0.805367,0.400846,0.813341,0.50423,0.588129,0.636874,0.50527,0.334558,0.426154,0.206282,0.374775,0.438497,0.753224,0.43607,0.397934,0.318333,0.264388,0.330675,0.112814,0.502427,0.47587,0.255374,0.262724,0.338649,0.745042,0.437249,0.70233,0.313271,0.723894,0.344335,0.619401,0.36056,0.767231,0.486548,0.48745,0.352864,0.508182,0.482873,0.571419,0.497851,0.731313,0.500208,0.499445,0.498475,0.797324,0.544793,0.548468,0.501317,0.263556,0.501456,0.264596,0.255512,0.478644,0.505686,0.395368,0.496949,0.801137,0.501733,0.806407,0.553737,0.794134,0.586673,0.80918,0.505547,0.809527,0.323187,0.634863,0.504022,0.636736,0.568437,0.591874
0.0576896,0.0554708,0.0574816,0.0560949,0.303356,0.736652,0.388226,0.264318,0.265636,0.251491,0.256899,0.264804,0.487519,0.420399,0.259673,0.260158,0.0558175,0.0558175,0.0546387,0.0545001,0.297462,0.746221,0.261545,0.75468,0.39204,0.0286368,0.272292,0.303911,0.373527,0.393219,0.412703,0.355637,0.0524893,0.0523506,0.0552628,0.0560255,0.302385,0.337609,0.372486,0.336777,0.337609,0.0472195,0.256275,0.433782,0.502219,0.349605,0.253363,0.373873,0.0573429,0.0541534,0.0548468,0.0548468,0.359451,0.422618,0.36902,0.750381,0.341908,0.337609,0.346277,0.338372,0.340452,0.341908,0.481001,0.740882,0.079878,0.758841,0.300374,0.28616,0.268756,0.705797,0.393843,0.589863,0.0558868,0.747538,0.0567882,0.475524,0.406809,0.702191,0.494106,0.260574,0.075371,0.756067,0.276175,0.596242,0.39731,0.745874,0.380668,0.766191,0.0477742,0.450492,0.500555,0.765289,0.0477049,0.759187,0.568229,0.620857,0.37741,0.732839,0.339759,0.424005,0.435515,0.532104,0.471918,0.373111,0.251907,0.716683,0.42456,0.426501,0.255443,0.741714,0.561226,0.531133,0.379628,0.738316,0.419567,0.744349,0.363542,0.514769,0.432395,0.743656,0.339689,0.74428,0.345028,0.462488,0.350159,0.490709,0.345791,0.506032,0.332894,0.331022,0.336014,0.328526,0.381778,0.7379,0.470046,0.278602,0.337332,0.341562,0.338372,0.416932,0.504022,0.341978,0.50319,0.478436,0.32811,0.334628,0.0754403,0.342047,0.339065,0.668354,0.480308,0.742962,0.336985,0.552489,0.609277,0.437526,0.397448,0.503675,0.428651,0.484607,0.477881,0.485231,0.495493,0.496533,0.397448,0.500347,0.502219,0.414506,0.253848,0.497018,0.501872,0.401331,0.259326,0.438358,0.251768,0.432672,0.281168,0.804327,0.459645,0.74532,0.5,0.677853,0.359936,0.561434,0.501595,0.804743,0.586118,0.567605,0.504091,0.629039,0.565872,0.813271,0.335182,0.733809,0.286576,0.341076,0.365067,0.735058,0.405977,0.447303,0.0608099,0.340105,0.334628,0.599917,0.253571,0.518791,0.500277,0.335806,0.43295,0.342324,0.339967,0.481209,0.344127,0.757662,0.436625,0.745389,0.340175,0.449868,0.0375121,0.499584,0.354112,0.655873,0.48738,0.489183,0.492789,0.498613,0.498405,0.500347,0.498197,0.426154,0.543822,0.50423,0.257801,0.367771,0.402579,0.50104,0.503952,0.259811,0.252531,0.725905,0.590348,0.64783,0.500416,0.797324,0.444876,0.501387,0.511233,0.80814,0.502843,0.586326,0.503883,0.589377,0.503328,0.635695,0.567813,0.602136
0.0570656,0.0522812,0.0545001,0.0535987,0.371377,0.725003,0.391763,0.663847,0.2673,0.258633,0.422064,0.254403,0.251768,0.674941,0.0348079,0.398766,0.0564415,0.0568576,0.0556095,0.0547774,0.361808,0.720774,0.314727,0.672722,0.391347,0.344474,0.0972126,0.0286368,0.437041,0.384135,0.411385,0.61115,0.0553321,0.0561642,0.0540147,0.0554708,0.302593,0.583692,0.307655,0.59957,0.338233,0.349189,0.430661,0.254958,0.585286,0.467064,0.335945,0.258286,0.0542921,0.0557482,0.0542921,0.0574123,0.364859,0.0162252,0.337332,0.758979,0.341007,0.507003,0.0806407,0.343503,0.35959,0.344127,0.484468,0.509707,0.362987,0.763833,0.301969,0.53876,0.39627,0.75267,0.391485,0.760019,0.256899,0.0438219,0.367633,0.480863,0.253571,0.437803,0.26418,0.464429,0.372001,0.696852,0.258009,0.622244,0.367355,0.756691,0.380599,0.756691,0.0404244,0.50839,0.342116,0.0257939,0.396478,0.774997,0.0406324,0.392179,0.336222,0.732353,0.372278,0.42345,0.490709,0.735196,0.397448,0.493344,0.344266,0.763694,0.428789,0.262793,0.252947,0.72743,0.504923,0.256622,0.388504,0.749549,0.420746,0.744626,0.335529,0.746914,0.535917,0.752323,0.394536,0.428581,0.324712,0.485231,0.340313,0.744002,0.342324,0.487519,0.331507,0.330537,0.333657,0.332478,0.436486,0.838719,0.417071,0.255998,0.335252,0.40882,0.261614,0.390792,0.493274,0.719664,0.504576,0.432395,0.333449,0.565594,0.475246,0.718832,0.371169,0.734711,0.444529,0.73582,0.400846,0.501595,0.480655,0.749827,0.550548,0.50527,0.485716,0.569339,0.492511,0.488351,0.399112,0.497226,0.499861,0.499237,0.381778,0.396963,0.257385,0.375884,0.499931,0.500485,0.50735,0.723894,0.400499,0.260574,0.544585,0.616003,0.577312,0.583553,0.501179,0.615033,0.580987,0.753016,0.500485,0.584732,0.326168,0.591041,0.621342,0.639717,0.555609,0.811815,0.333657,0.339689,0.28824,0.537651,0.440438,0.53252,0.410415,0.439467,0.337956,0.721953,0.412633,0.272015,0.258702,0.481071,0.502774,0.549993,0.336638,0.531064,0.279296,0.47691,0.338857,0.757939,0.424074,0.456594,0.442172,0.340383,0.511996,0.552281,0.461586,0.515254,0.583761,0.488351,0.49792,0.449036,0.4654,0.497226,0.495978,0.501941,0.545625,0.567536,0.257315,0.498613,0.419082,0.500139,0.254403,0.508251,0.413951,0.392456,0.499723,0.651713,0.583137,0.558314,0.494522,0.802593,0.600125,0.807447,0.502427,0.596935,0.582582,0.637637,0.507766,0.630911,0.572875,0.565178
0.0568576,0.0549161,0.0545694,0.0556095,0.294134,0.71911,0.384551,0.356816,0.252184,0.253294,0.424976,0.251837,0.258494,0.425461,0.464707,0.267369,0.0520732,0.0543614,0.0566496,0.0567189,0.371585,0.713493,0.543406,0.729649,0.392456,0.338719,0.399528,0.319165,0.303564,0.723963,0.419706,0.343503,0.0545001,0.0549854,0.0539454,0.0526973,0.308279,0.336777,0.37845,0.590903,0.33546,0.338511,0.214048,0.395438,0.563653,0.261198,0.259673,0.584385,0.0533213,0.0544307,0.0550548,0.0553321,0.371446,0.596727,0.408057,0.630218,0.394328,0.454653,0.480724,0.743586,0.342532,0.499376,0.458952,0.34593,0.266052,0.757315,0.276453,0.304119,0.312301,0.747816,0.398974,0.409652,0.39932,0.63313,0.390723,0.097906,0.254472,0.776037,0.410553,0.479614,0.374012,0.761961,0.379282,0.748925,0.274511,0.749619,0.406809,0.457495,0.0416724,0.764596,0.0402857,0.623908,0.349189,0.755166,0.420122,0.611912,0.335182,0.728262,0.396686,0.429621,0.372348,0.724241,0.47275,0.393288,0.341631,0.732007,0.255027,0.599917,0.257523,0.751491,0.253363,0.380391,0.337609,0.747053,0.421786,0.750451,0.512966,0.74005,0.440508,0.340452,0.0549854,0.515046,0.480793,0.507905,0.0392456,0.740535,0.485092,0.508043,0.328803,0.333241,0.330953,0.335252,0.352586,0.320344,0.420053,0.61947,0.416447,0.404036,0.338719,0.452018,0.50319,0.349119,0.510817,0.47698,0.331993,0.729927,0.317016,0.500139,0.527389,0.724033,0.419221,0.615102,0.400499,0.335876,0.481556,0.32492,0.556858,0.731313,0.426571,0.565386,0.490847,0.0429205,0.49473,0.497365,0.376785,0.497712,0.385661,0.360214,0.499029,0.497712,0.25572,0.260713,0.254819,0.696505,0.26203,0.4403,0.491055,0.471918,0.383927,0.596866,0.500901,0.801345,0.495978,0.501248,0.500416,0.582721,0.552004,0.647622,0.50208,0.502288,0.567674,0.595618,0.33435,0.339135,0.337956,0.266468,0.340383,0.337679,0.340591,0.302524,0.391624,0.760782,0.339412,0.296422,0.261892,0.713424,0.49792,0.351408,0.340036,0.728817,0.513036,0.278602,0.393981,0.738108,0.350576,0.757038,0.340799,0.760158,0.508529,0.495216,0.330329,0.768132,0.582513,0.746984,0.496117,0.784011,0.500901,0.500347,0.50104,0.790667,0.545902,0.501872,0.500208,0.700319,0.502496,0.403134,0.251907,0.570032,0.415476,0.715296,0.499931,0.792886,0.528082,0.807932,0.499861,0.812231,0.562821,0.606019,0.500069,0.605048,0.584316,0.692345,0.504576,0.586118,0.566634,0.590625
0.0547081,0.0553321,0.0568576,0.053876,0.299057,0.733463,0.387186,0.607405,0.276799,0.254611,0.36063,0.26307,0.484607,0.743031,0.265497,0.686035,0.0553321,0.0547081,0.0533213,0.0565802,0.364305,0.728124,0.381639,0.612952,0.394051,0.374567,0.404244,0.318541,0.0368187,0.377826,0.443073,0.612606,0.0548468,0.0543614,0.0563029,0.053252,0.375329,0.556164,0.304535,0.358688,0.254403,0.336153,0.256622,0.298572,0.258217,0.405284,0.265983,0.261406,0.0524199,0.0515879,0.0548468,0.0547081,0.307724,0.594578,0.0901401,0.775066,0.343018,0.341492,0.453682,0.50943,0.343018,0.337055,0.484191,0.346346,0.0711413,0.743031,0.368881,0.0617113,0.414506,0.758702,0.449244,0.427264,0.255582,0.263486,0.0592151,0.259187,0.260643,0.476633,0.265566,0.358411,0.263764,0.759187,0.253779,0.455831,0.395091,0.764249,0.344959,0.412495,0.0452087,0.51359,0.481764,0.609555,0.344682,0.763764,0.532104,0.503328,0.345652,0.727777,0.386909,0.511372,0.338441,0.738663,0.47379,0.498683,0.0698932,0.744973,0.263417,0.602482,0.260643,0.740466,0.559076,0.502496,0.0861878,0.365137,0.422272,0.503744,0.490917,0.472334,0.33754,0.75371,0.0497157,0.577174,0.474137,0.507281,0.440161,0.548329,0.440924,0.747122,0.33227,0.335876,0.33442,0.336292,0.336222,0.336222,0.413951,0.585217,0.257731,0.348079,0.0305783,0.338164,0.252878,0.435099,0.267369,0.476078,0.335945,0.731591,0.481556,0.294619,0.385245,0.753779,0.545902,0.740674,0.336846,0.557551,0.437526,0.517612,0.554777,0.508737,0.483081,0.443766,0.494037,0.487103,0.490501,0.526141,0.498197,0.460824,0.388296,0.71072,0.498544,0.499376,0.501109,0.113646,0.571835,0.435446,0.421647,0.438289,0.493829,0.754334,0.488767,0.755235,0.492719,0.503259,0.53356,0.75787,0.502288,0.584662,0.46332,0.642768,0.503952,0.715989,0.697684,0.63833,0.3365,0.742269,0.276799,0.0404244,0.335529,0.7673,0.48842,0.737207,0.254888,0.0459714,0.32388,0.423797,0.495701,0.439606,0.250728,0.711413,0.318402,0.729996,0.45812,0.496672,0.340036,0.732215,0.462835,0.418527,0.0275967,0.50943,0.424837,0.753086,0.355915,0.448759,0.491402,0.450978,0.49265,0.406116,0.498891,0.477188,0.498891,0.501248,0.54403,0.537096,0.368187,0.37006,0.519692,0.499376,0.265289,0.731313,0.506726,0.503883,0.499792,0.501941,0.506171,0.554639,0.442241,0.803633,0.587713,0.805575,0.506795,0.587228,0.56601,0.592428,0.502912,0.50319,0.589169,0.573568
0.0547774,0.0557482,0.0564415,0.0583137,0.0827208,0.659271,0.390792,0.596866,0.264249,0.255374,0.332478,0.256969,0.464083,0.742615,0.494869,0.709125,0.0521426,0.0549161,0.0572043,0.0543614,0.0357787,0.738802,0.418458,0.749757,0.393635,0.745528,0.406254,0.0371654,0.0423658,0.753502,0.41825,0.612051,0.0559562,0.0558868,0.0549161,0.053252,0.375537,0.337193,0.334905,0.447996,0.261892,0.362432,0.210512,0.339065,0.257523,0.716405,0.256344,0.410623,0.0549161,0.0549161,0.0550548,0.0551241,0.330953,0.613923,0.61011,0.61427,0.334628,0.507419,0.0298849,0.336916,0.338095,0.746013,0.482319,0.749619,0.388365,0.704133,0.367425,0.0967966,0.395854,0.674664,0.277146,0.683886,0.394744,0.717931,0.264596,0.615102,0.258771,0.75364,0.253224,0.255651,0.301206,0.762516,0.366801,0.74532,0.409167,0.759049,0.379628,0.764873,0.0545694,0.764873,0.480377,0.409929,0.550201,0.755443,0.421647,0.355083,0.335182,0.734988,0.347733,0.492927,0.487103,0.537859,0.42456,0.398211,0.0581057,0.716822,0.499237,0.708917,0.0383442,0.708293,0.251837,0.700527,0.339481,0.734988,0.419914,0.74636,0.374567,0.3365,0.51359,0.484329,0.339967,0.540216,0.48114,0.351893,0.427749,0.33962,0.477881,0.34177,0.330467,0.332201,0.333241,0.33019,0.381292,0.335252,0.338719,0.592775,0.337887,0.33435,0.340383,0.424074,0.251144,0.722022,0.500763,0.479129,0.330398,0.600402,0.464013,0.427749,0.422757,0.74213,0.591319,0.40147,0.399182,0.337817,0.320413,0.672029,0.576966,0.733879,0.48634,0.467896,0.494176,0.32811,0.495354,0.495978,0.498336,0.566704,0.452572,0.346901,0.25572,0.26099,0.50416,0.500901,0.253224,0.800166,0.255582,0.442726,0.486063,0.341423,0.549161,0.456039,0.330745,0.661489,0.584732,0.612883,0.5,0.709333,0.561157,0.590556,0.50104,0.58702,0.649702,0.571003,0.336777,0.716128,0.340452,0.336777,0.335182,0.734087,0.383303,0.743448,0.254126,0.33643,0.341978,0.436555,0.255374,0.752462,0.259118,0.424976,0.335529,0.742477,0.503675,0.474067,0.338441,0.737831,0.527389,0.400569,0.34066,0.752115,0.509222,0.339273,0.558591,0.342879,0.457149,0.576342,0.496256,0.49792,0.578561,0.494245,0.466718,0.801345,0.544169,0.503467,0.256414,0.377201,0.421301,0.50104,0.254472,0.259118,0.253432,0.445153,0.499792,0.561434,0.54195,0.509707,0.568506,0.510817,0.514977,0.803217,0.501317,0.58806,0.56393,0.588129,0.507073,0.591596,0.588615,0.814589
0.053876,0.0560255,0.0528359,0.0551935,0.297878,0.593538,0.37838,0.345236,0.252808,0.255443,0.0818888,0.0904868,0.25468,0.261545,0.257385,0.266468,0.0555401,0.0526279,0.0560255,0.0551935,0.36687,0.738732,0.399875,0.664471,0.393427,0.3365,0.4109,0.402787,0.513521,0.745042,0.0291915,0.317085,0.0556095,0.0531826,0.0531826,0.0522812,0.371308,0.573984,0.377895,0.353418,0.270073,0.336846,0.256206,0.256275,0.263209,0.340591,0.25468,0.343572,0.0559562,0.053668,0.0557482,0.0526973,0.304673,0.74636,0.474206,0.5692,0.339689,0.554985,0.340729,0.744418,0.380183,0.340244,0.481903,0.340452,0.306476,0.669602,0.374983,0.292955,0.385938,0.760574,0.319443,0.613091,0.0461101,0.617875,0.0497851,0.619262,0.479892,0.765497,0.265775,0.26411,0.266052,0.757662,0.378866,0.337956,0.370129,0.760297,0.391555,0.617667,0.457634,0.53148,0.417418,0.346831,0.390792,0.754195,0.422549,0.610526,0.37207,0.733255,0.39724,0.342186,0.366523,0.771738,0.402094,0.372625,0.0391763,0.742685,0.341631,0.484607,0.253363,0.701498,0.563375,0.347802,0.334489,0.742754,0.344196,0.546942,0.380738,0.572736,0.535779,0.740674,0.337401,0.574331,0.344335,0.340452,0.488767,0.7474,0.481695,0.745736,0.333588,0.331854,0.335806,0.331993,0.378103,0.743864,0.46124,0.263278,0.337471,0.336846,0.387256,0.339273,0.254264,0.259326,0.257177,0.679309,0.326168,0.718694,0.470947,0.7673,0.349466,0.732977,0.525655,0.710512,0.40251,0.734572,0.0394536,0.505339,0.338233,0.622382,0.52413,0.442588,0.496325,0.486687,0.482041,0.49369,0.501941,0.459922,0.339967,0.701082,0.256483,0.499376,0.498752,0.499307,0.502149,0.557828,0.447996,0.697823,0.040147,0.608653,0.420954,0.79982,0.269865,0.650811,0.550201,0.751976,0.500832,0.610248,0.570725,0.588823,0.502774,0.62786,0.567674,0.811677,0.33643,0.37006,0.289766,0.44862,0.445985,0.339481,0.392941,0.436694,0.066981,0.597906,0.337124,0.395091,0.408959,0.522882,0.33962,0.439537,0.340036,0.693732,0.477396,0.343572,0.310775,0.705311,0.479268,0.743239,0.362016,0.620926,0.507489,0.522951,0.426363,0.453613,0.500347,0.425738,0.421439,0.499168,0.500416,0.498613,0.499445,0.775551,0.526903,0.528498,0.261337,0.708501,0.402649,0.532936,0.498613,0.478297,0.255304,0.678893,0.499653,0.579601,0.0322424,0.812717,0.476425,0.787061,0.582582,0.79871,0.502427,0.503883,0.573915,0.504854,0.504299,0.510123,0.568784,0.637221
0.0549854,0.0545001,0.054084,0.0544307,0.3019,0.723547,0.390931,0.597698,0.252808,0.379559,0.254403,0.364097,0.2526,0.461933,0.491471,0.705034,0.0538067,0.0551935,0.0537373,0.0549854,0.371446,0.731036,0.320621,0.616766,0.391277,0.342671,0.474553,0.406809,0.048953,0.742893,0.411108,0.0277354,0.0541534,0.0553321,0.0569269,0.0564415,0.31029,0.0488836,0.364443,0.372001,0.0900707,0.334004,0.0428512,0.432742,0.255443,0.44127,0.256136,0.345999,0.0555401,0.0561642,0.0558868,0.0540147,0.35113,0.591388,0.0466648,0.618222,0.338511,0.33754,0.338996,0.620441,0.339828,0.732769,0.48218,0.336916,0.387325,0.463805,0.300444,0.0506865,0.317293,0.750243,0.323256,0.616142,0.25579,0.61739,0.259187,0.617321,0.401609,0.770282,0.255235,0.0654556,0.307447,0.667244,0.380252,0.440022,0.410969,0.7128,0.404105,0.743725,0.0393149,0.767092,0.445916,0.322355,0.390653,0.694633,0.419082,0.0235751,0.346138,0.738039,0.335598,0.429205,0.491471,0.740535,0.472403,0.376785,0.337748,0.738941,0.515254,0.501248,0.0404244,0.435723,0.338719,0.336569,0.307447,0.552628,0.341492,0.421301,0.383997,0.539939,0.425738,0.753086,0.393149,0.74733,0.481764,0.501941,0.341839,0.750589,0.478852,0.339135,0.333241,0.331785,0.332409,0.333796,0.448343,0.338788,0.379004,0.0545001,0.402718,0.419775,0.386077,0.255443,0.501595,0.336292,0.260782,0.260227,0.0330051,0.334281,0.453613,0.47171,0.519969,0.734642,0.427749,0.714672,0.402649,0.5,0.3962,0.513868,0.330814,0.502982,0.452018,0.363126,0.494592,0.492026,0.344474,0.499653,0.454722,0.497989,0.479684,0.500416,0.497296,0.498613,0.500971,0.499792,0.465885,0.262446,0.505894,0.257801,0.0181667,0.49792,0.497088,0.801415,0.456802,0.768132,0.577798,0.763625,0.50208,0.527805,0.575648,0.56816,0.504715,0.598114,0.573776,0.808071,0.334836,0.729372,0.335806,0.275274,0.490431,0.337263,0.393843,0.0357093,0.0683678,0.0552628,0.399043,0.336153,0.340868,0.446471,0.502219,0.444113,0.338719,0.737346,0.343156,0.738871,0.341978,0.729233,0.284565,0.46124,0.45278,0.451879,0.483913,0.753155,0.37318,0.451324,0.487172,0.494384,0.495978,0.497573,0.468936,0.501248,0.496048,0.447025,0.544862,0.506171,0.376023,0.499168,0.419983,0.402649,0.502982,0.396339,0.507489,0.254819,0.431771,0.805505,0.586326,0.810429,0.500693,0.527597,0.58591,0.508667,0.498891,0.80717,0.588545,0.81029,0.501803,0.599847,0.568506,0.592706
0.0558175,0.0556095,0.0556095,0.0565109,0.364027,0.723547,0.375884,0.656774,0.26834,0.25475,0.256136,0.253432,0.25683,0.420746,0.255235,0.260921,0.0570656,0.0546387,0.0531826,0.0554015,0.297462,0.729441,0.306338,0.746221,0.390584,0.33962,0.320552,0.322008,0.0398003,0.395021,0.412009,0.0370268,0.0554015,0.0524893,0.0539454,0.0556095,0.366801,0.29351,0.30717,0.279712,0.261892,0.335945,0.345098,0.493482,0.339551,0.339412,0.499099,0.720219,0.0528359,0.0547081,0.0547081,0.053876,0.353696,0.584732,0.308834,0.43087,0.336916,0.335321,0.342948,0.74005,0.358688,0.552628,0.482804,0.489114,0.270559,0.753987,0.272362,0.75364,0.397587,0.756136,0.276245,0.738594,0.256899,0.459714,0.467827,0.359728,0.256483,0.703509,0.260713,0.353904,0.270004,0.758425,0.385037,0.622452,0.412564,0.586604,0.345306,0.763417,0.326862,0.721814,0.0387602,0.376577,0.311746,0.770282,0.417765,0.0463181,0.350506,0.731383,0.395715,0.499931,0.492997,0.406809,0.492303,0.750797,0.264318,0.605187,0.343503,0.256552,0.504646,0.436486,0.252808,0.757107,0.384898,0.747261,0.462349,0.741991,0.452711,0.744904,0.424421,0.745666,0.339551,0.513521,0.445015,0.746637,0.481071,0.572181,0.480377,0.743864,0.332964,0.332825,0.335044,0.329635,0.350298,0.595132,0.381431,0.419914,0.336777,0.336361,0.344751,0.339689,0.25364,0.456109,0.499376,0.496949,0.334212,0.574123,0.332339,0.57024,0.522951,0.736375,0.433088,0.658577,0.404868,0.548884,0.119262,0.501317,0.313341,0.341284,0.458258,0.338996,0.481695,0.494384,0.496672,0.493344,0.544585,0.714187,0.500277,0.496533,0.496464,0.499029,0.404313,0.500624,0.413119,0.580155,0.50527,0.264804,0.344612,0.615934,0.55762,0.407086,0.499099,0.617737,0.533213,0.763625,0.503814,0.504784,0.45278,0.576827,0.5199,0.801206,0.56809,0.608029,0.335806,0.339551,0.275205,0.0192068,0.441548,0.338649,0.396408,0.33754,0.398003,0.439051,0.395507,0.313063,0.464429,0.557135,0.256344,0.432187,0.346901,0.732492,0.341492,0.755928,0.312855,0.739911,0.439745,0.339967,0.127306,0.64464,0.483567,0.51359,0.567813,0.62474,0.488212,0.754195,0.496117,0.355013,0.497434,0.470808,0.500416,0.789072,0.500416,0.501387,0.37734,0.500208,0.500832,0.500832,0.491402,0.2673,0.502635,0.506171,0.498821,0.505062,0.58591,0.791915,0.500416,0.474345,0.579947,0.595618,0.500901,0.796283,0.589447,0.608237,0.505963,0.512897,0.588199,0.686729
