0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
nan,0.054084,0.053668,0.05346,0.341839,0.341076,0.270698,0.0678824,0.259049,0.257454,0.263556,0.443766,0.333518,0.333172,0.0890306,0.333033,0.0549161,0.0567189,0.0565802,0.0545694,0.341631,0.339551,0.0556095,0.0576896,0.439259,0.0785605,0.255998,0.256483,0.264318,0.271391,0.404521,0.263278,0.0556788,0.0541534,0.0592151,0.0556095,0.346277,0.347039,0.0526279,0.0553321,0.307447,0.375468,0.507905,0.461586,0.306407,0.306476,0.419151,0.304535,0.0524893,0.0525586,0.0549854,0.0531133,0.341631,0.341978,0.0552628,0.5943,0.374151,0.371377,0.426363,0.401747,0.27569,0.27146,0.419429,0.617043,0.384967,0.745736,0.372556,0.539731,0.403481,0.745528,0.379559,0.490431,0.351477,0.76203,0.370406,0.390376,0.501803,0.762308,0.360422,0.394397,0.392456,0.750728,0.338095,0.762516,0.401193,0.755096,0.447996,0.691305,0.352378,0.506102,0.488906,0.763486,0.547913,0.503259,0.375953,0.5839,0.075787,0.757593,0.0345999,0.347317,0.398488,0.75475,0.0392456,0.443905,0.461725,0.765081,0.348911,0.397656,0.352933,0.756761,0.354597,0.623631,0.100333,0.752808,0.0628207,0.70233,0.403065,0.758771,0.0443073,0.750451,0.497712,0.618291,0.361323,0.407849,0.4057,0.546942,0.497088,0.764318,0.335182,0.33435,0.335113,0.334489,0.321037,0.343711,0.334905,0.334697,0.341215,0.338164,0.336708,0.33858,0.437179,0.456733,0.354389,0.339759,0.417695,0.413812,0.50208,0.339343,0.34274,0.434406,0.514838,0.29878,0.491263,0.627375,0.352933,0.595202,0.42456,0.735751,0.339481,0.349466,0.49792,0.433366,0.499376,0.499445,0.544169,0.437318,0.501179,0.545486,0.501387,0.505339,0.503744,0.501664,0.503467,0.572459,0.5052,0.502774,0.550686,0.527874,0.565178,0.573221,0.501248,0.617875,0.58598,0.804119,0.50319,0.63417,0.574262,0.63944,0.565248,0.653931,0.570725,0.810775,0.335806,0.33539,0.337332,0.36687,0.438635,0.720288,0.442796,0.344543,0.434544,0.381778,0.430315,0.432118,0.438358,0.436833,0.434614,0.436694,0.44023,0.738316,0.512204,0.733324,0.341284,0.341631,0.543129,0.579323,0.43392,0.740605,0.589863,0.486826,0.537027,0.738386,0.336084,0.596173,0.435238,0.498475,0.542782,0.4654,0.50104,0.545902,0.544446,0.43496,0.500832,0.562613,0.504784,0.501803,0.504022,0.579878,0.506102,0.506032,0.501525,0.566288,0.585564,0.501803,0.503952,0.797878,0.619678,0.507489,0.505478,0.648038,0.555055,0.712939,0.603106,0.504992,0.572459,0.508806
0.0523506,0.0550548,0.0527666,0.0565109,0.337124,0.338095,0.376924,0.0589377,0.256552,0.0783525,0.258009,0.253363,0.408196,0.266607,0.302316,0.259326,0.0529746,0.0542227,0.0565802,0.0555401,0.339967,0.341631,0.0554015,0.0542921,0.258979,0.257801,0.255928,0.259534,0.4109,0.335598,0.413882,0.360006,0.0561642,0.053252,0.0531826,0.0559562,0.346069,0.335876,0.27569,0.0537373,0.375468,0.302385,0.3071,0.453266,0.0375815,0.296699,0.473166,0.581542,0.0523506,0.0544307,0.0550548,0.0533907,0.344058,0.341908,0.0484676,0.571211,0.307863,0.773818,0.30925,0.274927,0.412633,0.280474,0.404452,0.403897,0.105464,0.757593,0.464915,0.667799,0.400153,0.750659,0.449522,0.327416,0.373873,0.760782,0.472473,0.432118,0.500416,0.754611,0.478782,0.0343919,0.0838303,0.741437,0.356677,0.757523,0.374151,0.762308,0.45389,0.381778,0.355568,0.58494,0.436625,0.405006,0.358757,0.759395,0.491194,0.692137,0.377548,0.757939,0.451602,0.442102,0.401401,0.758078,0.478158,0.444668,0.451532,0.504784,0.560671,0.440369,0.352517,0.790251,0.524615,0.447025,0.362987,0.758633,0.0474969,0.446887,0.40466,0.752323,0.343642,0.762377,0.351061,0.543891,0.335876,0.453474,0.39627,0.761822,0.329289,0.76418,0.333865,0.338996,0.334628,0.337887,0.298086,0.386562,0.336014,0.335668,0.341353,0.338788,0.345583,0.343572,0.345098,0.46013,0.338025,0.529192,0.418111,0.73901,0.534808,0.574608,0.411177,0.460408,0.554223,0.744072,0.483081,0.73686,0.512828,0.755235,0.338927,0.551796,0.482735,0.485924,0.460754,0.499376,0.450978,0.434752,0.544446,0.543059,0.544238,0.436971,0.502358,0.5597,0.501387,0.504646,0.500624,0.511718,0.612467,0.608099,0.501109,0.501525,0.571557,0.587436,0.500416,0.502427,0.56601,0.802316,0.571211,0.810012,0.564623,0.538899,0.633407,0.504507,0.552767,0.81133,0.3365,0.335668,0.335876,0.436833,0.433782,0.341284,0.336222,0.36791,0.337055,0.43496,0.381709,0.431286,0.430939,0.436139,0.382263,0.470046,0.436694,0.58487,0.480793,0.58702,0.421578,0.533629,0.482388,0.749272,0.436694,0.541603,0.496186,0.741783,0.500971,0.520802,0.428581,0.56393,0.498405,0.499237,0.498059,0.498613,0.559007,0.544723,0.437249,0.550894,0.503467,0.585494,0.561018,0.562197,0.504646,0.502288,0.502635,0.613368,0.502774,0.502635,0.585841,0.806684,0.500763,0.507627,0.587575,0.812162,0.502427,0.710512,0.564762,0.808626,0.55554,0.50416,0.683054,0.557204
0.054084,0.053876,0.053668,0.0540147,0.34281,0.335252,0.0515879,0.0700319,0.262169,0.259326,0.257107,0.262308,0.392179,0.412564,0.0997781,0.0783525,0.0537373,0.0567882,0.0544307,0.058175,0.335668,0.338233,0.0639994,0.0568576,0.117043,0.257662,0.260297,0.256622,0.265983,0.25787,0.515185,0.272292,0.0541534,0.053876,0.0563029,0.0554015,0.326584,0.338649,0.0526279,0.269172,0.534808,0.541811,0.308002,0.542088,0.228193,0.266537,0.303841,0.403273,0.0563029,0.0565109,0.0551935,0.0545694,0.343087,0.339967,0.256344,0.249827,0.350922,0.375884,0.453335,0.611566,0.274719,0.455207,0.277839,0.265081,0.0905561,0.762377,0.371654,0.591804,0.397864,0.763348,0.497781,0.764318,0.354528,0.500624,0.364859,0.617043,0.404313,0.758147,0.360491,0.495909,0.106504,0.624809,0.345791,0.7526,0.401123,0.582374,0.444599,0.6185,0.355083,0.762585,0.474067,0.501595,0.469768,0.76307,0.372209,0.0908334,0.38053,0.734225,0.0737068,0.34385,0.405492,0.749757,0.0490223,0.485439,0.541603,0.636111,0.540008,0.394051,0.427195,0.566634,0.581611,0.427056,0.362918,0.758009,0.049369,0.425738,0.404105,0.759395,0.355499,0.445569,0.371932,0.764804,0.317432,0.063098,0.444529,0.760851,0.4161,0.449314,0.338372,0.339135,0.335737,0.335806,0.294689,0.291014,0.52406,0.519553,0.338025,0.401262,0.344058,0.33643,0.424698,0.423797,0.344612,0.340729,0.292609,0.68236,0.340452,0.745112,0.422757,0.699834,0.50319,0.743309,0.340105,0.351338,0.337401,0.348773,0.490085,0.46228,0.581334,0.635765,0.499931,0.43503,0.498613,0.433712,0.546387,0.500277,0.501317,0.500832,0.503467,0.501387,0.502982,0.50104,0.501525,0.505755,0.507627,0.609763,0.535779,0.578422,0.563653,0.575648,0.539315,0.50312,0.576134,0.589169,0.566357,0.568506,0.570795,0.706975,0.551449,0.609624,0.586881,0.572667,0.338233,0.359243,0.335945,0.350367,0.438635,0.342324,0.338927,0.342394,0.341492,0.537027,0.429829,0.437041,0.431563,0.569685,0.336014,0.336916,0.339689,0.730967,0.483705,0.378866,0.339273,0.342116,0.542782,0.490362,0.428651,0.637221,0.501803,0.749133,0.471017,0.433574,0.528221,0.752947,0.499237,0.433574,0.499376,0.44966,0.50208,0.434891,0.460824,0.438913,0.503675,0.500901,0.561642,0.561642,0.505547,0.502288,0.610526,0.506448,0.50104,0.577451,0.563237,0.581473,0.507419,0.617043,0.50943,0.579254,0.555818,0.507003,0.589585,0.577035,0.63729,0.60588,0.606504,0.637984
0.058175,0.0513105,0.0552628,0.0520039,0.344335,0.342532,0.0615033,0.0597698,0.0874359,0.257038,0.261822,0.260158,0.333934,0.333588,0.259326,0.101373,0.0544307,0.0522812,0.0545001,0.0556788,0.345652,0.345583,0.053876,0.602552,0.0975593,0.255166,0.260089,0.324366,0.407156,0.335529,0.101373,0.261753,0.0541534,0.0561642,0.0524199,0.0563029,0.405422,0.337471,0.063098,0.0497157,0.305991,0.375884,0.308418,0.535779,0.301831,0.302524,0.421023,0.302871,0.0570656,0.0522812,0.0549161,0.0545001,0.342047,0.34378,0.250243,0.0554015,0.382333,0.272292,0.338719,0.350229,0.363889,0.278741,0.281029,0.361947,0.0957565,0.761961,0.372833,0.710304,0.403758,0.754403,0.532034,0.728748,0.35425,0.765566,0.369713,0.395576,0.49688,0.545625,0.358965,0.529608,0.355152,0.759603,0.430176,0.7673,0.403689,0.757385,0.566149,0.760297,0.353904,0.50423,0.496533,0.508182,0.356955,0.767577,0.489391,0.750104,0.0955485,0.755096,0.0455554,0.709749,0.402718,0.748856,0.481209,0.445084,0.35848,0.545209,0.459853,0.583761,0.527111,0.768063,0.352309,0.295105,0.37949,0.761684,0.411593,0.760643,0.403897,0.75995,0.51574,0.622937,0.563029,0.757939,0.34593,0.537165,0.466648,0.76099,0.50312,0.752947,0.336708,0.335182,0.334142,0.336708,0.33539,0.341978,0.431286,0.520663,0.339065,0.408334,0.344682,0.341978,0.461032,0.343226,0.34274,0.366939,0.422272,0.745389,0.473929,0.452572,0.453335,0.746706,0.341978,0.501248,0.521356,0.422202,0.347455,0.748509,0.391624,0.715157,0.345652,0.558244,0.450908,0.500069,0.499237,0.434336,0.434683,0.543267,0.559076,0.435168,0.505408,0.550201,0.509499,0.561711,0.610456,0.505894,0.607821,0.500971,0.535293,0.502427,0.502219,0.803841,0.502843,0.669879,0.50319,0.8019,0.56497,0.635834,0.589308,0.669394,0.579878,0.816184,0.647483,0.570864,0.341145,0.335529,0.336292,0.338164,0.524546,0.532797,0.490223,0.368118,0.337956,0.431771,0.429899,0.3417,0.338372,0.748925,0.436902,0.478852,0.448828,0.584454,0.482665,0.736167,0.3365,0.349951,0.461378,0.483983,0.434544,0.634378,0.539246,0.557135,0.571419,0.540424,0.43288,0.600402,0.497642,0.437318,0.498891,0.499931,0.434336,0.434752,0.556996,0.543198,0.502358,0.502358,0.502219,0.501248,0.649841,0.505131,0.503467,0.503952,0.503259,0.503675,0.506656,0.567674,0.502288,0.590209,0.560255,0.620996,0.574539,0.735959,0.587575,0.502774,0.578561,0.507003,0.574192,0.567536
0.0567189,0.0548468,0.0573429,0.0558175,0.336708,0.339689,0.0565109,0.289904,0.260574,0.0724587,0.0740535,0.259326,0.332617,0.33123,0.260019,0.266884,0.0554015,0.0551935,0.053876,0.0549854,0.337956,0.0637914,0.0567189,0.0635141,0.260089,0.256067,0.27569,0.25683,0.334628,0.335182,0.360214,0.268617,0.0520732,0.0571349,0.0571349,0.057967,0.337887,0.341284,0.0520732,0.0531133,0.374151,0.539038,0.461032,0.441825,0.371377,0.236444,0.303287,0.307447,0.0558868,0.0581057,0.0554015,0.0560255,0.343988,0.339828,0.05346,0.0596311,0.310706,0.400222,0.37838,0.374705,0.274303,0.430384,0.372278,0.402995,0.340105,0.75995,0.373804,0.734156,0.396547,0.757523,0.536541,0.754403,0.352448,0.766884,0.352101,0.524476,0.358688,0.756622,0.359936,0.355429,0.361878,0.753432,0.0737068,0.623284,0.403897,0.758355,0.450076,0.759465,0.354458,0.769657,0.493344,0.740951,0.444737,0.766052,0.515532,0.75468,0.394813,0.758147,0.053668,0.443628,0.402441,0.619748,0.345375,0.344474,0.486063,0.596034,0.549161,0.49584,0.364166,0.768825,0.357856,0.363334,0.355776,0.759257,0.344266,0.749203,0.40251,0.757593,0.343503,0.42872,0.624532,0.760366,0.420746,0.473097,0.0597005,0.503051,0.313757,0.51047,0.334142,0.335044,0.287893,0.334073,0.292955,0.310498,0.308348,0.334489,0.339897,0.3365,0.338095,0.340729,0.341423,0.453266,0.338927,0.347386,0.33962,0.72119,0.473859,0.729857,0.336292,0.337679,0.342879,0.745805,0.395992,0.742893,0.48745,0.350922,0.556511,0.625225,0.586118,0.507211,0.499445,0.498891,0.499584,0.499861,0.434128,0.543891,0.541464,0.499931,0.500555,0.562821,0.562127,0.561919,0.503259,0.503883,0.609902,0.509985,0.500416,0.573083,0.585841,0.503259,0.502288,0.57759,0.570517,0.80717,0.507142,0.803841,0.578422,0.5692,0.502635,0.569339,0.566218,0.502011,0.334142,0.334836,0.335945,0.363472,0.441964,0.343364,0.33539,0.342532,0.436833,0.430176,0.3365,0.381084,0.53772,0.436001,0.480447,0.43496,0.340313,0.741229,0.363334,0.585633,0.339897,0.74213,0.342532,0.545902,0.338788,0.590417,0.43295,0.560741,0.497504,0.584454,0.497573,0.565456,0.499029,0.449383,0.499099,0.498821,0.439675,0.5,0.543614,0.544307,0.561295,0.502427,0.501664,0.505547,0.609832,0.505616,0.502843,0.508598,0.501456,0.505478,0.587852,0.588407,0.568784,0.621342,0.50319,0.590833,0.503051,0.606643,0.570379,0.805852,0.503606,0.704826,0.568298,0.633477
0.0574816,0.0555401,0.0547081,0.0569269,0.338095,0.335737,0.057967,0.0563029,0.262169,0.263764,0.256344,0.257385,0.332478,0.410553,0.308972,0.2621,0.0537373,0.053876,0.0562335,0.0547081,0.338857,0.342394,0.053668,0.0605325,0.255582,0.066565,0.260366,0.260435,0.259742,0.33338,0.267439,0.263417,0.0555401,0.0557482,0.0553321,0.0533213,0.338788,0.332894,0.0544307,0.0572736,0.307724,0.533976,0.277146,0.466093,0.302108,0.089308,0.479337,0.306962,0.0553321,0.0565802,0.0538067,0.0525586,0.335806,0.337055,0.062058,0.0597698,0.372278,0.654902,0.372833,0.279157,0.265289,0.101026,0.421439,0.368604,0.374705,0.760713,0.374567,0.740189,0.402302,0.74636,0.44966,0.757523,0.354736,0.782554,0.360283,0.437595,0.354874,0.767924,0.286299,0.13625,0.384066,0.744904,0.0578283,0.756691,0.401401,0.758563,0.448135,0.716336,0.353834,0.762654,0.50104,0.779781,0.395021,0.758147,0.524407,0.385661,0.371516,0.751976,0.0321731,0.44127,0.403689,0.747885,0.475801,0.706143,0.543059,0.754611,0.458258,0.53141,0.393565,0.783456,0.581403,0.361392,0.0958258,0.765289,0.0468035,0.759742,0.399875,0.757523,0.044862,0.448135,0.382541,0.765428,0.318541,0.450354,0.469075,0.768201,0.357093,0.760643,0.33442,0.335113,0.336846,0.335806,0.335737,0.301484,0.434128,0.29774,0.337887,0.343018,0.368673,0.338025,0.339412,0.345652,0.345444,0.442241,0.510539,0.722993,0.335668,0.346138,0.335737,0.42248,0.510886,0.716267,0.489322,0.69706,0.496464,0.528567,0.389821,0.738802,0.528082,0.490015,0.433643,0.498891,0.499723,0.436001,0.440924,0.441825,0.544793,0.545278,0.623353,0.501317,0.564069,0.501525,0.611219,0.587783,0.505131,0.507003,0.500693,0.801276,0.535987,0.79351,0.507211,0.568714,0.502288,0.619054,0.507697,0.802801,0.568576,0.567744,0.570933,0.801276,0.588545,0.633338,0.361392,0.723409,0.334697,0.337817,0.378311,0.428581,0.335876,0.336084,0.429621,0.432464,0.34281,0.338511,0.432395,0.429344,0.435446,0.433435,0.421023,0.742477,0.479337,0.589031,0.42345,0.74844,0.343642,0.748717,0.536541,0.436486,0.437249,0.534045,0.497434,0.574747,0.43288,0.58487,0.499376,0.435168,0.499445,0.434544,0.545139,0.545833,0.543059,0.43496,0.584524,0.503467,0.560463,0.508113,0.509707,0.502912,0.610526,0.501456,0.570587,0.540286,0.586534,0.788656,0.503536,0.69921,0.502288,0.795313,0.505686,0.636181,0.568714,0.609208,0.567466,0.632229,0.571419,0.635557
0.0567189,0.0548468,0.0522119,0.0553321,0.343295,0.336292,0.062682,0.0591457,0.256275,0.24213,0.259465,0.25683,0.332339,0.403758,0.0831369,0.268063,0.0550548,0.0517265,0.0535987,0.0551935,0.333172,0.340452,0.0599778,0.0511025,0.261337,0.257038,0.24317,0.258217,0.25995,0.2621,0.356053,0.461656,0.0558175,0.0549854,0.0533213,0.053252,0.343919,0.340105,0.0572043,0.27153,0.30613,0.308626,0.375121,0.536957,0.453058,0.30606,0.300652,0.457981,0.0547081,0.053876,0.0549161,0.0571349,0.342116,0.339551,0.262793,0.259326,0.407849,0.434059,0.28193,0.440161,0.264526,0.321939,0.279712,0.27257,0.0887533,0.758147,0.367217,0.652406,0.404382,0.757454,0.453959,0.67605,0.353626,0.766468,0.35321,0.759534,0.354458,0.76938,0.496394,0.622799,0.363542,0.76314,0.0689918,0.758286,0.402233,0.761476,0.552628,0.751837,0.497365,0.761684,0.475662,0.341492,0.355776,0.767855,0.415546,0.525031,0.0966579,0.76411,0.341631,0.443974,0.402579,0.762238,0.476009,0.771599,0.421717,0.769172,0.34385,0.445916,0.399112,0.539731,0.35536,0.34586,0.106365,0.748232,0.0492997,0.447927,0.405006,0.758355,0.0428512,0.7621,0.0478436,0.762793,0.316322,0.620302,0.314936,0.544307,0.419983,0.349189,0.412495,0.337332,0.337679,0.336708,0.299196,0.336292,0.525725,0.523644,0.342047,0.336292,0.36056,0.341007,0.456178,0.34586,0.348357,0.347317,0.336014,0.733948,0.532658,0.336985,0.521634,0.420469,0.338857,0.475801,0.419706,0.347317,0.482873,0.487311,0.484746,0.349674,0.579185,0.55554,0.447996,0.498197,0.499307,0.450839,0.545555,0.45077,0.450423,0.500485,0.501317,0.562474,0.562405,0.503467,0.651713,0.504854,0.58383,0.507073,0.500485,0.555818,0.501248,0.564485,0.500485,0.801068,0.612883,0.805505,0.503328,0.571973,0.545971,0.504438,0.572805,0.633754,0.50312,0.671543,0.35328,0.361323,0.351477,0.338372,0.338303,0.338233,0.441894,0.440716,0.430107,0.430245,0.433435,0.336985,0.478297,0.545694,0.428928,0.337887,0.33858,0.630703,0.34066,0.544654,0.43503,0.733255,0.442588,0.547844,0.426571,0.750173,0.433435,0.745389,0.432811,0.436833,0.540632,0.740258,0.503606,0.451394,0.499445,0.434198,0.544307,0.545278,0.451602,0.544377,0.507003,0.582374,0.50104,0.506032,0.506448,0.503398,0.600818,0.507142,0.508251,0.504091,0.501456,0.504854,0.501387,0.648454,0.583969,0.8071,0.54091,0.809804,0.634101,0.669949,0.577798,0.508667,0.634309,0.7128
0.0528359,0.0549854,0.0556788,0.0558868,0.342186,0.34274,0.0587297,0.297601,0.257454,0.320968,0.257315,0.0813341,0.40771,0.40667,0.259118,0.331923,0.0563722,0.0538067,0.0559562,0.0558175,0.342255,0.340175,0.0704479,0.0542227,0.258078,0.25891,0.25475,0.0790459,0.333796,0.410692,0.265081,0.704549,0.0562335,0.0557482,0.0533907,0.0547081,0.339481,0.333588,0.0596311,0.0584524,0.539315,0.309874,0.536819,0.30821,0.23478,0.0828595,0.306338,0.299681,0.05346,0.0545001,0.0541534,0.0554015,0.331022,0.338441,0.285813,0.75371,0.38046,0.303425,0.446956,0.625295,0.417002,0.45278,0.367979,0.401331,0.386216,0.751283,0.376716,0.576896,0.402371,0.758563,0.385314,0.755374,0.357509,0.773748,0.362224,0.607405,0.503259,0.767647,0.499237,0.498891,0.379074,0.762238,0.534947,0.622729,0.403065,0.749272,0.45077,0.756206,0.35328,0.765913,0.499515,0.602829,0.354389,0.783664,0.553252,0.612398,0.0827902,0.750243,0.0378588,0.445223,0.397448,0.759673,0.472819,0.347455,0.372278,0.580155,0.40355,0.345791,0.486271,0.770698,0.361046,0.282069,0.089932,0.758355,0.0556788,0.761753,0.400638,0.759673,0.424768,0.763625,0.478366,0.618916,0.495978,0.623839,0.348565,0.500763,0.501456,0.445153,0.340591,0.343503,0.33546,0.336985,0.334558,0.33858,0.337401,0.431563,0.341284,0.334836,0.34378,0.342463,0.343087,0.339204,0.340105,0.427195,0.310914,0.746013,0.499931,0.535779,0.335044,0.453058,0.538968,0.744973,0.419914,0.714187,0.509222,0.510123,0.542782,0.629732,0.493413,0.338441,0.431286,0.499099,0.499307,0.499029,0.545555,0.453474,0.465955,0.544515,0.56185,0.562405,0.504299,0.509846,0.514076,0.502427,0.504368,0.502288,0.500624,0.653515,0.567882,0.560463,0.499861,0.501595,0.538136,0.622868,0.502427,0.636181,0.574886,0.638885,0.501317,0.634031,0.566426,0.574608,0.335252,0.35009,0.352656,0.339897,0.438843,0.44335,0.440161,0.33442,0.422272,0.430107,0.340036,0.43607,0.436001,0.477257,0.433712,0.436694,0.394744,0.739911,0.437665,0.527874,0.362224,0.54188,0.53987,0.553113,0.432742,0.651158,0.432672,0.485716,0.432672,0.636042,0.434891,0.509985,0.448898,0.499861,0.499237,0.498683,0.556442,0.436347,0.544793,0.44023,0.501733,0.504507,0.503744,0.523644,0.504646,0.671197,0.501595,0.611843,0.504091,0.803495,0.568506,0.801206,0.502219,0.55769,0.583969,0.501872,0.502358,0.708432,0.502149,0.569616,0.50423,0.670919,0.665511,0.799196
0.0533907,0.0528359,0.0547774,0.0513798,0.347594,0.340313,0.0542921,0.396408,0.111843,0.259395,0.264041,0.25787,0.404105,0.330329,0.260297,0.268617,0.0535987,0.0552628,0.0558175,0.0558175,0.339828,0.341631,0.0537373,0.0646928,0.258009,0.0850784,0.255304,0.258078,0.333865,0.332894,0.361462,0.464013,0.057551,0.0564415,0.05346,0.0546387,0.33435,0.345236,0.267439,0.0511718,0.528429,0.308071,0.373735,0.308071,0.0922896,0.109902,0.427056,0.579878,0.053668,0.053668,0.0570656,0.0558868,0.341562,0.343642,0.0520039,0.0607405,0.0903481,0.655596,0.325406,0.408057,0.279296,0.608099,0.373804,0.276799,0.361323,0.758494,0.372486,0.753779,0.401123,0.758286,0.449799,0.724379,0.353418,0.76418,0.354666,0.395715,0.356885,0.768756,0.499723,0.39627,0.102066,0.753571,0.532104,0.643531,0.405561,0.763278,0.450631,0.756206,0.354666,0.767993,0.355221,0.396894,0.447233,0.50416,0.358549,0.766329,0.0868812,0.754195,0.0305089,0.617806,0.404798,0.757939,0.0454167,0.346762,0.0529746,0.788448,0.35113,0.445015,0.355776,0.508113,0.348149,0.682846,0.0909028,0.751491,0.338857,0.446471,0.403342,0.614062,0.346138,0.763625,0.370614,0.757246,0.359382,0.349535,0.427264,0.75891,0.502635,0.346069,0.341007,0.334073,0.334697,0.333865,0.506934,0.289974,0.336985,0.524893,0.337609,0.341562,0.339135,0.337609,0.445985,0.336777,0.397379,0.347802,0.335598,0.337471,0.532728,0.500555,0.425253,0.421093,0.519831,0.74421,0.338372,0.384205,0.502288,0.351477,0.457426,0.722507,0.515809,0.484676,0.498752,0.498405,0.499099,0.498336,0.54403,0.556927,0.500971,0.543475,0.503606,0.535779,0.582998,0.624532,0.608029,0.609694,0.503744,0.610595,0.50208,0.805644,0.585564,0.592082,0.568714,0.50416,0.583068,0.812301,0.57232,0.504507,0.503259,0.616419,0.598183,0.630703,0.587991,0.640202,0.336153,0.337956,0.334073,0.334697,0.338649,0.439537,0.382125,0.336777,0.429899,0.742338,0.431424,0.424906,0.478782,0.335737,0.385314,0.34378,0.419914,0.423658,0.513105,0.480863,0.436694,0.743309,0.54188,0.338441,0.431008,0.585356,0.437457,0.339204,0.432464,0.744696,0.433019,0.485231,0.498683,0.497018,0.499861,0.499099,0.54091,0.545001,0.451532,0.449938,0.501941,0.501387,0.524615,0.564138,0.611912,0.504923,0.536611,0.653238,0.535779,0.571003,0.502427,0.8071,0.535917,0.504091,0.501733,0.588823,0.569685,0.505408,0.552975,0.812509,0.505339,0.509846,0.602552,0.809874
0.0547774,0.0581057,0.0568576,0.0526973,0.332547,0.338025,0.290944,0.29767,0.263209,0.257662,0.105256,0.254888,0.265012,0.264388,0.102136,0.261129,0.0531826,0.0567882,0.0526279,0.0555401,0.342255,0.339551,0.0573429,0.0644848,0.261476,0.321523,0.0640688,0.260713,0.40674,0.413674,0.419221,0.351338,0.0564415,0.0558868,0.0563722,0.0565109,0.339759,0.33546,0.0596311,0.0515185,0.541534,0.533699,0.541672,0.535155,0.076203,0.053668,0.424768,0.303564,0.0540147,0.0531133,0.0563029,0.0533907,0.340313,0.335529,0.0576203,0.599223,0.373388,0.277839,0.0773124,0.407641,0.100333,0.637221,0.286645,0.40882,0.0798086,0.758217,0.373943,0.674456,0.402371,0.751075,0.274997,0.738039,0.437665,0.772154,0.359243,0.394605,0.357371,0.565178,0.523367,0.678269,0.0823742,0.76203,0.338788,0.727708,0.400083,0.753155,0.45181,0.748856,0.356123,0.756552,0.532797,0.609624,0.354112,0.757246,0.53883,0.752462,0.3815,0.762377,0.341562,0.444737,0.402163,0.760921,0.0350159,0.750659,0.380391,0.457357,0.454306,0.445015,0.0412564,0.767924,0.361323,0.351754,0.378796,0.761129,0.411177,0.747677,0.399875,0.76203,0.358619,0.756552,0.373804,0.503883,0.357093,0.617529,0.464637,0.764942,0.343988,0.472611,0.334836,0.336916,0.336638,0.337471,0.337193,0.334558,0.296769,0.523714,0.34697,0.387394,0.3365,0.33858,0.335737,0.349397,0.42768,0.33442,0.337401,0.651643,0.495354,0.734988,0.427403,0.300652,0.501456,0.303217,0.336777,0.626959,0.346346,0.553807,0.398627,0.423381,0.567189,0.341284,0.498752,0.498475,0.498475,0.499723,0.544515,0.553807,0.436971,0.542227,0.534669,0.504576,0.506656,0.561503,0.605949,0.511996,0.610387,0.50423,0.501456,0.597282,0.563098,0.652753,0.501179,0.647136,0.587713,0.502288,0.573291,0.504646,0.605603,0.602344,0.502843,0.584801,0.633615,0.566357,0.334281,0.403758,0.351546,0.334073,0.364859,0.334836,0.343642,0.366315,0.337817,0.431216,0.379975,0.424629,0.430731,0.740951,0.431702,0.436555,0.420954,0.745944,0.33754,0.517889,0.425461,0.365137,0.339204,0.584524,0.427333,0.347178,0.436417,0.514492,0.434475,0.433296,0.431632,0.556234,0.499584,0.448135,0.43503,0.499099,0.437457,0.438011,0.538968,0.545209,0.505824,0.504784,0.50319,0.50208,0.505616,0.505824,0.502982,0.506656,0.501733,0.655526,0.555124,0.575718,0.568853,0.801345,0.587505,0.500971,0.571557,0.633199,0.599015,0.713008,0.571627,0.639856,0.539176,0.640133
