0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
nan,0.0560255,0.0303009,0.0344612,0.370545,0.656358,0.305713,0.747955,0.057551,0.0551241,0.0340452,0.0319651,0.377479,0.336777,0.489114,0.293857,0.0555401,0.0550548,0.053876,0.0404244,0.378034,0.328595,0.383303,0.25371,0.053876,0.0539454,0.498197,0.782208,0.376647,0.581473,0.46228,0.809666,0.373388,0.375745,0.381223,0.377964,0.37006,0.686313,0.386216,0.712384,0.300582,0.374636,0.381084,0.378519,0.475107,0.365899,0.402233,0.403966,0.373804,0.702815,0.499861,0.766537,0.389336,0.497712,0.404798,0.710442,0.379628,0.402163,0.496672,0.585633,0.387672,0.633407,0.411732,0.585841,0.0368881,0.339897,0.0486063,0.420607,0.380599,0.424837,0.310983,0.342394,0.036056,0.601026,0.362294,0.387186,0.49896,0.0861878,0.409028,0.388573,0.0355013,0.42033,0.0541534,0.339759,0.381154,0.421578,0.38989,0.336222,0.495632,0.502774,0.503536,0.461864,0.482596,0.502774,0.496186,0.585633,0.382263,0.339689,0.312023,0.738247,0.388642,0.440785,0.409513,0.336846,0.387256,0.402025,0.389821,0.442449,0.492442,0.728817,0.408334,0.339065,0.477188,0.42248,0.483775,0.376508,0.484052,0.422965,0.431286,0.544169,0.500624,0.503051,0.409583,0.5052,0.412495,0.504784,0.50319,0.503467,0.0572736,0.0545001,0.33539,0.336985,0.374428,0.374081,0.722577,0.257939,0.054084,0.0543614,0.42345,0.339273,0.540702,0.606781,0.421994,0.74629,0.0572043,0.0560949,0.322563,0.741159,0.372348,0.679309,0.397102,0.342324,0.0576203,0.589585,0.501248,0.810845,0.584246,0.504923,0.501456,0.589585,0.655041,0.254195,0.422133,0.42033,0.698447,0.39412,0.437734,0.708085,0.346693,0.270628,0.420122,0.762585,0.411663,0.324851,0.746706,0.584593,0.38365,0.753502,0.34482,0.613091,0.38996,0.726876,0.46956,0.322493,0.455138,0.816114,0.502011,0.807655,0.800998,0.812786,0.501595,0.503467,0.0307863,0.33754,0.420469,0.760227,0.381847,0.732284,0.725905,0.421231,0.596866,0.743448,0.421231,0.74525,0.752462,0.623284,0.744141,0.48114,0.0280128,0.477604,0.383927,0.739773,0.381223,0.417071,0.340105,0.340868,0.504299,0.591249,0.501595,0.809735,0.805713,0.502358,0.632922,0.503467,0.741367,0.709818,0.475801,0.475662,0.413396,0.257315,0.421647,0.339828,0.257107,0.664332,0.335529,0.42241,0.550756,0.717446,0.745666,0.751421,0.337817,0.541256,0.742061,0.544446,0.42137,0.393704,0.441894,0.748787,0.500901,0.588753,0.501941,0.813202,0.629178,0.81757,0.502427,0.590417
0.0552628,0.0535987,0.031549,0.0383442,0.376508,0.374497,0.258147,0.255027,0.0515879,0.0547774,0.0369574,0.0240605,0.373596,0.209888,0.403689,0.739773,0.0538067,0.0565109,0.0330745,0.590695,0.373735,0.271807,0.391069,0.266121,0.0567882,0.0506171,0.501733,0.500624,0.361808,0.449314,0.414506,0.579462,0.373943,0.373249,0.3815,0.381362,0.383442,0.405353,0.395784,0.40771,0.373527,0.374913,0.376577,0.377964,0.390237,0.343642,0.399182,0.421162,0.487796,0.63001,0.448898,0.706143,0.386285,0.711066,0.484191,0.556927,0.296353,0.63098,0.496117,0.497642,0.30079,0.804673,0.410415,0.590556,0.036056,0.336084,0.257523,0.340591,0.379975,0.414644,0.31237,0.744696,0.103176,0.0245458,0.260158,0.3365,0.382957,0.723062,0.389474,0.524199,0.035224,0.336985,0.0528359,0.750728,0.379906,0.338233,0.407572,0.475246,0.0449314,0.500416,0.310012,0.585633,0.392803,0.502566,0.306892,0.587297,0.035224,0.439675,0.310914,0.437457,0.395507,0.337748,0.407156,0.424282,0.387949,0.407433,0.403481,0.341631,0.400153,0.412564,0.500693,0.750867,0.261268,0.372903,0.397587,0.580225,0.429691,0.733601,0.509083,0.746776,0.501317,0.504784,0.432395,0.501179,0.503744,0.504923,0.41825,0.587783,0.0543614,0.0563722,0.42033,0.420122,0.374705,0.329219,0.437318,0.697892,0.0553321,0.0563029,0.739287,0.336153,0.379698,0.407364,0.47691,0.516919,0.0567882,0.0544307,0.320413,0.745181,0.374012,0.411039,0.350159,0.256969,0.0558175,0.806754,0.639024,0.670573,0.633199,0.589585,0.58695,0.50208,0.689294,0.327902,0.736306,0.420954,0.355221,0.706213,0.731868,0.338164,0.708848,0.272847,0.416794,0.339551,0.539939,0.704757,0.538414,0.73693,0.477188,0.407918,0.744834,0.412703,0.408265,0.715851,0.522951,0.441201,0.501109,0.63521,0.50208,0.587644,0.631188,0.805713,0.502843,0.587852,0.0411871,0.737207,0.420677,0.739426,0.38046,0.759187,0.372417,0.336292,0.608723,0.499099,0.73693,0.335945,0.758979,0.594162,0.424352,0.743448,0.0298156,0.341353,0.586812,0.451047,0.379767,0.335806,0.395576,0.337332,0.580849,0.643184,0.342671,0.810082,0.51255,0.591666,0.50319,0.807724,0.307516,0.626543,0.348911,0.339967,0.343988,0.477673,0.72847,0.729233,0.705935,0.752045,0.744834,0.336916,0.506518,0.725211,0.747816,0.741714,0.293163,0.43184,0.456455,0.459714,0.708085,0.476356,0.509707,0.516572,0.58071,0.507211,0.506726,0.810498,0.587921,0.502843,0.50208,0.588615
0.0557482,0.0592151,0.0408404,0.0322424,0.375815,0.32811,0.399806,0.550201,0.0543614,0.0560255,0.0329358,0.0409791,0.379282,0.208362,0.386493,0.341978,0.0542227,0.053668,0.0382055,0.0395923,0.371932,0.345514,0.386077,0.260158,0.0551935,0.0553321,0.450631,0.49792,0.375953,0.501317,0.39308,0.766121,0.372972,0.373804,0.38053,0.37942,0.379698,0.40147,0.386978,0.415546,0.374497,0.378658,0.380946,0.379975,0.469352,0.360283,0.400499,0.293718,0.378103,0.697476,0.50208,0.557482,0.466648,0.533768,0.485508,0.727361,0.0332825,0.364166,0.497434,0.501179,0.224587,0.502219,0.501317,0.634309,0.0296769,0.339897,0.255998,0.747122,0.380599,0.334558,0.311954,0.739079,0.0392456,0.31133,0.302108,0.483705,0.500347,0.0760643,0.461725,0.766953,0.0336985,0.336084,0.258217,0.734434,0.37949,0.336777,0.406878,0.343295,0.483081,0.500624,0.500347,0.585494,0.406878,0.504299,0.499237,0.586465,0.385314,0.481903,0.403273,0.421509,0.398558,0.441756,0.41402,0.339481,0.308002,0.347941,0.257801,0.419013,0.399598,0.466718,0.506865,0.421786,0.491818,0.423242,0.403966,0.748717,0.487658,0.430315,0.267231,0.748995,0.390237,0.503398,0.323395,0.502704,0.502149,0.586326,0.409999,0.505339,0.0554708,0.0535293,0.423034,0.381778,0.378311,0.255304,0.730273,0.261614,0.0560255,0.0541534,0.413882,0.421647,0.381639,0.392317,0.48426,0.4256,0.0549854,0.0562335,0.261268,0.75572,0.373041,0.325752,0.409444,0.259395,0.0548468,0.809596,0.806962,0.807447,0.36479,0.638053,0.798086,0.814381,0.752184,0.328387,0.761059,0.743586,0.519207,0.685689,0.440785,0.729094,0.272292,0.703509,0.337609,0.761614,0.548398,0.724033,0.739287,0.388573,0.742477,0.401678,0.0863958,0.60061,0.412841,0.717099,0.466371,0.7076,0.458258,0.818749,0.589863,0.808418,0.587089,0.634239,0.634517,0.590071,0.0357787,0.422272,0.742615,0.756483,0.382263,0.336846,0.376023,0.340036,0.57759,0.761337,0.33858,0.742407,0.774789,0.623007,0.478505,0.482111,0.0422965,0.721953,0.474622,0.41929,0.381986,0.697199,0.405561,0.340937,0.80717,0.504091,0.501872,0.666343,0.633061,0.588337,0.812717,0.58806,0.0324504,0.696783,0.471918,0.738941,0.407918,0.385175,0.753016,0.506795,0.389336,0.706074,0.339481,0.3365,0.708848,0.44758,0.484399,0.745805,0.372903,0.392179,0.516433,0.746568,0.375607,0.742338,0.338025,0.4853,0.501248,0.587297,0.629524,0.587436,0.633338,0.638746,0.50423,0.588684
0.0556788,0.0535987,0.0430592,0.030717,0.376647,0.327278,0.386493,0.269588,0.0565802,0.0558868,0.0309943,0.0298849,0.378588,0.440022,0.403481,0.297809,0.0541534,0.0550548,0.508321,0.0298849,0.371238,0.253363,0.305159,0.743933,0.0521426,0.0542227,0.499445,0.800998,0.0339065,0.582582,0.499445,0.8019,0.376855,0.375052,0.382333,0.382749,0.383997,0.696436,0.397864,0.703717,0.375607,0.370614,0.380252,0.382194,0.373388,0.333865,0.479892,0.521634,0.373943,0.701082,0.383719,0.772084,0.463875,0.416586,0.39516,0.414367,0.374359,0.582443,0.400846,0.501525,0.369436,0.583761,0.394189,0.500277,0.0289835,0.415754,0.257593,0.766537,0.378866,0.73901,0.300028,0.337401,0.385591,0.261892,0.0889613,0.3564,0.44446,0.422826,0.457357,0.341631,0.0302316,0.420053,0.255443,0.742338,0.381292,0.746984,0.312647,0.739703,0.500693,0.50416,0.259881,0.806476,0.502912,0.8019,0.499307,0.586188,0.385453,0.73485,0.403966,0.338996,0.385938,0.74005,0.412633,0.337679,0.386007,0.431494,0.404452,0.333934,0.486964,0.419637,0.331091,0.514492,0.271946,0.344127,0.391485,0.740466,0.404313,0.536541,0.419845,0.423034,0.387256,0.501525,0.408126,0.506102,0.500069,0.632783,0.500763,0.502149,0.0569963,0.0556788,0.422064,0.619054,0.374844,0.735474,0.439675,0.745458,0.0569269,0.0565802,0.464152,0.759673,0.754542,0.0841076,0.7379,0.485162,0.0560255,0.0556095,0.0409791,0.727014,0.374567,0.2725,0.428096,0.702815,0.053876,0.664887,0.586812,0.807378,0.500832,0.634586,0.500555,0.665095,0.253155,0.689502,0.734017,0.740813,0.410415,0.353765,0.478297,0.72743,0.327763,0.270212,0.337887,0.73797,0.330675,0.721814,0.43496,0.387325,0.402649,0.619332,0.0363334,0.612814,0.348218,0.552905,0.736444,0.729441,0.631327,0.634863,0.633962,0.635834,0.607891,0.642699,0.58695,0.63625,0.0373041,0.745736,0.338095,0.33858,0.378935,0.339897,0.337887,0.338788,0.73485,0.763001,0.758841,0.424213,0.766745,0.624393,0.744904,0.750173,0.0440993,0.336292,0.260574,0.737623,0.378866,0.740813,0.409305,0.763764,0.803772,0.643808,0.504646,0.501595,0.632783,0.80606,0.502843,0.809388,0.739426,0.701012,0.340313,0.756483,0.700527,0.338372,0.472611,0.749827,0.332686,0.700804,0.420399,0.744973,0.501248,0.701567,0.427195,0.483983,0.0324504,0.392317,0.262932,0.740397,0.501317,0.752878,0.509985,0.480724,0.801206,0.588684,0.490917,0.50527,0.810775,0.587575,0.807794,0.502704
0.0551935,0.0563722,0.0361254,0.0297462,0.372209,0.272778,0.213701,0.376993,0.0554708,0.0567189,0.0337679,0.0279434,0.372764,0.403342,0.451948,0.271114,0.0551241,0.053876,0.0499931,0.752531,0.375121,0.271668,0.387186,0.70018,0.0542921,0.0523506,0.499376,0.805159,0.0411177,0.58591,0.391555,0.582582,0.3763,0.372833,0.378866,0.382333,0.383373,0.351269,0.391347,0.406324,0.373388,0.375745,0.382055,0.380668,0.46436,0.508667,0.21072,0.71904,0.49376,0.475315,0.445708,0.502496,0.470462,0.409513,0.493968,0.715989,0.376716,0.500069,0.4057,0.499861,0.226252,0.501595,0.503675,0.500971,0.0320344,0.335876,0.304881,0.72639,0.379628,0.339759,0.406185,0.3365,0.0508945,0.0200388,0.312162,0.329081,0.50104,0.453405,0.390306,0.33858,0.0318957,0.339204,0.093607,0.420191,0.38157,0.338857,0.406185,0.339273,0.487796,0.761822,0.0888226,0.501317,0.551449,0.504438,0.3616,0.806199,0.310082,0.420053,0.315213,0.421439,0.383997,0.476702,0.413882,0.342186,0.388157,0.759811,0.405006,0.447164,0.391485,0.295105,0.417487,0.440646,0.389474,0.736791,0.405769,0.430453,0.218278,0.584801,0.509361,0.374497,0.502427,0.803633,0.318125,0.804812,0.502011,0.58695,0.507419,0.506448,0.0561642,0.0558175,0.342394,0.785467,0.374151,0.328526,0.335945,0.62051,0.0537373,0.0548468,0.421509,0.338788,0.500208,0.45701,0.731175,0.389544,0.054084,0.0564415,0.394328,0.753918,0.374983,0.668631,0.763417,0.262516,0.0539454,0.587921,0.503675,0.63833,0.499584,0.807932,0.798225,0.807447,0.255928,0.25371,0.339967,0.341215,0.414575,0.700874,0.737138,0.342116,0.702607,0.698516,0.340383,0.759395,0.501664,0.325683,0.743101,0.480031,0.399528,0.700319,0.0299542,0.0289835,0.458258,0.713424,0.721121,0.702676,0.583137,0.505686,0.723755,0.505547,0.807794,0.635002,0.587228,0.590556,0.0393843,0.338233,0.342532,0.340937,0.381154,0.713424,0.338441,0.33754,0.738594,0.706005,0.344959,0.340313,0.50319,0.610248,0.730481,0.522882,0.0368881,0.477396,0.0694772,0.745042,0.381015,0.415476,0.454653,0.422133,0.50631,0.587921,0.813826,0.587436,0.586812,0.590279,0.505408,0.810567,0.253779,0.256552,0.476633,0.738663,0.703301,0.675426,0.341007,0.428373,0.329982,0.689641,0.473651,0.388573,0.412148,0.721814,0.746568,0.456733,0.292123,0.743309,0.342463,0.73693,0.291568,0.749272,0.438982,0.751699,0.608792,0.501456,0.586396,0.502774,0.805783,0.505131,0.585564,0.809111
0.0546387,0.0556095,0.0351546,0.0387602,0.373319,0.329219,0.372278,0.256691,0.0562335,0.053876,0.0329358,0.0350159,0.379282,0.210026,0.383442,0.0365414,0.0583137,0.0563029,0.0412564,0.598322,0.373735,0.746568,0.387394,0.25468,0.0556095,0.0543614,0.496741,0.611358,0.494314,0.805228,0.500901,0.500971,0.375191,0.368396,0.380668,0.379143,0.383511,0.410623,0.395923,0.392664,0.375745,0.37214,0.381362,0.380252,0.455138,0.259257,0.38684,0.34066,0.378103,0.383511,0.499168,0.380738,0.394189,0.394189,0.486548,0.723617,0.264041,0.581195,0.405422,0.501109,0.443212,0.503675,0.390792,0.458605,0.0257939,0.384898,0.247192,0.733393,0.382263,0.341145,0.407017,0.339481,0.0382749,0.487172,0.256483,0.343087,0.382957,0.771599,0.318957,0.303079,0.0393843,0.33338,0.364305,0.336846,0.37734,0.340105,0.389336,0.751837,0.496325,0.587436,0.094231,0.809735,0.494661,0.50104,0.539315,0.804396,0.40986,0.437665,0.264942,0.44342,0.39516,0.714464,0.300444,0.439814,0.326931,0.426363,0.406462,0.441617,0.488004,0.728748,0.507974,0.745944,0.391139,0.530578,0.410207,0.743031,0.405492,0.752808,0.41506,0.335737,0.499723,0.618777,0.325059,0.585078,0.399806,0.501456,0.418111,0.50312,0.0521426,0.0558868,0.336292,0.74844,0.374705,0.328318,0.342116,0.259187,0.0523506,0.0556095,0.7526,0.739495,0.630703,0.767439,0.492511,0.749064,0.0542227,0.0574123,0.415546,0.741853,0.374012,0.40043,0.420469,0.74629,0.0548468,0.587436,0.501109,0.587644,0.629802,0.588892,0.589793,0.501941,0.254334,0.694356,0.336084,0.740466,0.691374,0.689849,0.732353,0.448759,0.257038,0.328387,0.339551,0.739703,0.707114,0.702538,0.53876,0.422341,0.0757177,0.4057,0.452364,0.0324504,0.348218,0.442172,0.721537,0.449314,0.797324,0.81237,0.502149,0.505408,0.795659,0.50319,0.589655,0.807586,0.0400777,0.336708,0.742962,0.34066,0.381431,0.758771,0.420954,0.425461,0.751629,0.765775,0.341562,0.334697,0.562266,0.752462,0.430523,0.751144,0.0382749,0.341562,0.385245,0.734156,0.380876,0.41506,0.392733,0.733532,0.585286,0.593746,0.805991,0.590417,0.58591,0.590279,0.80925,0.811399,0.384759,0.274372,0.420538,0.7327,0.40355,0.729857,0.421994,0.722161,0.756483,0.756483,0.380807,0.335529,0.704271,0.72008,0.73797,0.750173,0.517889,0.336708,0.38892,0.597906,0.338233,0.75267,0.427125,0.515462,0.585564,0.589377,0.50624,0.810498,0.80294,0.501525,0.586881,0.81022
0.0533213,0.053876,0.0347386,0.0408404,0.373873,0.270143,0.387741,0.256275,0.0556095,0.0542227,0.0466648,0.0301623,0.492303,0.498267,0.387048,0.265358,0.0535987,0.0535293,0.0279434,0.604424,0.370406,0.409791,0.264804,0.34274,0.0549161,0.0544307,0.0347386,0.502358,0.255235,0.499931,0.396408,0.806407,0.374913,0.376439,0.380668,0.3815,0.380668,0.699348,0.391485,0.691236,0.374497,0.37741,0.3815,0.378519,0.384274,0.449383,0.387048,0.704757,0.376161,0.623631,0.501525,0.755859,0.388434,0.345375,0.489738,0.551449,0.378103,0.582097,0.498197,0.457565,0.386285,0.501941,0.502635,0.799473,0.0396616,0.417557,0.255235,0.340383,0.381431,0.736098,0.310012,0.721051,0.0331438,0.749896,0.0861878,0.671682,0.502288,0.406809,0.258979,0.312647,0.0327278,0.336014,0.267231,0.340452,0.381431,0.341007,0.261129,0.42033,0.455415,0.807516,0.381154,0.553807,0.4948,0.586604,0.535501,0.586326,0.375191,0.335945,0.401193,0.448135,0.38989,0.420885,0.257939,0.337956,0.13729,0.404105,0.405006,0.33754,0.392664,0.716197,0.503883,0.725211,0.213216,0.749896,0.258078,0.539454,0.397726,0.740813,0.507003,0.733185,0.229996,0.61108,0.31868,0.649216,0.499445,0.810706,0.553183,0.502011,0.0554015,0.0560949,0.337332,0.723062,0.375815,0.706143,0.734156,0.258979,0.0542227,0.0524893,0.334558,0.339481,0.683678,0.601234,0.446748,0.485855,0.0560949,0.0537373,0.491957,0.750312,0.374844,0.330398,0.39516,0.746152,0.0565802,0.590348,0.501941,0.637706,0.519415,0.638122,0.58591,0.811885,0.328179,0.700388,0.736167,0.33539,0.698724,0.689225,0.42137,0.715296,0.740813,0.70441,0.335321,0.417834,0.71807,0.445708,0.431216,0.54188,0.342532,0.759465,0.408404,0.403689,0.714603,0.445569,0.383858,0.337124,0.500347,0.813202,0.809388,0.502912,0.63313,0.810983,0.502288,0.500416,0.03564,0.734017,0.338927,0.73478,0.381292,0.336153,0.341215,0.337193,0.0307863,0.752462,0.74636,0.738108,0.382333,0.76203,0.725628,0.737831,0.0342532,0.735612,0.3815,0.340591,0.381015,0.340175,0.438982,0.713285,0.498405,0.587921,0.810429,0.634794,0.501456,0.501941,0.589863,0.811399,0.261753,0.337124,0.485716,0.338996,0.407641,0.342255,0.44231,0.741437,0.682915,0.712037,0.738039,0.736167,0.710928,0.718139,0.739911,0.423381,0.492095,0.748787,0.386701,0.541118,0.404105,0.747192,0.542505,0.761337,0.774511,0.665719,0.588615,0.666066,0.633893,0.811815,0.586881,0.635973
0.0547774,0.0531826,0.026834,0.0380668,0.374428,0.252462,0.325683,0.672237,0.0582443,0.0542921,0.0400083,0.044446,0.378172,0.338857,0.386146,0.294411,0.0545001,0.0549854,0.0343226,0.75267,0.375676,0.327832,0.361878,0.329497,0.0542227,0.0558175,0.500416,0.790598,0.0351546,0.499584,0.503398,0.503398,0.375191,0.375607,0.380114,0.381362,0.370198,0.699002,0.395992,0.258702,0.3763,0.375607,0.378242,0.380807,0.467896,0.399875,0.396408,0.420746,0.37422,0.755166,0.384621,0.758771,0.390376,0.332756,0.448898,0.718763,0.0557482,0.492997,0.405422,0.80294,0.185134,0.502149,0.390931,0.633338,0.031341,0.338649,0.260643,0.700666,0.381154,0.336777,0.405492,0.33754,0.0435446,0.261892,0.304049,0.343226,0.449036,0.0788379,0.395715,0.420815,0.0336985,0.338441,0.0956871,0.337609,0.380738,0.729025,0.404937,0.337401,0.500208,0.500763,0.494661,0.502011,0.383373,0.50423,0.409652,0.493135,0.301345,0.336708,0.254472,0.437387,0.387949,0.337956,0.403065,0.453821,0.311261,0.395368,0.406393,0.474137,0.389197,0.413188,0.410623,0.460685,0.502219,0.753016,0.261198,0.375121,0.48738,0.580086,0.297878,0.377756,0.313133,0.500693,0.31022,0.809666,0.504091,0.587089,0.507627,0.809874,0.0578283,0.0559562,0.732908,0.337956,0.376092,0.326099,0.730897,0.329705,0.0574123,0.0561642,0.738802,0.335806,0.755512,0.701012,0.338857,0.388712,0.0538067,0.0573429,0.0454167,0.728401,0.376231,0.328665,0.433712,0.751421,0.0563722,0.590764,0.587089,0.501387,0.698655,0.503259,0.586326,0.811954,0.328734,0.66558,0.339967,0.341562,0.401678,0.697476,0.730343,0.729927,0.32915,0.695257,0.474969,0.421786,0.699418,0.707461,0.72854,0.747955,0.666274,0.614062,0.0757177,0.621828,0.510193,0.511025,0.522882,0.712384,0.586465,0.590279,0.45812,0.504646,0.585425,0.634031,0.502496,0.638053,0.0348079,0.741506,0.733255,0.338025,0.380876,0.38046,0.439329,0.340105,0.0334212,0.742893,0.339135,0.763001,0.561157,0.780336,0.427333,0.747677,0.0318957,0.336708,0.63833,0.687075,0.378242,0.342671,0.362155,0.756275,0.471571,0.665095,0.633061,0.814242,0.766884,0.591388,0.588337,0.810775,0.714325,0.274372,0.729927,0.335806,0.412633,0.741506,0.336638,0.335876,0.257731,0.769103,0.419983,0.338788,0.5692,0.716336,0.339412,0.341908,0.291638,0.745597,0.478158,0.388365,0.522188,0.757315,0.547081,0.424906,0.501803,0.50416,0.807863,0.810845,0.502219,0.809319,0.8166,0.636042
0.0550548,0.0556095,0.0404244,0.0441686,0.378172,0.713216,0.208709,0.738108,0.0558175,0.0561642,0.0339065,0.0316877,0.497989,0.210026,0.495493,0.449036,0.0559562,0.0581057,0.0361254,0.739495,0.371932,0.371169,0.20857,0.260851,0.0552628,0.0554708,0.0322424,0.504022,0.02725,0.502011,0.500971,0.624116,0.372833,0.375468,0.3815,0.381639,0.385522,0.409236,0.396894,0.708848,0.374497,0.369782,0.378103,0.3815,0.372694,0.68132,0.401401,0.419775,0.378658,0.497504,0.382333,0.766676,0.465747,0.390931,0.416863,0.711829,0.0482596,0.692345,0.402371,0.800929,0.498405,0.581403,0.400083,0.805089,0.0343919,0.337956,0.259534,0.7379,0.378588,0.759049,0.300444,0.742615,0.0504784,0.0298156,0.260019,0.382125,0.453127,0.409583,0.499861,0.344404,0.0284288,0.338649,0.361947,0.42033,0.380183,0.380252,0.407017,0.337887,0.495701,0.502149,0.391485,0.500693,0.500416,0.804535,0.500139,0.633477,0.208224,0.447788,0.258355,0.42033,0.38781,0.335806,0.406878,0.44335,0.386424,0.403827,0.313133,0.334697,0.48849,0.389336,0.406324,0.528221,0.211413,0.737692,0.503398,0.454583,0.405214,0.71072,0.44023,0.45181,0.390792,0.586812,0.505547,0.80814,0.403827,0.503467,0.552004,0.587367,0.0567882,0.0557482,0.419983,0.733185,0.375953,0.328873,0.421786,0.336916,0.0574816,0.0546387,0.758147,0.757177,0.676189,0.39523,0.56913,0.426917,0.0551241,0.0548468,0.734988,0.761961,0.374567,0.269311,0.404244,0.402995,0.0576896,0.587575,0.500832,0.636389,0.0204549,0.634101,0.805575,0.588476,0.25475,0.325544,0.742407,0.475107,0.690057,0.716405,0.374775,0.44973,0.727361,0.691513,0.340868,0.415615,0.715227,0.706767,0.562405,0.749688,0.210789,0.761614,0.457773,0.401193,0.501733,0.729718,0.416239,0.481903,0.584662,0.636874,0.50631,0.590071,0.588823,0.808834,0.506587,0.506518,0.0398003,0.337679,0.343018,0.338649,0.383165,0.744002,0.337817,0.756691,0.606296,0.751768,0.748995,0.741714,0.741922,0.773263,0.499861,0.744002,0.0393843,0.335044,0.0945777,0.340452,0.381709,0.34281,0.443766,0.3417,0.501595,0.808903,0.585009,0.806268,0.632922,0.502912,0.502912,0.502774,0.0339759,0.337609,0.737484,0.745805,0.705242,0.429067,0.376855,0.422896,0.70233,0.750797,0.477742,0.42137,0.711205,0.391624,0.538691,0.74636,0.708154,0.739911,0.388642,0.746568,0.454306,0.746637,0.522535,0.344058,0.502288,0.58702,0.500971,0.500693,0.502219,0.809804,0.591249,0.808071
0.0545001,0.0560255,0.0305783,0.0348773,0.370822,0.253502,0.407294,0.254472,0.0545694,0.0529746,0.0391763,0.0388989,0.374151,0.402302,0.210928,0.710997,0.0565802,0.0563029,0.0365414,0.733809,0.368187,0.681112,0.386354,0.25572,0.0544307,0.0520039,0.452295,0.499515,0.37207,0.582097,0.31237,0.583553,0.373943,0.376993,0.377895,0.380391,0.376924,0.684787,0.388573,0.698794,0.374081,0.370892,0.377687,0.381223,0.43711,0.357787,0.204895,0.299126,0.374497,0.765566,0.49584,0.713147,0.37207,0.696297,0.484121,0.706213,0.366731,0.498544,0.540355,0.495978,0.173138,0.50104,0.39412,0.502496,0.0289835,0.739357,0.25572,0.339343,0.381709,0.419498,0.389058,0.336985,0.0363334,0.413396,0.105603,0.0456941,0.50104,0.744765,0.462835,0.725211,0.022743,0.335321,0.253987,0.33962,0.379906,0.735127,0.406532,0.474969,0.497018,0.808556,0.0956871,0.551172,0.392595,0.50208,0.48537,0.585494,0.0355013,0.733255,0.256206,0.422064,0.3962,0.73589,0.406878,0.739842,0.0379975,0.340175,0.390029,0.443905,0.40459,0.304119,0.267855,0.440369,0.0565802,0.374289,0.4801,0.582929,0.388781,0.336292,0.410345,0.536264,0.0465955,0.602968,0.455554,0.587297,0.392456,0.586188,0.548676,0.504576,0.0569269,0.0556095,0.738178,0.340937,0.370268,0.708709,0.732839,0.734225,0.0520732,0.0538067,0.743448,0.341978,0.628415,0.617321,0.749549,0.518305,0.0574816,0.0565109,0.605949,0.755998,0.374983,0.259395,0.495909,0.754334,0.0541534,0.587228,0.811538,0.809596,0.5,0.636111,0.639856,0.81133,0.716128,0.256552,0.719248,0.753848,0.332756,0.706213,0.338025,0.337055,0.327208,0.270073,0.740535,0.74421,0.507073,0.708224,0.739287,0.736306,0.270004,0.404937,0.262793,0.46124,0.33331,0.724865,0.469352,0.260227,0.501317,0.645403,0.502635,0.809111,0.797948,0.502288,0.637706,0.587852,0.0310637,0.419983,0.342116,0.420885,0.381709,0.758078,0.446055,0.415476,0.600194,0.7275,0.338996,0.733463,0.760366,0.460893,0.655734,0.739773,0.0392456,0.421023,0.341353,0.739218,0.379351,0.339481,0.394744,0.37838,0.500277,0.63417,0.454583,0.501387,0.805436,0.587713,0.809527,0.809596,0.2526,0.618083,0.741021,0.337679,0.704687,0.752184,0.438289,0.42449,0.754264,0.745389,0.34066,0.732908,0.712453,0.713355,0.426363,0.427195,0.513313,0.733393,0.262377,0.426293,0.430037,0.744418,0.54188,0.48634,0.587575,0.59229,0.503883,0.502149,0.630772,0.636597,0.808348,0.502288
