0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
nan,0.0567189,0.181182,0.179379,0.294065,0.291568,0.292331,0.294619,0.451186,0.446817,0.195881,0.191929,0.250728,0.253086,0.320621,0.318402,0.0574123,0.0529746,0.198794,0.650673,0.290459,0.292955,0.295937,0.288726,0.449106,0.444321,0.192969,0.245042,0.253571,0.251976,0.318264,0.256761,0.372903,0.38046,0.388088,0.390237,0.477049,0.261753,0.414783,0.413466,0.380252,0.380183,0.393011,0.35536,0.255582,0.258147,0.406116,0.463875,0.43087,0.648384,0.451324,0.666482,0.466163,0.692206,0.476148,0.478713,0.393496,0.394952,0.412009,0.526626,0.264249,0.501733,0.26418,0.624393,0.305713,0.694009,0.360352,0.69498,0.141173,0.708709,0.414506,0.68132,0.217515,0.384621,0.257038,0.378658,0.409375,0.335598,0.263348,0.330121,0.292886,0.706213,0.362294,0.696575,0.371169,0.717446,0.414714,0.69283,0.455623,0.332409,0.490154,0.335529,0.242893,0.370753,0.507697,0.493968,0.396755,0.427611,0.425114,0.431771,0.395576,0.430037,0.427403,0.350645,0.398419,0.443766,0.430939,0.453543,0.362224,0.468243,0.436625,0.402371,0.391416,0.424629,0.429067,0.400291,0.453405,0.724033,0.358411,0.714048,0.392803,0.381154,0.435585,0.446471,0.40251,0.380322,0.471225,0.626681,0.690681,0.663084,0.33643,0.718,0.319373,0.675634,0.367771,0.686798,0.676883,0.678963,0.475801,0.427957,0.354112,0.438913,0.74428,0.483497,0.74629,0.432326,0.428928,0.521287,0.731313,0.74532,0.514422,0.754819,0.634309,0.634863,0.562405,0.810359,0.502982,0.635557,0.633823,0.589169,0.668631,0.707391,0.737068,0.740605,0.339273,0.66558,0.431078,0.42241,0.680696,0.677299,0.739149,0.746013,0.675288,0.684163,0.426154,0.749272,0.337193,0.497989,0.336292,0.741575,0.517196,0.748648,0.430384,0.74109,0.5891,0.811746,0.589655,0.810706,0.587644,0.587575,0.635349,0.590348,0.652406,0.196783,0.743239,0.733879,0.388781,0.678269,0.344543,0.418597,0.683816,0.684094,0.737484,0.480308,0.678963,0.353834,0.480031,0.747469,0.337887,0.752323,0.335945,0.757731,0.740189,0.74317,0.428997,0.752739,0.560463,0.640272,0.501595,0.588684,0.50527,0.81029,0.805089,0.816738,0.693662,0.653931,0.741298,0.473513,0.683123,0.70226,0.72327,0.337263,0.680141,0.681667,0.337263,0.745458,0.684163,0.675565,0.756206,0.74636,0.751699,0.433296,0.519553,0.339273,0.736167,0.4308,0.74844,0.516503,0.504784,0.804188,0.809735,0.808972,0.808418,0.805159,0.806407,0.644016
0.058383,0.0574816,0.182568,0.136389,0.293163,0.276245,0.287131,0.29247,0.45181,0.451532,0.193177,0.189502,0.252808,0.252878,0.259673,0.253016,0.0556788,0.0556788,0.185273,0.664263,0.29136,0.279989,0.293371,0.292331,0.444529,0.447649,0.189294,0.203439,0.251421,0.251699,0.252254,0.321731,0.377687,0.374636,0.38892,0.389474,0.452295,0.484399,0.412564,0.481417,0.183608,0.168701,0.394952,0.390514,0.426016,0.254334,0.533213,0.25468,0.381431,0.687283,0.453543,0.651435,0.470947,0.508737,0.47067,0.479961,0.397518,0.396339,0.412148,0.680419,0.25364,0.723686,0.258217,0.709264,0.335668,0.706351,0.359312,0.258286,0.372001,0.323603,0.362571,0.667175,0.456802,0.438011,0.372764,0.33338,0.244696,0.497018,0.501248,0.446401,0.342602,0.695396,0.360907,0.706906,0.372556,0.701498,0.410831,0.704895,0.213424,0.376924,0.487866,0.740466,0.462349,0.760227,0.330329,0.743448,0.398142,0.428859,0.314173,0.431147,0.39731,0.432742,0.300582,0.431494,0.397448,0.403203,0.434544,0.453335,0.400846,0.514353,0.252878,0.470392,0.401262,0.722646,0.426293,0.545555,0.401401,0.711482,0.499168,0.435377,0.398142,0.469976,0.538622,0.750035,0.400153,0.469976,0.459992,0.486756,0.565317,0.67508,0.334212,0.729302,0.319235,0.323048,0.745944,0.414922,0.684024,0.683747,0.743933,0.750035,0.682291,0.684094,0.747122,0.745666,0.427611,0.746845,0.335321,0.424144,0.335876,0.745389,0.516017,0.335737,0.58702,0.810637,0.804119,0.810637,0.585772,0.574123,0.806546,0.565456,0.178131,0.676328,0.337055,0.715504,0.704687,0.701706,0.736514,0.388157,0.670018,0.679448,0.438497,0.746845,0.688254,0.681251,0.750659,0.744904,0.826307,0.501733,0.499653,0.744765,0.336084,0.742338,0.738802,0.747053,0.80606,0.501941,0.501456,0.588892,0.587505,0.569269,0.640757,0.637221,0.663292,0.680557,0.738524,0.740397,0.174802,0.197199,0.339689,0.419845,0.678339,0.680627,0.742615,0.747122,0.683608,0.353626,0.742546,0.749827,0.427125,0.337609,0.349119,0.744557,0.428997,0.519553,0.74733,0.422202,0.501109,0.500832,0.502635,0.812093,0.58806,0.807031,0.809874,0.81757,0.310983,0.647899,0.335806,0.733116,0.686105,0.337124,0.790667,0.478852,0.678893,0.684232,0.737207,0.737762,0.686243,0.674594,0.732839,0.741159,0.430384,0.756414,0.515948,0.744072,0.363889,0.739426,0.796214,0.482041,0.565178,0.502774,0.586396,0.587089,0.80821,0.809319,0.640896,0.571419
0.0549854,0.0578977,0.182707,0.186451,0.294342,0.277215,0.292539,0.291499,0.448898,0.450908,0.197753,0.195535,0.251629,0.256344,0.25572,0.316669,0.0562335,0.0563722,0.189086,0.622937,0.295174,0.288656,0.288518,0.295521,0.452572,0.442172,0.199279,0.209333,0.253016,0.251768,0.257523,0.26203,0.376161,0.371446,0.388157,0.389474,0.410345,0.411593,0.411247,0.213632,0.177091,0.157676,0.390653,0.391139,0.407017,0.321384,0.429691,0.268271,0.439745,0.467896,0.456733,0.669255,0.413188,0.4109,0.486618,0.689988,0.391485,0.633893,0.409583,0.697961,0.536541,0.714395,0.321661,0.707946,0.288448,0.70961,0.281168,0.486618,0.371308,0.323533,0.366939,0.390098,0.456941,0.377479,0.256899,0.485994,0.464152,0.739981,0.258494,0.37741,0.290528,0.706837,0.362571,0.696159,0.371724,0.695049,0.415546,0.711274,0.461586,0.73582,0.267439,0.748509,0.357648,0.380946,0.496394,0.74844,0.398211,0.430939,0.326168,0.323533,0.389752,0.705311,0.428789,0.694287,0.403203,0.467966,0.430107,0.467896,0.399945,0.379975,0.407572,0.761059,0.449244,0.710096,0.427749,0.535917,0.395784,0.710928,0.258217,0.430523,0.462488,0.471155,0.429968,0.466232,0.503259,0.755304,0.549993,0.76418,0.6583,0.172792,0.733116,0.242338,0.320621,0.663015,0.713424,0.365622,0.688739,0.685064,0.741922,0.739218,0.690265,0.693246,0.742477,0.746706,0.356747,0.569963,0.429275,0.746082,0.507558,0.449106,0.527666,0.747608,0.807031,0.503051,0.587367,0.810845,0.811885,0.809943,0.565109,0.808348,0.673138,0.668354,0.422202,0.731521,0.689086,0.683539,0.346346,0.422341,0.687006,0.675565,0.748787,0.739357,0.686659,0.679379,0.742685,0.743656,0.522674,0.555609,0.740535,0.541811,0.428859,0.50312,0.431355,0.501109,0.567189,0.565456,0.503814,0.813271,0.588129,0.815005,0.503259,0.811885,0.680072,0.669602,0.47802,0.739218,0.681806,0.672792,0.336569,0.738524,0.676328,0.682915,0.423312,0.739842,0.434336,0.679032,0.430315,0.74844,0.745458,0.446332,0.519137,0.750867,0.510539,0.745597,0.740813,0.74317,0.806338,0.502358,0.805367,0.587505,0.81029,0.640965,0.503259,0.808903,0.665788,0.684926,0.480932,0.481556,0.675565,0.679864,0.79455,0.42137,0.687977,0.679448,0.744557,0.737346,0.683192,0.431979,0.421994,0.742477,0.740743,0.743933,0.741853,0.4308,0.741298,0.430037,0.433712,0.43496,0.505062,0.587367,0.566565,0.502704,0.503744,0.663639,0.502427,0.588615
0.0548468,0.0545694,0.180349,0.130772,0.286229,0.292192,0.294134,0.29351,0.447649,0.447996,0.177645,0.190404,0.252115,0.253918,0.254472,0.322008,0.0526279,0.0547081,0.188601,0.206975,0.15095,0.292955,0.295313,0.290251,0.450978,0.447303,0.208154,0.199764,0.253432,0.252045,0.258771,0.255304,0.376508,0.377132,0.390306,0.387672,0.40563,0.413188,0.413535,0.413604,0.382333,0.378727,0.391416,0.357024,0.255582,0.269657,0.334142,0.255374,0.433712,0.633685,0.456247,0.651297,0.48641,0.410068,0.412564,0.68555,0.389336,0.439745,0.499792,0.654209,0.252739,0.255928,0.461378,0.550548,0.287408,0.258494,0.254056,0.70122,0.369921,0.706421,0.362502,0.716683,0.460616,0.331161,0.261545,0.414436,0.423797,0.381778,0.297046,0.53987,0.333796,0.255027,0.358688,0.459645,0.371238,0.322563,0.415199,0.70337,0.441548,0.411663,0.267439,0.536749,0.451671,0.333726,0.329219,0.495632,0.130564,0.693246,0.378796,0.428373,0.396963,0.506865,0.504784,0.708016,0.39412,0.77042,0.430661,0.456525,0.403273,0.758771,0.429968,0.456594,0.390861,0.430037,0.428235,0.697961,0.399112,0.709541,0.428928,0.429899,0.412079,0.468382,0.42976,0.747192,0.398974,0.467411,0.466787,0.513521,0.694009,0.173277,0.335044,0.724033,0.318749,0.321384,0.365345,0.431494,0.675704,0.672653,0.743031,0.743933,0.685411,0.354042,0.740605,0.502843,0.725142,0.338303,0.428651,0.74733,0.337679,0.750104,0.516295,0.432187,0.588268,0.807932,0.591596,0.812578,0.588684,0.804535,0.564277,0.5052,0.65719,0.674178,0.33546,0.338233,0.756414,0.339412,0.735266,0.743031,0.684787,0.673762,0.724865,0.745042,0.687283,0.677784,0.749133,0.338441,0.335737,0.421994,0.74844,0.336014,0.361462,0.738178,0.741021,0.741298,0.501248,0.80918,0.808487,0.809804,0.811191,0.634378,0.809804,0.608861,0.175218,0.178547,0.337124,0.255443,0.176605,0.683054,0.762585,0.401331,0.687907,0.673554,0.743448,0.744418,0.682707,0.690612,0.337124,0.429829,0.748371,0.510747,0.744072,0.747122,0.335668,0.741783,0.430592,0.736722,0.555956,0.503883,0.565664,0.641797,0.810706,0.817848,0.567536,0.810151,0.675149,0.679725,0.736167,0.744002,0.760574,0.751491,0.765081,0.745042,0.679448,0.67612,0.742269,0.734225,0.173624,0.690473,0.745528,0.745597,0.4507,0.748093,0.736444,0.501941,0.515116,0.425184,0.334905,0.739842,0.803148,0.812578,0.810012,0.503952,0.502149,0.809596,0.640965,0.58702
0.0552628,0.0572043,0.182707,0.181598,0.287408,0.28304,0.29351,0.288518,0.445292,0.449383,0.191028,0.182707,0.253432,0.253848,0.253363,0.251837,0.0547081,0.0550548,0.134725,0.194633,0.293579,0.289974,0.294134,0.292747,0.451047,0.447649,0.188601,0.200319,0.251075,0.251768,0.253016,0.256483,0.377895,0.377964,0.386354,0.389058,0.408751,0.407918,0.414228,0.412564,0.367355,0.382333,0.354181,0.352101,0.428027,0.329081,0.405284,0.253918,0.435793,0.637914,0.451532,0.667522,0.481209,0.685619,0.475385,0.513868,0.389128,0.642213,0.407572,0.413743,0.53876,0.462765,0.462211,0.250797,0.302247,0.459298,0.360907,0.702884,0.372972,0.254126,0.363472,0.332409,0.210512,0.440022,0.489253,0.331993,0.339759,0.442588,0.484676,0.477465,0.338927,0.701567,0.36063,0.712592,0.374428,0.70233,0.416308,0.329635,0.280821,0.413188,0.495077,0.337817,0.459922,0.750173,0.489807,0.755304,0.396963,0.431078,0.428027,0.694911,0.454237,0.4256,0.429344,0.433366,0.39412,0.445708,0.429136,0.467411,0.364513,0.771252,0.435377,0.443073,0.455069,0.349189,0.427957,0.702815,0.456802,0.429621,0.501456,0.432534,0.421023,0.765844,0.362987,0.406324,0.500485,0.467272,0.430731,0.635071,0.664956,0.660865,0.334558,0.245458,0.276106,0.319096,0.714949,0.425669,0.682707,0.659548,0.746706,0.429552,0.691374,0.677992,0.50527,0.740951,0.736999,0.742546,0.429968,0.740119,0.742338,0.748093,0.732631,0.743586,0.811677,0.589724,0.808764,0.635487,0.569339,0.814381,0.807378,0.807586,0.251144,0.369436,0.33539,0.728748,0.338927,0.342116,0.799265,0.745666,0.682984,0.67716,0.73901,0.744765,0.68444,0.678685,0.744765,0.490709,0.345167,0.747608,0.365345,0.747192,0.497851,0.336916,0.337956,0.427541,0.501803,0.808626,0.809804,0.809943,0.641243,0.63417,0.501941,0.567258,0.650881,0.672792,0.735404,0.732839,0.178893,0.700527,0.449175,0.725281,0.67612,0.687283,0.734642,0.743239,0.682222,0.678824,0.732007,0.749133,0.743586,0.438011,0.743101,0.748093,0.452642,0.337609,0.517612,0.750243,0.810498,0.635695,0.500416,0.609069,0.588961,0.589932,0.803425,0.810706,0.672306,0.410276,0.726737,0.73589,0.342532,0.668423,0.74005,0.481833,0.680211,0.681528,0.74525,0.737623,0.682499,0.683816,0.741298,0.748024,0.734919,0.744557,0.74636,0.500069,0.747955,0.733116,0.740605,0.741159,0.810151,0.640896,0.641381,0.567258,0.502774,0.684995,0.809319,0.605395
0.053668,0.0554708,0.181944,0.181182,0.2924,0.288448,0.29351,0.287824,0.450076,0.446263,0.186313,0.190473,0.25052,0.261753,0.316253,0.316045,0.0502011,0.053668,0.189433,0.586396,0.291707,0.286368,0.291707,0.296214,0.449314,0.447788,0.201498,0.212037,0.252115,0.252254,0.25468,0.256414,0.37734,0.379559,0.389821,0.390376,0.411593,0.410345,0.407225,0.413188,0.376023,0.3815,0.356955,0.390098,0.266676,0.408126,0.405561,0.408543,0.434683,0.642768,0.452156,0.675496,0.474414,0.702191,0.474899,0.680072,0.471571,0.518791,0.410553,0.666967,0.549161,0.26099,0.259742,0.466718,0.329635,0.706906,0.285536,0.459992,0.377826,0.682291,0.409097,0.703994,0.452711,0.484191,0.26418,0.41714,0.453613,0.756206,0.337748,0.441825,0.290736,0.390376,0.340868,0.702468,0.370545,0.692692,0.414575,0.695049,0.21488,0.3365,0.26099,0.415199,0.335668,0.509707,0.336777,0.370198,0.398142,0.427125,0.427472,0.430523,0.401886,0.426085,0.502774,0.379628,0.396478,0.455415,0.430661,0.466926,0.364721,0.447025,0.433782,0.755166,0.391485,0.429829,0.429275,0.676258,0.400291,0.702676,0.435307,0.493135,0.49369,0.596866,0.449522,0.749827,0.42241,0.598877,0.46228,0.403065,0.18243,0.654001,0.419775,0.248232,0.651713,0.66773,0.366454,0.370268,0.70129,0.680696,0.480793,0.745042,0.685342,0.687283,0.737831,0.74317,0.515532,0.335529,0.744141,0.749341,0.747122,0.743794,0.428651,0.52101,0.502912,0.611982,0.504507,0.668007,0.503883,0.591111,0.805644,0.809874,0.671543,0.656774,0.735474,0.323395,0.774234,0.761545,0.401123,0.478921,0.673901,0.684302,0.739079,0.749272,0.687907,0.678339,0.748301,0.739565,0.335876,0.423658,0.514214,0.335806,0.342324,0.566149,0.341284,0.425114,0.809735,0.812855,0.804881,0.809943,0.807378,0.568853,0.63937,0.635418,0.183747,0.637221,0.338303,0.720566,0.687214,0.690126,0.339135,0.719803,0.690889,0.678061,0.744418,0.740189,0.688947,0.684926,0.739565,0.743864,0.366523,0.745389,0.334836,0.744626,0.428165,0.430384,0.431771,0.518444,0.807863,0.81022,0.803633,0.803425,0.816253,0.809735,0.567189,0.567328,0.643253,0.664471,0.703301,0.725558,0.168146,0.412148,0.47594,0.745597,0.669463,0.682915,0.747608,0.421231,0.682014,0.681598,0.73901,0.748717,0.358549,0.335044,0.740535,0.742754,0.740535,0.745042,0.430592,0.502843,0.502011,0.648246,0.586881,0.811122,0.588337,0.643253,0.587505,0.567674
0.0550548,0.0560255,0.182568,0.178616,0.295313,0.289142,0.293649,0.293163,0.44446,0.44238,0.188185,0.184302,0.252184,0.256414,0.251837,0.255443,0.0539454,0.0560949,0.192622,0.613368,0.29032,0.287547,0.289627,0.288518,0.448967,0.452642,0.199764,0.201012,0.317154,0.318957,0.25156,0.321661,0.378034,0.379767,0.390029,0.391347,0.409721,0.411177,0.482249,0.413466,0.339343,0.163084,0.355083,0.39516,0.404174,0.427888,0.467758,0.270212,0.25683,0.645888,0.452087,0.666135,0.47691,0.68139,0.476633,0.719456,0.129732,0.39731,0.410415,0.410969,0.261268,0.539592,0.255304,0.466163,0.281584,0.334004,0.260019,0.698169,0.370684,0.700735,0.362363,0.695673,0.446471,0.448481,0.487727,0.760921,0.455762,0.36895,0.479198,0.443766,0.340521,0.695049,0.363889,0.256136,0.374497,0.703717,0.407017,0.393011,0.452434,0.379074,0.267716,0.414228,0.280474,0.378796,0.294065,0.53987,0.398904,0.430315,0.430523,0.428859,0.295937,0.434544,0.434614,0.36271,0.402233,0.441825,0.432534,0.456455,0.399945,0.454375,0.410831,0.465885,0.457912,0.504854,0.49792,0.719734,0.457149,0.563375,0.429621,0.73589,0.420538,0.557759,0.458882,0.757385,0.417834,0.405422,0.546249,0.542782,0.176813,0.667522,0.340313,0.732908,0.184579,0.62058,0.651227,0.41506,0.680211,0.665858,0.475593,0.474137,0.685273,0.681944,0.738039,0.74733,0.733047,0.752462,0.428304,0.334628,0.427472,0.754056,0.733116,0.74005,0.804535,0.588268,0.501733,0.589793,0.586812,0.669394,0.504091,0.58806,0.671613,0.65823,0.733601,0.74428,0.678061,0.412148,0.805436,0.790459,0.678339,0.68451,0.74317,0.746637,0.683262,0.685273,0.749965,0.743517,0.743933,0.428789,0.736999,0.338164,0.520386,0.749203,0.337748,0.500624,0.808418,0.810637,0.565178,0.634517,0.633893,0.567258,0.501803,0.504646,0.361739,0.634378,0.722091,0.337471,0.183747,0.678893,0.742754,0.370822,0.678893,0.293857,0.728886,0.482665,0.682499,0.676883,0.74421,0.432672,0.727985,0.742615,0.426571,0.744904,0.518097,0.500763,0.429344,0.744765,0.808556,0.635071,0.805089,0.589724,0.800097,0.587783,0.506379,0.689433,0.371169,0.669879,0.739773,0.725697,0.335252,0.337679,0.534115,0.742754,0.68236,0.680349,0.745042,0.740397,0.691166,0.687699,0.743239,0.742615,0.497781,0.430523,0.336014,0.745042,0.337679,0.4308,0.431771,0.505686,0.805297,0.807932,0.809874,0.80925,0.502288,0.5692,0.803079,0.809943
0.0553321,0.054084,0.139232,0.181182,0.290182,0.29039,0.293649,0.294273,0.449938,0.44862,0.188254,0.185758,0.255928,0.252323,0.25156,0.318749,0.0563722,0.0542921,0.19082,0.649494,0.291083,0.207946,0.290182,0.290667,0.452226,0.447303,0.195049,0.652545,0.253224,0.251352,0.258147,0.256552,0.380599,0.37741,0.38885,0.389058,0.413396,0.409721,0.411801,0.414644,0.382818,0.385314,0.396131,0.358133,0.428581,0.403342,0.259049,0.257177,0.422272,0.653931,0.452226,0.648107,0.47483,0.682638,0.479337,0.696159,0.396339,0.470392,0.407849,0.412079,0.464152,0.428304,0.355707,0.465677,0.29774,0.673554,0.360422,0.454722,0.373457,0.39412,0.416378,0.25572,0.449591,0.519969,0.283595,0.758494,0.132506,0.379004,0.258078,0.751976,0.331785,0.329011,0.254472,0.693385,0.367147,0.322979,0.409721,0.490431,0.218208,0.334836,0.272292,0.538483,0.350922,0.377756,0.334212,0.38053,0.396408,0.430592,0.428373,0.724518,0.395992,0.428651,0.432534,0.430523,0.396478,0.470739,0.32811,0.467758,0.365969,0.467411,0.433019,0.467827,0.456594,0.325267,0.494869,0.498752,0.460893,0.70226,0.435377,0.724102,0.423104,0.75787,0.537443,0.763625,0.425253,0.443281,0.435307,0.470739,0.176397,0.672168,0.47483,0.726876,0.655942,0.31861,0.434475,0.337124,0.685897,0.682222,0.743933,0.339343,0.691097,0.681528,0.743933,0.745458,0.745736,0.424698,0.513174,0.742269,0.33858,0.747538,0.728262,0.746082,0.564693,0.503259,0.586742,0.667869,0.803633,0.801831,0.80925,0.57232,0.652683,0.675496,0.742893,0.728817,0.181182,0.725558,0.738663,0.422688,0.675773,0.683886,0.748925,0.741367,0.687699,0.689571,0.746637,0.744765,0.743586,0.505616,0.428373,0.744002,0.338857,0.340729,0.432256,0.743517,0.501733,0.811885,0.808834,0.587713,0.8071,0.588407,0.589239,0.504022,0.655249,0.679933,0.335598,0.731383,0.685689,0.660449,0.34177,0.401886,0.683955,0.672029,0.746776,0.422965,0.697753,0.687283,0.73901,0.738941,0.360699,0.545902,0.733393,0.337332,0.337263,0.746984,0.429136,0.750243,0.809388,0.586049,0.807586,0.565733,0.508043,0.670989,0.808071,0.809111,0.672306,0.644709,0.420954,0.739287,0.338372,0.721467,0.729025,0.426779,0.672306,0.685619,0.424144,0.74636,0.673069,0.683539,0.743517,0.740397,0.337817,0.748579,0.43087,0.740258,0.351893,0.340383,0.426987,0.542227,0.501941,0.811469,0.502149,0.812093,0.573221,0.810012,0.565386,0.590071
0.0519345,0.0563029,0.182846,0.180003,0.292817,0.293163,0.29247,0.288518,0.445084,0.452364,0.18763,0.18236,0.256136,0.254472,0.255096,0.281376,0.0559562,0.0556788,0.315421,0.635487,0.290598,0.291984,0.294065,0.293441,0.445639,0.450978,0.198516,0.694356,0.253432,0.255374,0.255582,0.2872,0.375537,0.37942,0.387672,0.389197,0.485786,0.264041,0.396131,0.411247,0.379351,0.377548,0.356123,0.390723,0.359035,0.456039,0.409305,0.46436,0.436486,0.643115,0.454999,0.651019,0.477812,0.471086,0.474761,0.702607,0.393011,0.434544,0.494661,0.459298,0.264249,0.254958,0.46644,0.467896,0.290459,0.393565,0.261961,0.697823,0.374636,0.701567,0.259534,0.336361,0.45805,0.413882,0.261476,0.331577,0.27985,0.380807,0.257593,0.49473,0.340313,0.326931,0.255166,0.326654,0.374012,0.704202,0.252184,0.708085,0.452919,0.74525,0.499723,0.384551,0.451671,0.441686,0.497365,0.738802,0.390931,0.429136,0.42768,0.43503,0.246706,0.430939,0.422341,0.429413,0.391277,0.52205,0.429483,0.45493,0.364097,0.748856,0.437041,0.46748,0.462765,0.493413,0.493552,0.435793,0.467064,0.433227,0.433712,0.703578,0.407225,0.442726,0.254542,0.469144,0.338719,0.520663,0.548884,0.44654,0.675357,0.177715,0.472819,0.72639,0.321384,0.274442,0.41506,0.472403,0.689571,0.660935,0.734295,0.74317,0.684787,0.692068,0.746152,0.428443,0.357232,0.520871,0.497434,0.337401,0.428304,0.525725,0.334974,0.53883,0.63937,0.808487,0.63417,0.611358,0.809388,0.808002,0.64048,0.805228,0.316461,0.682291,0.339689,0.336361,0.671682,0.760574,0.404313,0.747816,0.68243,0.675496,0.742615,0.745181,0.688185,0.688601,0.481833,0.747816,0.337263,0.341284,0.748093,0.337471,0.336638,0.739911,0.49681,0.516087,0.808487,0.809042,0.502219,0.811399,0.639717,0.565456,0.505339,0.501109,0.357509,0.701082,0.726598,0.338649,0.387394,0.668007,0.336361,0.73589,0.682499,0.679101,0.748371,0.475732,0.689363,0.353904,0.584316,0.484676,0.722785,0.745874,0.745874,0.744349,0.750867,0.749688,0.728956,0.515809,0.804812,0.810567,0.810359,0.809874,0.589516,0.810845,0.587436,0.811538,0.312717,0.677299,0.477673,0.727361,0.678824,0.334905,0.421717,0.742962,0.69602,0.676258,0.742199,0.742477,0.433227,0.685064,0.737762,0.432187,0.337193,0.342255,0.335113,0.749757,0.740189,0.749619,0.740466,0.748301,0.641312,0.813479,0.809943,0.809111,0.570517,0.810637,0.50104,0.589308
0.0558868,0.0525586,0.181875,0.180557,0.29663,0.293163,0.29455,0.287893,0.448481,0.447996,0.185619,0.185827,0.251491,0.251144,0.253016,0.251768,0.0551935,0.0528359,0.192276,0.665303,0.292192,0.294827,0.290736,0.289904,0.452642,0.449383,0.201359,0.139232,0.253502,0.251283,0.254542,0.253086,0.376023,0.380322,0.385938,0.388573,0.412009,0.408681,0.413882,0.417348,0.380391,0.376231,0.358272,0.391139,0.322771,0.427264,0.253016,0.52829,0.436555,0.647552,0.456663,0.635765,0.475107,0.477396,0.481833,0.70968,0.400361,0.489322,0.413951,0.413674,0.322285,0.253086,0.541464,0.463597,0.500069,0.458744,0.259603,0.409305,0.372833,0.723478,0.415476,0.699834,0.451324,0.492927,0.492026,0.735058,0.455554,0.334212,0.259049,0.445431,0.295035,0.458258,0.365414,0.330398,0.373804,0.33123,0.41721,0.259187,0.452642,0.451879,0.257523,0.33227,0.462765,0.3365,0.37838,0.750867,0.391624,0.428373,0.425808,0.431147,0.393773,0.432118,0.432742,0.433227,0.394328,0.454722,0.429205,0.467272,0.367286,0.468243,0.434544,0.471363,0.139301,0.43295,0.42352,0.435307,0.459784,0.701636,0.288726,0.432187,0.419845,0.468451,0.54403,0.470392,0.401539,0.761753,0.430245,0.478366,0.665858,0.627028,0.336916,0.726737,0.320275,0.669879,0.739773,0.727569,0.688115,0.682707,0.734364,0.745944,0.686659,0.685342,0.733948,0.428651,0.336708,0.526279,0.742823,0.742615,0.742407,0.748787,0.525933,0.434128,0.501179,0.636805,0.80717,0.814797,0.58695,0.808418,0.806199,0.811469,0.66565,0.658924,0.741645,0.475732,0.685342,0.67605,0.73589,0.791568,0.666967,0.684302,0.481417,0.742893,0.685827,0.687491,0.747053,0.480516,0.33435,0.515462,0.513521,0.520247,0.519068,0.744973,0.741853,0.545625,0.808626,0.56712,0.588823,0.609277,0.63944,0.502566,0.571349,0.568229,0.594439,0.677021,0.42664,0.73478,0.173901,0.670573,0.336708,0.33962,0.680765,0.680349,0.746013,0.739634,0.684787,0.683886,0.736167,0.742754,0.744488,0.744834,0.718139,0.746845,0.745805,0.756136,0.414852,0.743586,0.80606,0.566773,0.810082,0.663639,0.555679,0.807724,0.567882,0.609277,0.686867,0.658092,0.742754,0.722715,0.337193,0.417765,0.433088,0.737554,0.685064,0.680696,0.74525,0.745666,0.678824,0.686867,0.47067,0.746429,0.367702,0.744765,0.74636,0.515601,0.430453,0.748787,0.771807,0.745181,0.503952,0.812439,0.806199,0.809388,0.588407,0.807586,0.806684,0.817362
