0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
nan,0.775135,0.601304,0.776383,0.667175,0.657814,0.538136,0.639578,0.663847,0.657745,0.650881,0.645542,0.546457,0.512689,0.521911,0.534739,0.656705,0.652198,0.673901,0.655665,0.500069,0.575926,0.508945,0.50839,0.535501,0.542227,0.516503,0.537027,0.386216,0.436486,0.392387,0.405076,0.644501,0.65199,0.631743,0.656081,0.526071,0.551657,0.548745,0.52302,0.552073,0.537512,0.551241,0.548606,0.428928,0.413743,0.415407,0.425253,0.561018,0.55866,0.506102,0.56608,0.430384,0.406878,0.420607,0.415338,0.405492,0.439329,0.418735,0.405353,0.296145,0.29663,0.298572,0.29136,0.778394,0.773887,0.775413,0.770143,0.643739,0.636666,0.651089,0.63833,0.654348,0.652059,0.654417,0.64776,0.517612,0.548468,0.525794,0.514076,0.656566,0.658855,0.661004,0.651366,0.563375,0.499029,0.501525,0.534669,0.544099,0.524615,0.543406,0.533074,0.422896,0.397102,0.413882,0.384135,0.674456,0.696089,0.631258,0.667661,0.537928,0.532034,0.531272,0.522188,0.579185,0.511857,0.552489,0.525586,0.434891,0.418181,0.402649,0.418111,0.542366,0.533144,0.542227,0.537789,0.408681,0.216267,0.415338,0.406878,0.42033,0.22535,0.419775,0.244626,0.295521,0.0456941,0.294827,0.0368881,0.776106,0.54195,0.777909,0.632229,0.657121,0.652129,0.65095,0.625849,0.655665,0.649841,0.65615,0.638608,0.538552,0.522743,0.563583,0.521911,0.655526,0.658161,0.65095,0.651851,0.539662,0.528221,0.543614,0.541603,0.553044,0.528082,0.520178,0.561365,0.404937,0.416863,0.415684,0.420954,0.6782,0.680141,0.648939,0.666967,0.55034,0.532242,0.523367,0.556719,0.544654,0.528983,0.553044,0.499723,0.420122,0.407988,0.413951,0.395854,0.53148,0.511649,0.567744,0.539662,0.398627,0.421162,0.422549,0.41298,0.430107,0.433504,0.428235,0.403619,0.302177,0.295451,0.290251,0.284704,0.772916,0.768617,0.775413,0.775274,0.721329,0.606504,0.64887,0.648454,0.643739,0.649702,0.658577,0.658716,0.571211,0.525863,0.507905,0.536888,0.662391,0.655457,0.646512,0.648038,0.535085,0.527735,0.503051,0.564346,0.519969,0.510193,0.515532,0.541395,0.420954,0.435585,0.46755,0.413743,0.667869,0.649494,0.638885,0.667036,0.551033,0.513313,0.558799,0.553599,0.549438,0.51255,0.53564,0.557412,0.411455,0.405492,0.239495,0.4161,0.691652,0.54188,0.550964,0.528082,0.421855,0.418527,0.408057,0.410623,0.382957,0.413258,0.186174,0.467966,0.295105,0.296214,0.29032,0.286229
0.775135,0.775482,0.779573,0.77881,0.622521,0.670087,0.682984,0.659964,0.664956,0.661767,0.649286,0.642837,0.533421,0.531133,0.49896,0.541048,0.669047,0.662391,0.41402,0.65303,0.532936,0.532242,0.554708,0.47587,0.546873,0.544169,0.545278,0.529746,0.404729,0.408196,0.432048,0.390931,0.657329,0.671127,0.654556,0.656844,0.517681,0.530994,0.525655,0.529954,0.525586,0.498267,0.534739,0.504022,0.414714,0.407294,0.41305,0.429205,0.561018,0.551033,0.578907,0.525031,0.421439,0.410207,0.419013,0.421925,0.498613,0.394259,0.425184,0.381986,0.301276,0.292886,0.295937,0.293718,0.771391,0.783386,0.769935,0.773055,0.63944,0.619332,0.66669,0.625087,0.647206,0.640688,0.669255,0.64783,0.53876,0.531896,0.574608,0.534184,0.646651,0.653307,0.654972,0.657121,0.519623,0.560671,0.560394,0.525933,0.539107,0.523852,0.526141,0.559007,0.407641,0.419983,0.42872,0.395854,0.64776,0.669186,0.633754,0.626751,0.538622,0.516988,0.552628,0.534045,0.562821,0.538899,0.541118,0.555332,0.414852,0.410415,0.416308,0.408265,0.577104,0.474899,0.527458,0.533768,0.412287,0.410345,0.419914,0.409999,0.42456,0.393635,0.430939,0.377618,0.298849,0.2924,0.295798,0.289488,0.776591,0.776938,0.77465,0.772154,0.641797,0.681459,0.653723,0.663084,0.651574,0.659825,0.674456,0.390514,0.551727,0.281029,0.517404,0.396131,0.651435,0.479337,0.646235,0.66038,0.527597,0.569061,0.535987,0.517889,0.524199,0.533837,0.501525,0.527042,0.440161,0.269519,0.391971,0.374428,0.667799,0.634517,0.704687,0.654833,0.538344,0.531618,0.530578,0.524199,0.551865,0.548606,0.536195,0.539662,0.421023,0.42248,0.426501,0.422064,0.542574,0.529538,0.552767,0.545833,0.394328,0.406948,0.410692,0.411871,0.423866,0.412772,0.42033,0.403966,0.297254,0.294134,0.296353,0.292331,0.770975,0.765566,0.768964,0.774789,0.654694,0.656844,0.633962,0.651019,0.648384,0.653377,0.657468,0.658647,0.543961,0.560394,0.522535,0.528914,0.652753,0.652683,0.671682,0.646998,0.507142,0.546249,0.498267,0.505894,0.543267,0.535917,0.530162,0.547497,0.395992,0.392387,0.412703,0.382887,0.63209,0.649841,0.633269,0.64776,0.521426,0.502774,0.526279,0.5398,0.538275,0.533074,0.514145,0.529677,0.415338,0.41513,0.411385,0.416516,0.521426,0.53356,0.558799,0.513313,0.415199,0.407988,0.4161,0.396963,0.4308,0.431147,0.429413,0.415823,0.290667,0.293025,0.290736,0.28831
0.781792,0.776037,0.779573,0.775274,0.653169,0.645472,0.630634,0.642421,0.665234,0.657676,0.659756,0.650465,0.523436,0.580641,0.531549,0.557343,0.657468,0.650118,0.663431,0.658369,0.516433,0.530578,0.541603,0.555609,0.542713,0.500277,0.562959,0.552559,0.402579,0.408334,0.408473,0.445985,0.678547,0.662807,0.678963,0.61212,0.520802,0.571488,0.552143,0.551727,0.530301,0.511025,0.562959,0.560116,0.409652,0.409721,0.40466,0.420885,0.269033,0.565317,0.471918,0.541534,0.268063,0.4256,0.432256,0.415615,0.400985,0.419914,0.416378,0.415684,0.302247,0.298156,0.294342,0.293302,0.583692,0.780544,0.694217,0.770698,0.700874,0.65407,0.663708,0.680696,0.661073,0.64568,0.657953,0.657814,0.584108,0.517127,0.526834,0.581334,0.649008,0.654278,0.659617,0.65303,0.527666,0.52094,0.524615,0.546595,0.520524,0.54299,0.552281,0.539523,0.438843,0.448481,0.395021,0.401539,0.681806,0.633269,0.629178,0.665858,0.520108,0.560116,0.547844,0.521634,0.566912,0.575718,0.532104,0.50839,0.421509,0.417903,0.421994,0.408057,0.542782,0.534253,0.532242,0.555471,0.407918,0.430315,0.411524,0.41409,0.442726,0.426779,0.413327,0.409929,0.294203,0.292609,0.295521,0.287685,0.777146,0.77569,0.774026,0.772223,0.698585,0.652891,0.670642,0.668077,0.657606,0.657676,0.642491,0.650534,0.512412,0.550132,0.511996,0.52406,0.65726,0.658438,0.651366,0.642144,0.505339,0.561642,0.523436,0.515462,0.553113,0.504992,0.516087,0.510609,0.435931,0.384482,0.432256,0.378658,0.64048,0.640965,0.647622,0.642837,0.540979,0.293094,0.506726,0.542505,0.534392,0.54091,0.537789,0.498891,0.413188,0.419983,0.40563,0.403897,0.53245,0.426501,0.551935,0.404036,0.42248,0.418111,0.414506,0.413951,0.398627,0.229649,0.402371,0.207322,0.296006,0.292331,0.295729,0.296491,0.778463,0.640549,0.769796,0.765081,0.672722,0.637845,0.681043,0.640618,0.644085,0.661697,0.65719,0.64575,0.56504,0.561642,0.532312,0.495008,0.654764,0.65726,0.656289,0.642421,0.551449,0.561365,0.519831,0.525239,0.524823,0.52621,0.537304,0.510123,0.405214,0.390445,0.409791,0.392456,0.647968,0.673138,0.648246,0.646374,0.525239,0.512689,0.544099,0.532381,0.566149,0.540979,0.579115,0.504576,0.414783,0.414714,0.411108,0.411247,0.515601,0.535987,0.516017,0.539592,0.401678,0.413396,0.402233,0.408959,0.373319,0.415407,0.425184,0.41513,0.298017,0.29032,0.293302,0.293649
0.775413,0.777909,0.772986,0.775274,0.599917,0.645542,0.635279,0.675634,0.661073,0.655873,0.653099,0.658785,0.535848,0.535987,0.553044,0.515532,0.655041,0.662113,0.665303,0.644432,0.50416,0.523644,0.539107,0.546526,0.526903,0.539384,0.545209,0.546803,0.437734,0.417071,0.408959,0.412703,0.618014,0.656566,0.65414,0.684163,0.531826,0.522951,0.548468,0.504368,0.535987,0.540563,0.481625,0.518513,0.426432,0.432395,0.431494,0.419706,0.573013,0.514977,0.543198,0.519207,0.401123,0.41825,0.418805,0.411247,0.382333,0.419151,0.440646,0.456594,0.299196,0.294342,0.294827,0.297809,0.778394,0.773956,0.769033,0.772223,0.656636,0.646859,0.491749,0.635487,0.670573,0.645403,0.651089,0.647344,0.556303,0.514006,0.411455,0.543267,0.665026,0.646998,0.620857,0.663362,0.527181,0.506865,0.522188,0.522535,0.519415,0.528845,0.532242,0.545833,0.41506,0.371793,0.395576,0.38996,0.681182,0.627306,0.651643,0.674178,0.521356,0.554015,0.549646,0.526141,0.544862,0.583068,0.527181,0.490015,0.407433,0.414783,0.415823,0.412841,0.547913,0.546665,0.51678,0.52829,0.405838,0.426571,0.416308,0.410345,0.41298,0.452642,0.450908,0.406601,0.29767,0.299057,0.294689,0.286021,0.776383,0.778117,0.776799,0.772362,0.671543,0.624463,0.660588,0.667453,0.649702,0.644501,0.637152,0.636666,0.514561,0.555401,0.539176,0.526695,0.655596,0.654278,0.64672,0.647206,0.526487,0.550825,0.52198,0.526695,0.536888,0.540008,0.527527,0.536957,0.453751,0.413674,0.408959,0.411039,0.639648,0.649424,0.677784,0.643808,0.55658,0.530925,0.539176,0.53564,0.51574,0.525378,0.521495,0.550201,0.409444,0.409583,0.406393,0.420191,0.543822,0.540424,0.534669,0.550894,0.412009,0.424074,0.412148,0.427403,0.43295,0.417348,0.447095,0.454306,0.294203,0.292817,0.294758,0.293787,0.774095,0.777701,0.772778,0.524476,0.654001,0.414644,0.648384,0.641728,0.659201,0.673554,0.65095,0.426224,0.491749,0.399459,0.515809,0.49792,0.638053,0.476564,0.65199,0.64464,0.54923,0.528845,0.547497,0.490223,0.529885,0.434059,0.521148,0.488836,0.420677,0.38261,0.405076,0.421647,0.672237,0.620996,0.658022,0.655804,0.541742,0.526765,0.53883,0.537304,0.522396,0.530301,0.545833,0.506448,0.406948,0.413535,0.433088,0.412356,0.541464,0.516849,0.507073,0.524407,0.422133,0.407086,0.410553,0.41402,0.424074,0.398696,0.436209,0.418527,0.293163,0.291984,0.297046,0.290112
0.776869,0.664124,0.782624,0.77354,0.64672,0.664332,0.615726,0.682707,0.662599,0.65414,0.678616,0.656497,0.544238,0.56289,0.507003,0.544377,0.66246,0.67397,0.674456,0.651713,0.540494,0.546249,0.528013,0.559423,0.532589,0.522188,0.552975,0.540078,0.436902,0.438219,0.411524,0.422688,0.632714,0.676952,0.690542,0.653585,0.552281,0.556372,0.54611,0.503606,0.556372,0.517612,0.550894,0.541811,0.421093,0.408543,0.431147,0.411801,0.551241,0.590903,0.545694,0.552697,0.409999,0.42241,0.407849,0.406254,0.438705,0.424906,0.401331,0.393843,0.297116,0.301484,0.297185,0.293302,0.780058,0.772084,0.771322,0.771114,0.666551,0.649633,0.659964,0.650187,0.652337,0.636805,0.646512,0.657537,0.512828,0.512828,0.539315,0.522396,0.659548,0.65303,0.644571,0.642213,0.49681,0.544307,0.563098,0.537928,0.534045,0.574955,0.364929,0.5294,0.429067,0.409583,0.420053,0.404244,0.610664,0.61947,0.672722,0.654209,0.549161,0.555401,0.430037,0.525378,0.539731,0.551241,0.42137,0.494592,0.42872,0.431979,0.421994,0.415407,0.512273,0.509083,0.50312,0.551102,0.399182,0.409513,0.281445,0.421023,0.401539,0.436347,0.382055,0.398904,0.297948,0.293857,0.291984,0.291776,0.731313,0.773124,0.703092,0.769172,0.642491,0.672653,0.626196,0.668978,0.643115,0.655804,0.667106,0.653446,0.543753,0.574816,0.528637,0.523714,0.664956,0.643115,0.669047,0.649424,0.513868,0.524199,0.533421,0.558452,0.54195,0.529746,0.539662,0.529677,0.398696,0.447996,0.442934,0.383997,0.645819,0.664402,0.649008,0.634725,0.542296,0.548329,0.52198,0.526903,0.520663,0.544515,0.533282,0.552004,0.425114,0.39932,0.4161,0.41402,0.560325,0.55027,0.545001,0.541672,0.424906,0.41409,0.41513,0.391139,0.38885,0.409929,0.428651,0.447996,0.299126,0.295174,0.296283,0.290459,0.775967,0.773194,0.772986,0.77049,0.663986,0.611843,0.637568,0.646998,0.673624,0.656012,0.644501,0.662252,0.497642,0.534461,0.540494,0.559146,0.661004,0.663986,0.661489,0.647206,0.531618,0.527735,0.564554,0.524268,0.559354,0.523991,0.531549,0.526834,0.428373,0.394536,0.436833,0.380599,0.642837,0.677507,0.627583,0.651227,0.518791,0.38053,0.51782,0.574816,0.538691,0.573083,0.542019,0.558244,0.412079,0.421093,0.400846,0.405353,0.52406,0.42553,0.530162,0.517681,0.417765,0.409999,0.411247,0.321245,0.400707,0.404382,0.42456,0.430731,0.297462,0.232215,0.289419,0.291152
0.774511,0.780058,0.780266,0.522951,0.660935,0.638885,0.644571,0.632298,0.660796,0.485162,0.646651,0.650465,0.534323,0.420677,0.553807,0.502912,0.65823,0.663154,0.659825,0.626265,0.530578,0.556927,0.544585,0.488074,0.521564,0.520455,0.521148,0.526071,0.4602,0.439537,0.382541,0.422272,0.709957,0.680557,0.709402,0.687491,0.532312,0.553044,0.53876,0.529885,0.527319,0.539454,0.552073,0.528637,0.418735,0.428859,0.416794,0.42033,0.529538,0.56497,0.548745,0.536819,0.411663,0.418111,0.415476,0.405422,0.449175,0.39939,0.414506,0.407918,0.297185,0.295937,0.296908,0.294342,0.775967,0.772778,0.770767,0.769519,0.596519,0.618014,0.652614,0.614963,0.6635,0.654001,0.6488,0.646374,0.56705,0.518375,0.513244,0.521287,0.667522,0.652198,0.652683,0.652059,0.551796,0.545971,0.538968,0.541326,0.565178,0.538968,0.539176,0.534045,0.416724,0.435168,0.403758,0.405214,0.661767,0.677507,0.665234,0.666204,0.55866,0.506518,0.546734,0.544862,0.546387,0.553529,0.5346,0.543961,0.409097,0.411663,0.428651,0.411177,0.534947,0.55554,0.541048,0.522951,0.410692,0.411385,0.419845,0.416932,0.396824,0.474345,0.440438,0.448898,0.291984,0.296561,0.296908,0.294481,0.775967,0.775343,0.775413,0.769727,0.43184,0.644571,0.456039,0.662183,0.47275,0.646374,0.481001,0.647275,0.402995,0.527527,0.42976,0.54722,0.657329,0.659687,0.657398,0.654625,0.567882,0.549369,0.538622,0.522674,0.531965,0.516295,0.548329,0.566842,0.390306,0.425808,0.391,0.429829,0.682707,0.672792,0.651713,0.635002,0.527666,0.55762,0.544793,0.545625,0.517681,0.57232,0.53987,0.527735,0.419914,0.408126,0.407572,0.403411,0.58286,0.52517,0.538968,0.511372,0.412009,0.409929,0.41721,0.409444,0.403897,0.395854,0.404937,0.368187,0.297046,0.292609,0.295382,0.293579,0.777215,0.773748,0.773818,0.769657,0.652059,0.669879,0.63098,0.628138,0.666898,0.664402,0.65726,0.649286,0.538206,0.528429,0.529538,0.533213,0.64672,0.668423,0.655942,0.64776,0.5398,0.547081,0.548953,0.519969,0.502635,0.538414,0.532381,0.511025,0.415684,0.398003,0.414714,0.365206,0.642421,0.679656,0.653169,0.692969,0.512481,0.524338,0.538136,0.500347,0.518097,0.550201,0.5597,0.500624,0.427957,0.406254,0.414783,0.410553,0.517265,0.52198,0.544862,0.530093,0.415476,0.409028,0.413604,0.420399,0.425877,0.390584,0.445292,0.39828,0.298849,0.288934,0.287477,0.288726
0.777562,0.781653,0.782762,0.776383,0.636181,0.665372,0.678547,0.64464,0.650326,0.66038,0.654486,0.65934,0.530301,0.51463,0.542643,0.522812,0.673554,0.652822,0.664263,0.665788,0.534323,0.556511,0.511094,0.564623,0.545278,0.545417,0.542227,0.521356,0.417695,0.184787,0.377063,0.393357,0.673693,0.418666,0.633962,0.451394,0.537859,0.545209,0.551935,0.513174,0.52198,0.42872,0.536611,0.533491,0.408265,0.282901,0.423797,0.421162,0.524615,0.512273,0.550132,0.532242,0.427333,0.403689,0.409929,0.363264,0.408751,0.41825,0.371238,0.437734,0.295451,0.27042,0.294619,0.260158,0.778602,0.770975,0.772847,0.778741,0.671058,0.697615,0.643808,0.671197,0.651089,0.652406,0.662945,0.652198,0.532104,0.526557,0.524268,0.552905,0.652337,0.640827,0.654486,0.649078,0.558314,0.530162,0.534739,0.513868,0.531064,0.524338,0.520455,0.556927,0.405492,0.372833,0.43087,0.420746,0.654902,0.661004,0.660311,0.678339,0.520524,0.542296,0.544862,0.530648,0.541603,0.548953,0.5493,0.527111,0.420053,0.428165,0.424768,0.419845,0.534045,0.533213,0.535987,0.554361,0.414852,0.409513,0.426848,0.405561,0.414783,0.395784,0.402649,0.404036,0.294342,0.294827,0.296075,0.2924,0.781792,0.775482,0.774511,0.773263,0.680419,0.655873,0.640064,0.653585,0.660519,0.656012,0.64672,0.647067,0.52198,0.540008,0.535432,0.489946,0.659201,0.658161,0.385245,0.665372,0.541256,0.54507,0.515948,0.519345,0.535848,0.53668,0.287408,0.522258,0.44238,0.39932,0.237276,0.383165,0.666828,0.635903,0.633338,0.624116,0.536125,0.532242,0.487727,0.526349,0.504646,0.511164,0.542574,0.555679,0.372694,0.409513,0.352586,0.410207,0.499653,0.57447,0.495978,0.537512,0.393288,0.406948,0.38885,0.406185,0.42768,0.413535,0.390306,0.426571,0.298294,0.296699,0.289696,0.293995,0.778047,0.771946,0.775551,0.769172,0.663292,0.651158,0.651019,0.692553,0.658022,0.649355,0.634794,0.650395,0.518652,0.538691,0.527735,0.50423,0.658855,0.654972,0.647691,0.649771,0.481833,0.541464,0.55665,0.535155,0.532381,0.545555,0.559908,0.526695,0.367702,0.419775,0.413882,0.37942,0.668839,0.698863,0.651089,0.661212,0.544446,0.55762,0.544793,0.507905,0.520663,0.53037,0.551727,0.528359,0.413604,0.409791,0.413396,0.404244,0.533352,0.544169,0.523298,0.56601,0.404244,0.408543,0.410207,0.408959,0.433366,0.408404,0.455138,0.425461,0.29455,0.293926,0.29039,0.291291
0.775551,0.778949,0.777007,0.772986,0.661489,0.666898,0.666482,0.679517,0.654001,0.651921,0.658577,0.6488,0.516641,0.507835,0.537651,0.510193,0.667799,0.665095,0.639925,0.647691,0.549785,0.526487,0.536957,0.546249,0.511441,0.523367,0.525309,0.525239,0.356053,0.445639,0.378658,0.433158,0.630564,0.663708,0.643045,0.659617,0.533837,0.529608,0.521634,0.52725,0.533699,0.515601,0.519553,0.540216,0.427957,0.413258,0.425322,0.420053,0.523852,0.567328,0.529469,0.531064,0.424906,0.423242,0.41721,0.416932,0.424352,0.561573,0.418458,0.430107,0.302524,0.303772,0.295659,0.295382,0.774303,0.540355,0.771322,0.632922,0.677091,0.668978,0.662529,0.536056,0.651435,0.659825,0.645126,0.64991,0.526626,0.503467,0.534045,0.507627,0.661143,0.652961,0.670087,0.655873,0.521842,0.546179,0.524546,0.549716,0.525655,0.531688,0.552489,0.536333,0.385453,0.397102,0.430037,0.417071,0.592706,0.612398,0.67085,0.642768,0.530648,0.532589,0.547012,0.533282,0.53876,0.540771,0.550825,0.550617,0.407641,0.421439,0.418805,0.39835,0.519068,0.556511,0.539038,0.518375,0.4109,0.412356,0.411801,0.416724,0.422341,0.416724,0.43919,0.444529,0.296491,0.294689,0.288795,0.295729,0.77881,0.781029,0.77777,0.772847,0.6929,0.651019,0.641451,0.644848,0.646998,0.646582,0.63944,0.659479,0.541326,0.536819,0.552975,0.538344,0.657398,0.660657,0.646166,0.664194,0.515671,0.551865,0.515324,0.490847,0.518236,0.518236,0.536749,0.527389,0.42449,0.432326,0.430037,0.414436,0.677576,0.646374,0.647414,0.651366,0.530856,0.525794,0.537165,0.555055,0.505478,0.517404,0.53148,0.524546,0.412772,0.420399,0.414852,0.422341,0.53044,0.527527,0.525031,0.532866,0.414991,0.416447,0.42352,0.412425,0.398072,0.426917,0.416308,0.450076,0.296699,0.296214,0.294342,0.292609,0.493829,0.764804,0.631327,0.770143,0.546387,0.695049,0.640618,0.655804,0.535085,0.65615,0.649563,0.640272,0.496325,0.53876,0.53987,0.581473,0.655596,0.651574,0.643115,0.654556,0.48849,0.499307,0.531272,0.489391,0.528359,0.54299,0.524476,0.557204,0.429067,0.427541,0.42456,0.408889,0.671197,0.643669,0.606504,0.643669,0.514492,0.540355,0.529608,0.513452,0.554084,0.536611,0.492719,0.541048,0.411732,0.407641,0.393912,0.420469,0.563167,0.519345,0.513729,0.518444,0.41825,0.408334,0.4256,0.415546,0.356885,0.429829,0.429829,0.405838,0.297809,0.29663,0.292886,0.289627
0.778186,0.777978,0.778463,0.775898,0.634447,0.686105,0.630634,0.643461,0.645264,0.654486,0.65095,0.63944,0.53245,0.547705,0.528013,0.513868,0.652822,0.66246,0.646512,0.662113,0.517612,0.519345,0.544723,0.548329,0.557066,0.550756,0.531618,0.534808,0.415546,0.417002,0.437595,0.420815,0.696436,0.688601,0.662183,0.634031,0.548884,0.544515,0.552004,0.537928,0.547081,0.540008,0.571211,0.543545,0.428096,0.421578,0.42553,0.41617,0.504992,0.508806,0.51463,0.556719,0.413188,0.411732,0.427957,0.421231,0.382402,0.441825,0.429829,0.447164,0.296838,0.296283,0.299126,0.297948,0.776661,0.773402,0.772986,0.77569,0.65407,0.596311,0.656566,0.624671,0.666482,0.661975,0.651921,0.452087,0.532936,0.343295,0.51463,0.391139,0.664332,0.651505,0.661975,0.639717,0.543406,0.521356,0.577867,0.562266,0.549369,0.481071,0.517404,0.512412,0.420469,0.424837,0.396408,0.426432,0.657052,0.613438,0.669671,0.565872,0.528498,0.546526,0.545625,0.508806,0.517751,0.528429,0.548121,0.54091,0.411177,0.42248,0.414991,0.394675,0.547982,0.550409,0.525586,0.537512,0.419359,0.423866,0.426571,0.41402,0.421786,0.446332,0.452919,0.398142,0.297878,0.294134,0.29982,0.291152,0.770698,0.775759,0.776938,0.774026,0.661628,0.658022,0.652406,0.650395,0.657329,0.64783,0.650257,0.651227,0.524754,0.543198,0.515879,0.567813,0.668146,0.663847,0.668285,0.651227,0.556858,0.566496,0.540702,0.529816,0.547982,0.509846,0.551588,0.528082,0.413604,0.362848,0.40563,0.385383,0.660865,0.656566,0.65095,0.670434,0.533144,0.539939,0.540355,0.521634,0.557482,0.555748,0.551588,0.495909,0.427749,0.425946,0.39828,0.416378,0.502219,0.552212,0.536819,0.538275,0.41194,0.419359,0.423658,0.414298,0.418527,0.407017,0.431979,0.385591,0.297393,0.303148,0.29767,0.299473,0.77146,0.77361,0.772362,0.768479,0.628762,0.671682,0.640549,0.669463,0.659617,0.643045,0.644987,0.659271,0.521426,0.539662,0.534115,0.535779,0.64048,0.657606,0.644155,0.647136,0.535363,0.526973,0.524754,0.522119,0.360075,0.522188,0.422064,0.522466,0.233948,0.468451,0.45389,0.384898,0.686382,0.603453,0.616558,0.633615,0.517335,0.550686,0.521148,0.538067,0.525863,0.551519,0.554292,0.544654,0.415684,0.406462,0.40771,0.409028,0.518375,0.53148,0.536195,0.521911,0.42248,0.421925,0.418181,0.403827,0.39835,0.382402,0.434267,0.391693,0.29871,0.290944,0.290875,0.288587
0.52198,0.781168,0.626127,0.776453,0.627028,0.6237,0.611912,0.678061,0.658161,0.651158,0.652961,0.640133,0.539107,0.546665,0.551449,0.533907,0.661351,0.658785,0.662876,0.659063,0.583345,0.528013,0.536472,0.53141,0.54084,0.520178,0.517404,0.53668,0.405838,0.396062,0.389821,0.421439,0.681667,0.667175,0.648315,0.68451,0.548398,0.541395,0.534184,0.554431,0.551449,0.513036,0.526834,0.534947,0.425114,0.409791,0.419498,0.418666,0.567882,0.511302,0.539454,0.567952,0.425045,0.41194,0.410553,0.423381,0.413535,0.415476,0.408889,0.421647,0.298988,0.298364,0.295105,0.293302,0.776175,0.777146,0.775898,0.769588,0.682499,0.652406,0.632159,0.661489,0.656358,0.658438,0.656289,0.648523,0.544446,0.555679,0.493274,0.521356,0.650881,0.656636,0.645542,0.652198,0.527319,0.52406,0.517612,0.560671,0.537512,0.51262,0.528637,0.547636,0.427264,0.405561,0.414714,0.412217,0.636736,0.65199,0.659825,0.628346,0.530856,0.550894,0.562474,0.545763,0.529469,0.518652,0.531272,0.52517,0.419914,0.425738,0.418458,0.415407,0.537928,0.573221,0.501179,0.506726,0.412079,0.403758,0.408473,0.407017,0.410207,0.417071,0.437873,0.4455,0.295798,0.289627,0.294065,0.0856331,0.777909,0.565802,0.778463,0.657121,0.655734,0.633338,0.634586,0.575232,0.659687,0.649008,0.644016,0.650881,0.545001,0.51782,0.536541,0.520178,0.644501,0.646096,0.672722,0.65407,0.540147,0.576411,0.517543,0.541326,0.530093,0.524962,0.529122,0.513937,0.432534,0.42137,0.428027,0.436902,0.649771,0.670087,0.667869,0.635487,0.515254,0.533837,0.5294,0.517265,0.545625,0.502843,0.508251,0.531688,0.423728,0.421093,0.413535,0.395646,0.530578,0.509014,0.538691,0.537581,0.408473,0.415268,0.41506,0.4109,0.427403,0.437318,0.434891,0.39835,0.297809,0.295659,0.293787,0.2872,0.775135,0.769796,0.771876,0.771876,0.674178,0.658716,0.615795,0.673069,0.664471,0.657606,0.649286,0.654764,0.541534,0.519553,0.559284,0.517196,0.649633,0.647275,0.664471,0.647206,0.523367,0.519831,0.540008,0.570309,0.539038,0.585356,0.544585,0.539384,0.39308,0.445916,0.403203,0.435585,0.653585,0.650881,0.632922,0.606019,0.555332,0.527805,0.524615,0.516988,0.542921,0.543683,0.520524,0.531757,0.421786,0.425669,0.419498,0.430384,0.363958,0.543475,0.506656,0.557482,0.212037,0.409999,0.416378,0.404244,0.278047,0.399806,0.391693,0.393496,0.296075,0.291152,0.110318,0.289211
