0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
nan,0.319026,0.706005,0.303772,0.652961,0.309596,0.766815,0.29247,0.783872,0.312717,0.77042,0.307239,0.771044,0.30613,0.764041,0.29774,0.773887,0.307308,0.762654,0.295867,0.761961,0.298641,0.757454,0.294758,0.775413,0.305367,0.758217,0.295243,0.76411,0.304881,0.754264,0.285536,0.774442,0.312786,0.772708,0.306199,0.771044,0.307378,0.763417,0.297462,0.780266,0.314797,0.769449,0.307724,0.770351,0.309666,0.766607,0.296491,0.77146,0.305852,0.761198,0.288102,0.768687,0.299612,0.760782,0.289627,0.770004,0.303911,0.764873,0.295174,0.7673,0.300166,0.758563,0.289627,0.778186,0.317224,0.770282,0.300998,0.775967,0.313826,0.761892,0.295035,0.777354,0.0580363,0.767647,0.153377,0.773679,0.311122,0.764596,0.307031,0.765358,0.20337,0.763764,0.29143,0.765775,0.301969,0.750312,0.271044,0.774581,0.311815,0.757246,0.295451,0.764804,0.234711,0.755166,0.237762,0.77881,0.309596,0.765289,0.304951,0.778879,0.30814,0.764596,0.301623,0.785952,0.313063,0.776661,0.305713,0.778394,0.310082,0.764249,0.302524,0.770698,0.302385,0.759118,0.29975,0.762238,0.298225,0.760643,0.293094,0.769172,0.301345,0.76522,0.293579,0.764457,0.300374,0.755166,0.287408,0.777146,0.315352,0.766676,0.304188,0.773124,0.311538,0.760713,0.296214,0.781653,0.313965,0.774927,0.303079,0.771322,0.306546,0.762446,0.298849,0.765289,0.300929,0.764873,0.298086,0.763625,0.297878,0.75468,0.285744,0.769449,0.305228,0.759881,0.290875,0.767716,0.296769,0.757662,0.288518,0.778047,0.310637,0.77146,0.302663,0.773956,0.31029,0.766953,0.299057,0.779642,0.315074,0.766468,0.299126,0.776245,0.311053,0.767993,0.295313,0.775343,0.3071,0.762446,0.29032,0.770282,0.29455,0.758217,0.285536,0.766953,0.304327,0.76418,0.293787,0.767023,0.298294,0.762377,0.288864,0.779088,0.310706,0.520316,0.30606,0.547497,0.306615,0.640688,0.298086,0.627791,0.314658,0.769865,0.304881,0.775621,0.306268,0.766607,0.296977,0.776591,0.311261,0.764804,0.298364,0.769865,0.298918,0.759049,0.290182,0.770212,0.300652,0.757246,0.298433,0.763209,0.296283,0.759811,0.291776,0.776869,0.316253,0.769172,0.31029,0.776314,0.308695,0.766052,0.301484,0.777631,0.311815,0.770698,0.303148,0.773402,0.312301,0.767092,0.299612,0.771391,0.297809,0.760574,0.292262,0.761059,0.301137,0.757593,0.286437,0.770143,0.30294,0.758979,0.295243,0.761684,0.303079,0.759673,0.434475
0.781376,0.311746,0.771183,0.306338,0.777285,0.310151,0.482388,0.298433,0.504368,0.310012,0.572181,0.302593,0.584662,0.302524,0.697268,0.298086,0.642837,0.30606,0.735335,0.295867,0.719942,0.303633,0.757246,0.293441,0.766815,0.305644,0.758563,0.293371,0.772292,0.297532,0.75468,0.295382,0.785259,0.31022,0.771252,0.307239,0.779088,0.306684,0.767993,0.300652,0.782069,0.319235,0.771252,0.305852,0.778394,0.301969,0.763625,0.299404,0.769172,0.304881,0.756691,0.293857,0.767855,0.300236,0.756067,0.29143,0.768548,0.305991,0.755928,0.299196,0.765497,0.298433,0.758979,0.284011,0.779989,0.313133,0.770212,0.311746,0.778325,0.304535,0.766815,0.302247,0.777285,0.314034,0.765428,0.305922,0.779504,0.311885,0.762446,0.300652,0.767647,0.298364,0.757454,0.295521,0.763764,0.297116,0.751421,0.290182,0.771738,0.305228,0.758702,0.292886,0.765012,0.300998,0.755443,0.292262,0.77673,0.309666,0.769241,0.302177,0.778255,0.154972,0.759742,0.298641,0.779781,0.314797,0.767924,0.304119,0.770628,0.308764,0.763001,0.296908,0.764873,0.217168,0.757523,0.237207,0.767369,0.247746,0.75364,0.252947,0.774719,0.275967,0.75891,0.257593,0.762654,0.275621,0.755512,0.267785,0.783109,0.316114,0.772154,0.30606,0.773332,0.312925,0.771738,0.303633,0.782416,0.309943,0.768825,0.30086,0.771391,0.30606,0.768548,0.299473,0.766745,0.306615,0.76314,0.295035,0.764388,0.297878,0.751629,0.291846,0.76938,0.302593,0.760366,0.297462,0.763278,0.297185,0.758633,0.293579,0.777354,0.311538,0.768756,0.308487,0.772292,0.312231,0.766815,0.298849,0.776869,0.314103,0.769865,0.301623,0.775829,0.305505,0.762654,0.299889,0.7725,0.310012,0.766537,0.297046,0.764873,0.295105,0.760019,0.290598,0.770906,0.300998,0.76515,0.290043,0.766399,0.29774,0.753502,0.290875,0.775898,0.311607,0.769588,0.304465,0.771114,0.305713,0.766468,0.298364,0.779434,0.309874,0.530648,0.306823,0.543129,0.313895,0.570795,0.29878,0.618846,0.304812,0.699487,0.297948,0.766191,0.29774,0.761059,0.290667,0.765428,0.306615,0.757731,0.295243,0.766468,0.298156,0.752254,0.29143,0.773471,0.311261,0.771668,0.301068,0.77257,0.311607,0.760782,0.302039,0.778741,0.314103,0.768756,0.306476,0.773194,0.308764,0.766884,0.299612,0.767855,0.303287,0.756691,0.293233,0.764596,0.300998,0.762654,0.289627,0.771322,0.301276,0.758217,0.29351,0.760435,0.296353,0.760019,0.286229
0.781584,0.313757,0.775621,0.305783,0.77777,0.309943,0.76834,0.301415,0.779226,0.31237,0.770628,0.303703,0.777423,0.311607,0.763972,0.302108,0.771946,0.307031,0.754403,0.291499,0.767369,0.295243,0.482111,0.288587,0.487103,0.301969,0.569339,0.291846,0.570171,0.293857,0.519969,0.287755,0.614201,0.314173,0.543337,0.300374,0.625641,0.307239,0.593607,0.302177,0.696297,0.313271,0.759257,0.307239,0.776661,0.309874,0.763209,0.293857,0.772639,0.305783,0.76099,0.283317,0.762446,0.295105,0.755582,0.29136,0.765012,0.301831,0.758078,0.29663,0.765566,0.298502,0.759257,0.290806,0.78096,0.308002,0.76515,0.305159,0.773679,0.31341,0.765428,0.298918,0.777839,0.311607,0.76626,0.307308,0.772708,0.306754,0.767785,0.29982,0.772639,0.302455,0.762169,0.291776,0.769935,0.300513,0.758286,0.290043,0.766329,0.303911,0.76314,0.296561,0.76522,0.298017,0.751005,0.290528,0.779504,0.313341,0.769033,0.302316,0.767716,0.309388,0.770698,0.303564,0.781792,0.314311,0.769103,0.299681,0.774164,0.306962,0.763694,0.304327,0.774026,0.301484,0.762585,0.294342,0.764388,0.300721,0.751907,0.286992,0.774095,0.29663,0.753016,0.297532,0.763001,0.29767,0.752184,0.286853,0.783803,0.12162,0.771391,0.308348,0.77361,0.308834,0.76522,0.298502,0.78297,0.183678,0.767092,0.202052,0.767092,0.246776,0.766953,0.242893,0.765636,0.274372,0.759673,0.269449,0.760782,0.277423,0.756414,0.256067,0.770975,0.270836,0.754542,0.271599,0.763417,0.291707,0.752184,0.291152,0.783803,0.316392,0.770004,0.29878,0.773887,0.307586,0.761476,0.300444,0.782554,0.31549,0.770351,0.304881,0.776661,0.303425,0.764249,0.304049,0.770559,0.302108,0.756344,0.295798,0.767993,0.299126,0.756067,0.288032,0.769241,0.304119,0.762377,0.292192,0.765012,0.296422,0.757731,0.288726,0.775066,0.315144,0.771044,0.304881,0.773055,0.308002,0.765566,0.300097,0.779781,0.315352,0.769033,0.305713,0.780058,0.3071,0.76203,0.29975,0.770073,0.302108,0.757939,0.293718,0.482596,0.298988,0.511025,0.288171,0.652129,0.296283,0.611774,0.289003,0.637221,0.294273,0.653446,0.285536,0.768895,0.311053,0.765844,0.303217,0.773679,0.306962,0.765358,0.298294,0.779573,0.308834,0.772916,0.302316,0.773263,0.310012,0.762585,0.298433,0.769727,0.304049,0.752462,0.294619,0.761198,0.296422,0.757731,0.28512,0.769033,0.302385,0.763001,0.288518,0.764942,0.298294,0.751213,0.286853
0.780544,0.310151,0.770212,0.305644,0.774719,0.303495,0.774303,0.299265,0.780266,0.312093,0.769657,0.308279,0.769172,0.310082,0.765913,0.303079,0.772223,0.303633,0.767092,0.293233,0.764873,0.304049,0.754334,0.290598,0.766884,0.308834,0.764804,0.29559,0.76938,0.30294,0.756691,0.285883,0.777146,0.314242,0.766537,0.306962,0.774026,0.312578,0.766052,0.299334,0.775621,0.316738,0.769103,0.297878,0.560463,0.30925,0.557274,0.298017,0.504299,0.303703,0.761753,0.293926,0.620233,0.302732,0.55769,0.293718,0.570656,0.308626,0.569408,0.296838,0.616489,0.294342,0.69283,0.291014,0.744973,0.306754,0.765081,0.303217,0.773818,0.306754,0.760713,0.295174,0.783178,0.308279,0.773471,0.303564,0.773956,0.309111,0.763209,0.295313,0.768964,0.300721,0.764041,0.295659,0.766676,0.294966,0.752739,0.287893,0.768548,0.301484,0.767023,0.298156,0.76515,0.299334,0.761337,0.293441,0.784843,0.313618,0.772778,0.304673,0.773402,0.3071,0.759257,0.295798,0.781306,0.310498,0.767369,0.301553,0.775413,0.304743,0.767924,0.302316,0.767924,0.308903,0.76099,0.294481,0.764249,0.299196,0.756622,0.293025,0.769449,0.302524,0.763833,0.292955,0.76314,0.298641,0.75156,0.291152,0.782485,0.312162,0.772916,0.302385,0.775482,0.304257,0.765983,0.301206,0.773887,0.314381,0.7673,0.305922,0.771876,0.305852,0.768271,0.302593,0.767647,0.305297,0.758979,0.295451,0.757315,0.301068,0.760574,0.286368,0.769519,0.303356,0.754472,0.29039,0.766884,0.298156,0.757454,0.0833449,0.780058,0.30814,0.770975,0.306407,0.77042,0.169186,0.762654,0.294827,0.775413,0.313687,0.767993,0.305297,0.780405,0.303772,0.764041,0.236444,0.768756,0.268895,0.7621,0.269796,0.760782,0.268687,0.756483,0.269657,0.766676,0.303911,0.759465,0.299473,0.762308,0.301761,0.750728,0.294134,0.779434,0.314727,0.77569,0.304673,0.772847,0.305852,0.767993,0.297601,0.782277,0.31445,0.765913,0.305922,0.772015,0.308002,0.7621,0.296075,0.772778,0.302039,0.758494,0.295313,0.769519,0.295867,0.750728,0.286437,0.775898,0.301553,0.763209,0.296422,0.766052,0.301415,0.754126,0.292747,0.778949,0.317501,0.529122,0.305089,0.607405,0.312509,0.549092,0.296977,0.631258,0.313826,0.699002,0.308002,0.718278,0.306684,0.67196,0.300652,0.773887,0.302732,0.761614,0.292886,0.764873,0.30086,0.756067,0.288934,0.769865,0.301345,0.76099,0.291014,0.768756,0.300513,0.751491,0.288032
0.780058,0.245528,0.769172,0.30925,0.781514,0.310983,0.76626,0.29774,0.779504,0.310429,0.770698,0.3071,0.775413,0.304257,0.76411,0.297948,0.765705,0.305367,0.763209,0.298572,0.763486,0.292817,0.761822,0.285259,0.769172,0.304119,0.760158,0.300236,0.767231,0.299265,0.754888,0.292678,0.778255,0.316392,0.768132,0.306476,0.773194,0.309388,0.766815,0.297046,0.782069,0.315352,0.772778,0.302593,0.774303,0.30821,0.763001,0.294689,0.772778,0.301415,0.762446,0.295937,0.765775,0.297185,0.75371,0.283803,0.768063,0.302801,0.758979,0.288032,0.769865,0.296283,0.754334,0.286021,0.775551,0.309319,0.589239,0.299473,0.630772,0.30717,0.635695,0.302177,0.659895,0.312162,0.619609,0.302108,0.772223,0.312509,0.768756,0.298849,0.77257,0.301831,0.759395,0.291776,0.765636,0.29774,0.753155,0.288864,0.768201,0.304812,0.765844,0.290043,0.764318,0.296769,0.755512,0.289142,0.779365,0.31237,0.776383,0.305089,0.767647,0.307378,0.764596,0.30086,0.781029,0.317016,0.769935,0.304743,0.772639,0.306892,0.767855,0.295174,0.7673,0.301276,0.756206,0.290598,0.764249,0.300721,0.753086,0.289974,0.762585,0.303425,0.75995,0.295521,0.765636,0.29878,0.756899,0.281029,0.782138,0.312925,0.769033,0.302524,0.778602,0.309458,0.760435,0.296977,0.779642,0.313618,0.769449,0.299681,0.774234,0.315906,0.76418,0.303079,0.77049,0.303564,0.758217,0.293995,0.760782,0.298918,0.756552,0.288032,0.766399,0.307447,0.763209,0.291291,0.764596,0.300028,0.754056,0.295243,0.779365,0.315698,0.771738,0.306407,0.772847,0.303079,0.770073,0.29455,0.778741,0.315144,0.769519,0.304327,0.77354,0.311053,0.76307,0.301553,0.769449,0.302177,0.764388,0.29559,0.761268,0.297809,0.760713,0.293926,0.761822,0.112259,0.762377,0.296214,0.761822,0.301345,0.758009,0.293371,0.779642,0.203023,0.769172,0.308972,0.772847,0.306754,0.768132,0.302316,0.77985,0.315698,0.769103,0.297393,0.776661,0.308903,0.767092,0.299681,0.767924,0.303564,0.758147,0.296075,0.764457,0.302108,0.754334,0.291638,0.767439,0.306754,0.765081,0.291291,0.764734,0.304951,0.751352,0.291707,0.775621,0.319096,0.769727,0.300444,0.769727,0.309596,0.76938,0.301276,0.783664,0.315698,0.77146,0.302316,0.773471,0.309943,0.762793,0.301345,0.620441,0.304188,0.55131,0.29767,0.556234,0.297324,0.755512,0.290806,0.628207,0.305644,0.556996,0.293579,0.560255,0.300097,0.57863,0.293371
0.777631,0.310845,0.766468,0.109139,0.772431,0.309388,0.76411,0.298225,0.781445,0.261753,0.771807,0.271738,0.772084,0.310082,0.771738,0.302663,0.769657,0.306823,0.759326,0.292955,0.765775,0.301345,0.756483,0.287339,0.77257,0.305505,0.766745,0.296145,0.76314,0.306199,0.751976,0.291776,0.783664,0.320275,0.766052,0.302039,0.775135,0.301415,0.76203,0.301345,0.781653,0.311053,0.764526,0.304881,0.77361,0.306338,0.771946,0.292054,0.772084,0.309666,0.762932,0.296422,0.766468,0.300374,0.76411,0.295521,0.773887,0.306338,0.760297,0.29136,0.768201,0.300652,0.755443,0.292262,0.779365,0.313895,0.771668,0.307863,0.777146,0.306962,0.770351,0.303425,0.778186,0.315144,0.771738,0.302247,0.581611,0.308279,0.533768,0.303564,0.609139,0.305228,0.543545,0.288032,0.612536,0.299265,0.54722,0.288656,0.632437,0.308418,0.637706,0.294203,0.647136,0.300444,0.575787,0.293371,0.668146,0.312231,0.727638,0.304673,0.76411,0.310983,0.763833,0.304188,0.778325,0.316808,0.765775,0.301206,0.774789,0.30606,0.770767,0.298086,0.772223,0.302455,0.762932,0.29663,0.7673,0.299126,0.760782,0.293302,0.769449,0.302455,0.75683,0.294273,0.759811,0.299057,0.75579,0.2872,0.775274,0.313965,0.767092,0.304881,0.774927,0.308487,0.765844,0.303079,0.781168,0.312093,0.771322,0.30086,0.774234,0.309527,0.764734,0.301761,0.765636,0.303356,0.760851,0.292331,0.764596,0.297393,0.75683,0.289003,0.77354,0.302663,0.761129,0.29247,0.768756,0.301692,0.758771,0.28512,0.780821,0.312231,0.764734,0.303009,0.775829,0.307932,0.76834,0.301415,0.782277,0.312023,0.768271,0.30606,0.776869,0.309042,0.769727,0.297324,0.77146,0.300305,0.758217,0.295798,0.768132,0.302801,0.758286,0.290528,0.776245,0.304951,0.758286,0.298156,0.765913,0.30086,0.755859,0.292192,0.779781,0.318541,0.769865,0.301206,0.770351,0.312439,0.767716,0.106157,0.777285,0.313202,0.771807,0.306407,0.771391,0.26626,0.761545,0.296075,0.767023,0.302871,0.763209,0.29032,0.764804,0.303841,0.751075,0.287755,0.770282,0.307724,0.765358,0.293371,0.766329,0.298086,0.755096,0.293302,0.780752,0.312994,0.772708,0.301484,0.776314,0.306546,0.766052,0.300721,0.77881,0.313202,0.766399,0.304257,0.776591,0.310567,0.76515,0.302247,0.767023,0.303564,0.761337,0.29975,0.765705,0.30086,0.749411,0.294689,0.765358,0.304119,0.756622,0.296908,0.765913,0.296145,0.7474,0.285536
0.781029,0.3218,0.771946,0.295451,0.781306,0.313479,0.760782,0.297185,0.77985,0.320413,0.769727,0.30294,0.775205,0.319373,0.765913,0.300721,0.768271,0.305852,0.764665,0.293926,0.775066,0.29767,0.756969,0.147483,0.764873,0.305575,0.759049,0.292331,0.766676,0.201567,0.754958,0.264457,0.779504,0.31341,0.769588,0.224379,0.776661,0.307794,0.76307,0.300513,0.780266,0.31549,0.772223,0.302593,0.776037,0.302385,0.764388,0.301345,0.770836,0.307031,0.762585,0.299542,0.769727,0.305783,0.754611,0.294203,0.776661,0.303911,0.76307,0.293926,0.767092,0.295867,0.75579,0.286853,0.77881,0.317293,0.772916,0.305089,0.778949,0.309042,0.76522,0.305228,0.782069,0.312162,0.772362,0.306823,0.772986,0.313965,0.760643,0.296838,0.76834,0.301415,0.760921,0.293163,0.763209,0.298918,0.755304,0.296006,0.766745,0.299334,0.75364,0.293302,0.766953,0.297324,0.758633,0.289627,0.778325,0.317085,0.775898,0.302593,0.77465,0.311261,0.486826,0.297878,0.570587,0.315282,0.52517,0.30398,0.599847,0.308002,0.549161,0.302455,0.626543,0.305228,0.56608,0.295105,0.583484,0.302732,0.576272,0.286437,0.595756,0.30502,0.597837,0.291291,0.667244,0.299057,0.591527,0.289904,0.685064,0.313965,0.705866,0.305436,0.755928,0.309042,0.764041,0.297809,0.77985,0.309666,0.777701,0.299681,0.772778,0.310359,0.764596,0.300236,0.767924,0.304812,0.758217,0.29559,0.756899,0.297185,0.760921,0.289627,0.762793,0.308764,0.759257,0.291846,0.769241,0.299057,0.760089,0.28824,0.777007,0.309943,0.771183,0.301553,0.773679,0.308626,0.766468,0.29663,0.77465,0.313133,0.770212,0.305713,0.777354,0.308487,0.765566,0.302663,0.767924,0.302871,0.753294,0.2924,0.771668,0.300097,0.756206,0.290736,0.770975,0.303217,0.757801,0.294619,0.768132,0.300582,0.754056,0.291499,0.780266,0.314589,0.772847,0.303495,0.769103,0.305644,0.765844,0.296977,0.775967,0.310983,0.771252,0.30925,0.770351,0.31029,0.765081,0.29975,0.767369,0.307378,0.761406,0.296908,0.761337,0.194564,0.75579,0.25891,0.769727,0.305852,0.763833,0.294897,0.76938,0.298294,0.751976,0.28512,0.783248,0.315976,0.770351,0.30086,0.774442,0.312578,0.766329,0.297116,0.776591,0.312439,0.769241,0.301345,0.770767,0.309042,0.766676,0.303911,0.767785,0.301276,0.762308,0.295382,0.763001,0.299334,0.753016,0.288448,0.768409,0.307308,0.76314,0.288379,0.765705,0.301276,0.751283,0.287339
0.778741,0.31341,0.767716,0.303911,0.770559,0.316322,0.769172,0.299126,0.775482,0.310845,0.770004,0.306823,0.774789,0.308487,0.763417,0.302247,0.771807,0.304743,0.76515,0.289696,0.765775,0.304119,0.755235,0.290251,0.76938,0.304396,0.760019,0.295313,0.75891,0.300374,0.754126,0.285189,0.780474,0.313202,0.766884,0.298641,0.774997,0.45278,0.770004,0.416239,0.777493,0.316253,0.772015,0.30606,0.772708,0.173208,0.758979,0.304396,0.768687,0.30398,0.763833,0.225905,0.762654,0.244904,0.752739,0.232353,0.770628,0.279296,0.763556,0.288726,0.762932,0.299958,0.751283,0.289003,0.774858,0.315074,0.7673,0.308279,0.771252,0.303841,0.768825,0.29774,0.779088,0.316946,0.76834,0.30294,0.773055,0.312994,0.763417,0.305575,0.767647,0.30613,0.76418,0.285744,0.763556,0.302455,0.750589,0.289072,0.767577,0.307308,0.760643,0.297809,0.76411,0.299958,0.750728,0.28935,0.780821,0.315282,0.767023,0.306338,0.771114,0.31133,0.76834,0.299612,0.77881,0.32076,0.773055,0.305991,0.774719,0.305159,0.766468,0.300721,0.768271,0.306684,0.759673,0.29143,0.766884,0.299126,0.75267,0.289558,0.769519,0.304881,0.762308,0.294897,0.764388,0.302039,0.75267,0.292054,0.785744,0.312994,0.770906,0.302455,0.779365,0.307031,0.505894,0.299612,0.779226,0.313618,0.590972,0.3019,0.57128,0.307586,0.651158,0.300721,0.66877,0.304049,0.592844,0.291152,0.664471,0.296977,0.662391,0.289766,0.770906,0.305783,0.657884,0.289627,0.667244,0.301206,0.623423,0.288795,0.673901,0.314866,0.729649,0.308695,0.775274,0.307378,0.767785,0.304396,0.78304,0.311885,0.776383,0.30613,0.774858,0.304673,0.759742,0.300236,0.767508,0.302316,0.759326,0.294203,0.763625,0.297601,0.755512,0.289558,0.76938,0.308279,0.758702,0.291915,0.759811,0.299473,0.751144,0.29351,0.781168,0.318125,0.764457,0.308071,0.776799,0.313341,0.767369,0.299196,0.781445,0.315629,0.768895,0.301276,0.769449,0.306892,0.765775,0.300097,0.772362,0.299265,0.759881,0.299126,0.763694,0.297948,0.756691,0.290528,0.768825,0.114201,0.76411,0.291568,0.762932,0.108584,0.755998,0.28928,0.780613,0.311607,0.770906,0.305991,0.773194,0.314519,0.760158,0.295659,0.779573,0.309735,0.772847,0.309527,0.771252,0.315074,0.767023,0.297878,0.765358,0.304257,0.762169,0.300236,0.760851,0.304604,0.753432,0.290806,0.767023,0.306546,0.76411,0.293163,0.764804,0.29975,0.752739,0.290528
0.782901,0.310359,0.767023,0.307308,0.776245,0.312717,0.764041,0.300582,0.780197,0.31133,0.772708,0.306546,0.780613,0.309527,0.764526,0.306615,0.767231,0.304257,0.757523,0.296699,0.76411,0.297462,0.747885,0.293718,0.769519,0.301969,0.760921,0.294203,0.761198,0.29871,0.752947,0.285259,0.777285,0.321523,0.769588,0.299889,0.77569,0.306684,0.764734,0.297878,0.783872,0.312023,0.772778,0.302385,0.774164,0.310151,0.764457,0.296075,0.77257,0.301206,0.761129,0.292539,0.768132,0.293163,0.752878,0.293025,0.765636,0.312093,0.757523,0.118638,0.769033,0.298641,0.75371,0.28935,0.776175,0.206906,0.767439,0.301623,0.774789,0.257593,0.767855,0.262793,0.774858,0.316669,0.767439,0.303564,0.777562,0.310359,0.765428,0.298017,0.77153,0.302108,0.758494,0.29351,0.764665,0.299126,0.751699,0.289003,0.764388,0.301137,0.756206,0.294411,0.760574,0.300513,0.753779,0.291222,0.779226,0.314727,0.771044,0.301761,0.77354,0.310429,0.76938,0.297185,0.779296,0.3166,0.767231,0.303841,0.775621,0.309804,0.768063,0.303495,0.769241,0.296977,0.757038,0.294758,0.767716,0.298225,0.761545,0.293718,0.771114,0.301484,0.757454,0.291846,0.769241,0.300374,0.752878,0.289003,0.779365,0.315074,0.775482,0.30398,0.773332,0.313479,0.764596,0.30398,0.777839,0.313965,0.769588,0.297532,0.766329,0.306684,0.765428,0.298502,0.769449,0.3019,0.762238,0.29767,0.766676,0.3019,0.757315,0.294065,0.771807,0.305783,0.760921,0.294827,0.756483,0.300166,0.757523,0.290806,0.783941,0.318957,0.773124,0.306962,0.494661,0.310082,0.508945,0.297532,0.59534,0.3166,0.55762,0.302108,0.636874,0.308903,0.64575,0.301484,0.672098,0.298641,0.65726,0.29559,0.599362,0.297462,0.758286,0.288171,0.608376,0.304188,0.629871,0.296491,0.728401,0.301623,0.752462,0.289558,0.778671,0.314936,0.766329,0.297462,0.776383,0.307724,0.765358,0.299542,0.778394,0.316045,0.770628,0.304049,0.774095,0.308903,0.76626,0.299265,0.764596,0.300652,0.760782,0.296075,0.765705,0.298572,0.752739,0.290112,0.766815,0.303079,0.75683,0.29455,0.770351,0.297532,0.749896,0.288448,0.782346,0.312786,0.773124,0.300582,0.772084,0.30814,0.761337,0.301345,0.781861,0.310082,0.770212,0.296977,0.773956,0.303911,0.765497,0.295659,0.772223,0.236306,0.76314,0.28831,0.761337,0.297948,0.75683,0.288934,0.764041,0.23686,0.756899,0.237623,0.769727,0.294619,0.759534,0.293371
0.521842,0.313687,0.699487,0.304604,0.685134,0.314727,0.759326,0.300305,0.787061,0.315976,0.76626,0.307308,0.775205,0.309874,0.760921,0.299889,0.768617,0.29767,0.754403,0.294203,0.764388,0.29663,0.75468,0.291707,0.768409,0.303564,0.762238,0.292054,0.763694,0.301068,0.755166,0.291499,0.777354,0.320205,0.771946,0.302177,0.771599,0.306615,0.766399,0.301415,0.77777,0.311746,0.766468,0.306823,0.770836,0.305922,0.766884,0.298225,0.773332,0.306268,0.759395,0.295243,0.764041,0.29878,0.755235,0.288171,0.769588,0.305644,0.759603,0.298988,0.764873,0.298849,0.755374,0.291915,0.778879,0.308626,0.769103,0.300097,0.772708,0.309596,0.768409,0.29982,0.776869,0.313965,0.770906,0.303009,0.777007,0.309666,0.760019,0.210512,0.770559,0.224587,0.763486,0.289558,0.760851,0.297185,0.758841,0.23062,0.769519,0.266745,0.763417,0.259811,0.767785,0.280058,0.75267,0.27673,0.780336,0.316669,0.770073,0.306407,0.772986,0.311954,0.759811,0.293025,0.783178,0.314242,0.766676,0.302871,0.774234,0.312855,0.762724,0.296838,0.767577,0.30079,0.761892,0.292886,0.76418,0.302039,0.757107,0.292678,0.768895,0.307724,0.756761,0.295937,0.762862,0.299126,0.753779,0.286923,0.776799,0.316392,0.766468,0.302593,0.776591,0.309874,0.761753,0.298086,0.782832,0.311815,0.771391,0.303356,0.773402,0.301553,0.761614,0.299334,0.778186,0.297046,0.758355,0.293718,0.769033,0.298433,0.757523,0.295798,0.770282,0.308487,0.760297,0.300721,0.767369,0.301276,0.753502,0.289904,0.777285,0.310151,0.770212,0.306892,0.774581,0.310637,0.765705,0.293926,0.781376,0.312231,0.766537,0.305436,0.7725,0.307447,0.769657,0.300028,0.771946,0.308556,0.763625,0.292331,0.766676,0.30398,0.761822,0.287616,0.767716,0.301831,0.754056,0.293302,0.764457,0.29975,0.755582,0.289488,0.777978,0.312994,0.611566,0.303425,0.648523,0.307239,0.618708,0.301831,0.647691,0.314797,0.768271,0.303079,0.771322,0.311538,0.769103,0.299334,0.77465,0.303425,0.760158,0.2924,0.766121,0.306338,0.748925,0.287131,0.770212,0.302871,0.758702,0.290736,0.765081,0.299265,0.754403,0.289766,0.78297,0.316392,0.771668,0.307447,0.772708,0.308071,0.761684,0.299334,0.781653,0.314658,0.766953,0.30502,0.770282,0.306546,0.765775,0.296214,0.763972,0.303148,0.759534,0.293926,0.761268,0.299057,0.756761,0.290528,0.766121,0.304743,0.758147,0.294827,0.76307,0.299681,0.750243,0.289835
